CV File,Category,Education,Top Skills
./data\ACCOUNTANT\10554236.pdf,ACCOUNTANT,"[{'Degree': 'bachelor', 'Major': 's degree \nprofessional military comptroller school  6wk  4 98  managerial accounting i  09 98  interested based bargaining training for management \n24hrs  09 01  auditing methods and concepts 09 98  organizational leadership  32hrs  07 03  management development ii  32hrs  07 03 \ncertifications\ncertified defense financial manager  cdfm  may 2005\ninterests\namerican society of military comptrollers\nadditional information\nskills\naccounting  general accounting  accounts payable  program management', 'University': ''}]","dfas management accounting, dfas management requirements, vendors dfas management, branch city state, accounting city state, vendor pay system, air force personnel, management accounting liaison, accounting general accounting, defense accounting office"
./data\ACCOUNTANT\10674770.pdf,ACCOUNTANT,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \naccounting\n \n  \nmay 2010\n \nuniversity of north carolina\n \nï¼  \ncity\n \n  \nstate\n \naccounting\nbachelor of science\n \n  \nbusiness administration finance\n \n  \nmay 2010\n \nbusiness administration finance\nexperience\nstaff accountant\n \njanuary 2014\n \nto \noctober 2014\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nperformed all month end functions to produce financial statements \nthe functions include  reconciliation of the operating and payroll bank accounts  recorded sales for the month  recorded payroll journals \naccrued payroll  recorded sales tax  submitted sales tax to nc department of revenue  recorded inventory adjustments  and recorded\nbalance sheet month end entries \nentered all payables and receivables for the 7 franchise locations \nworked with vendors to resolve any situations that arose \nreviewed and maintained that all needed franchise document were on file and up to date \nworked directly with controller on year end review \nassembled all requested financial and legal documentation that was put into presentable formats \nmaintained weekly spreadsheet on collected franchise royalties and advertising fees \nthis spreadsheet is used for the year end audit \nmanaged a company that owned and rented out 12 commercial properties of a shopping center to approved businesses \nresponsible for  negotiating rent rates for new or renewing tenants  writing leases  collecting rent  cash flow management  payables  and\nresolving any tenant complaints or inquires \nmanaged a company that was a small farming entity \nresponsible for maintaining cash flow  all payables  and setting up credit accounts with vendors \nentered all payroll journals and maintained cash flow for company that employed labor to work at farming entity \nfiled north carolina annual report for all companies managed by cary keisler inc \nand verified that all were current on their filings \nstaff accountant\n \nmarch 2013\n \nto \njanuary 2014\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ncollect daily deposits for newly entered sos as well the balance for any so that has completed once a job status report has been ran \ninteract directly with customers on outstanding deposits and balances due \nresponsible for all po and non po payable entry coding for all companies \nwork directly with vendors to resolve and discrepancy with payables \npull weekly unpaid bills reports that are used for cash flow projections \ncomplete weekly check run for all companies \nreconcile monthly purchasing american express credit card that ranges from  60 000 00    100 000 00  \nhelped facilitate roll of purchasing manager during turnover period from september 2013   december 2013 \nresponsible for ordering needed materials supplies for factory production floor \nworked directly with vp of finance and members of the production floor in collection of data to develop unit valuation \nthis information combined with continued data collection is being used for future bills of materials and job costing \nstaff accountant\n \napril 2012\n \nto \nmarch 2013\n \ncompany name\n \nï¼  \nstate\nlead reconciliation of balance sheet to ensure no discrepancy with general ledger \nresearch and resolve any transaction deviating from ordinary operations \nrun project cost reconciliation at month end to ensure all billable expenses are posted to a project \nthis ensures all enries are posted to the correct project and general ledger account \nthis provides billing information as well as the correct bottom line for each project \ndesign excel spreadsheet for prepaid employee benefits for eom reconciliation purposes \nreconcile american express accounts for sdi and battleware \n10 accounts  responsible for all entry and custodial book keeping of sdi s fixed assets for depreciation purposes \ndaily reconciliation sdi s operating  interest sweep  and line of credit accounts for most accurate cash projections \nresponsible for coding and entry of all payables items for sdi and battleware \nprepare monthly sales and use tax \nfinancial management partner\n july 2010\n \nto \naugust 2011\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nidentified  reported  tracked  and resolved subsidiary ledger discrepancies in all phases of the revenues and receivables accounting\nprocesses \nprovide an end to end financial statement assurance and accurate presentation by aiding and completing tasks in all areas of operations \nperforming all monthly bank reconciliations  applying all required financial regulations in preparing and delivery of financial statements \nprovided support to clients and other employees via email on implementations  software support  and financial reporting issues in all aspects\nof day to day operations \ntrained new accounting department employees with functionality demonstration to assist in proficient accounting support and software\ntransitioning i e \nquickbooks  peachtree and excel transitioning \nable to perform duties of all departments of accounting including accounts payable  accounts receivable  legal coordination and transactional\naudit and review \ncoordinate lien and foreclosure preparations  research ownership status and balance histories in order to accurately file legal claims on\nbehalf of our cliental \nconstant analysis of all clients  interim financial reports and comparative statements to verify the validity and monitor for inconsistency \nprepare variance reports and explanations to quickly summarize areas of increased variances in expenses \nassist other areas of management in fund accounting budget preparations and presentation at annual and monthly board meetings \ncoordinate and prepare materials for audits  review  and tax returns \nassist in annual budget preparations  prepare billings for all cycles  perform all adjusting month end transactions and required g l posting\nentries required to correct errors or balance discrepancies \ninterests\nalpha sigma phi  officer and chair positions \njanuary 2006  may 2010 vice president social chair greek week delegate livestrong\nfoundation  bike a thon\nskills\naccounting  accounts payable  accounts receivable  adp  advertising  ar  balance sheet  balance  bank reconciliations  benefits  billing  billings \nbook keeping  budget  cash flow projections  cash flow  controller  credit  clients  data collection  delivery  documentation  email  finance \nfinancial  financial reporting  financial statements  fixed assets  general ledger  inventory  job costing  ledger  legal  materials  meetings  microsoft\naccess  microsoft excel  excel  microsoft word  negotiating  dba  payables  payroll  peachtree  processes  coding  purchasing  express  quick\nbooks  quickbooks  research  sage  sales  spreadsheet  tax  software support  valuation  year end\nadditional information\nactivities  alpha sigma phi  officer and chair positions \njanuary 2006  may 2010 vice president social chair greek week delegate\nlivestrong foundation  bike a tho', 'University': 'n'}]","accounts payable accounts, payable accounts receivable, cash flow projections, end financial statement, accounting accounts payable, financial financial reporting, financial reporting financial, finance financial financial, chair positions january, financial reporting cash"
./data\ACCOUNTANT\11163645.pdf,ACCOUNTANT,[],"city state processed, performed data entry, accounts receivable accounts, accounts payables accounts, auto underwriter january, processed accounts receivables, state processed accounts, payables accounts receivables, receivable accounts payable, accounts receivable payable"
./data\ACCOUNTANT\11759079.pdf,ACCOUNTANT,"[{'Degree': 'bachelor', 'Major': 'of business administration\n \n  \naccounting\n \ncity\n \n  \nstate\n \ngpa  \ngpa  3 63 4 0\ngpa  3 77 4 0\n \naccounting gpa  3 63 4 0 gpa  3 77 4 0\ninterests\nfulton county casa board of directors member  treasurer  \nplan fund raisers  review budget and financial statements  and supervise casa\nstaff in not for profit organization that trains volunteers to mentor children being pulled from their homes through the fulton county court system\nfor abuse and neglect  \ncpa  hold an active georgia license and scored between 87 and 93 out of a possible 99 on each of the four sections of the\ncpa exam  cfe  certified fraud examiner  which\nskills\naccounting  balance sheet  budgets  client  clients  derivatives  drafting  equity  financial  financial accounting  financial statements  fixed assets \nfunds  government  information technology  inventory  investments  ledger  ma  microsoft excel  natural  page  payables  processes \nprogramming  real estate  research  sales  scheme  telephone  writing skills\nadditional information\ncommunity service  certifications and awards fulton county casa board of directors member  treasurer  \nplanfund raisers  review budget and financial statements  and supervise casa staff in not for profit organization that trains volunteers to mentor\nchildren being pulled from their homes through the fulton county court system for abuse and neglect  cpa  hold an active georgia license\nand scored between 87 and 93 out of a possible 99 on each of the four sections of the cpa exam  cfe  certified fraud examiner  which\nrequires passing four exams and two years work experience in preventing and detecting fraud  recipient  2007 john r  jones accounting\naward  \ngiven annually by vote of emory university professors to recognize the top performing senior year student in academia  community\ninvolvement  and character  recipient  2006 ben pius award  \nawarded by emory professors to recognize exceptional achievements by the\nhighest performing junior year accounting student at emory university', 'University': ''}]","fulton county casa, city state performed, county casa board, fulton county court, financial financial accounting, financial accounting financial, accounting financial statements, cpa exam cfe, county court system, certified fraud examiner"
./data\ACCOUNTANT\12065211.pdf,ACCOUNTANT,"[{'Degree': 'master', 'Major': 'employee payroll record file for information entry into payroll system \nreceive   compute hours  make deductions for 401k  health insurance  and other adjustments thru paychex prepare loan applications and\nmaintain factoring arrangements with a r schedule \nassist in training  guidance and coordination of accounts payable  accounts receivable  and other departments and site personnel \nperformed semi annual inventory valuation \nfinancial analyst\n \naug 2002\n \n  \njan 2005\n \ncompany name\n \ncity\n \n  \nstate\n \nmanage and forecast funds for palm desert national bank sponsored 350 atm terminals averaging 2 5 million on a weekly basis \nreconcile   settle  and act as lead accountant for innobeta systems  inc    affiliate of money marketing  inc   \nprepare monthly profit and loss reports as to surcharge and interchange \nanalyze communication and armor carrier expenses as a temporary m a team member during due diligence procedure of atm world\ncorp \nanalyze processing costs and network fees in terms of efts \nprepare audit work papers  confirmations and other documentation to make the audit efficient and hold on audit fees in connection with\nannual audit perform analysis of general ledger accounts  prepared journal entries and adjustments to facilitate closings \nassist in the preparation of full financial statements and footnotes for investors and lenders \nreview work of staff and operations to assure that certain daily procedures and reconciliations were performed routinely according to\npolicies and procedures \ntranslate and prepare documents pertaining to defective parts of comnet atm series assembled and distributed by nextran industries  a\nsubsidiary company of chungho comnet co   ltd \nconsult private investors and customer services \neducation\nbachelor of business administration\n \n  \naccounting\n \naugust 2002\n \ntemple university\n \ncity\n \n  \nstate\n \naccounting audit project   identifying potential risks that would impact the audit of xerox corp   select courses  advance accounting \naccounting information system  auditing   assurance services  taxation\ninterests\nworld travel photography golf soccer movie fashion\ncertifications\ncertified public accountant  new york state  date \nof issued  03 04 2015  license number  117205\nadditional information\nactivities  vice president  aps  accounting professional society  at temple university  2001   200', 'University': '2'}]","general ledger accounts, related general ledger, general ledger analyze, general ledger accounting, ledger accounts accountant, state accounting audit, made prospective adjustments, office prepare monthly, accounts receivable accounts, accounts payable accounts"
./data\ACCOUNTANT\12202337.pdf,ACCOUNTANT,"[{'Degree': 'master', 'Major': 'of business administration\n \n \n \nfinance\n \n2011\n \nuniversity of delaware\n \n  \ncity\n \n  \nstate\n \n  \nusa\nfinance\nbachelor of science\n \n \n \nmedical technology\n \n2008\n \nuniversity of delaware\n \n  \ncity\n \n  \nstate\n \n  \nusa\nmedical technology\nrelated course work in business  financial reporting and analysis  financial management  corporate financial policies  investment analysis and\nportfolio management  corporate governance  financial engineering and risk management  derivatives  \nlanguages\nenglish  marathi  hindi  gujarati\npersonal information\nexcellent multitasking  analytical thinking  time management  negotiation  communication  organization \nand leadership skills\nadditional information\nexcellent multitasking  analytical thinking  time management  negotiation  communication  organization \nand leadership skills\nskills\nms office  database  macros  v look up  pivot tables  outlook\ncompany platforms  business objects  workbench  eagle  pega  lombardi  dras', 'University': ''}]","delaware city state, business objects lombardi, city state usa, thinking time management, time management negotiation, management negotiation communication, special achievement award, city state investment, analytical thinking time, price momentum model"
./data\ACCOUNTANT\12338274.pdf,ACCOUNTANT,[],"monthly management reports, management reports stock, city state accountant, supplier accounts financial, timely collected participate, statements staff account, reports stock taking, budget preparation checking, accounts financial ratios, financial management preparation"
./data\ACCOUNTANT\12442909.pdf,ACCOUNTANT,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \naccounting\n \nstrayer university\n \nï¼  \ncity\n \n  \nstat', 'University': 'e'}]","pay grades processed, employee pay adjustments, processed payroll electronic, processed journal entries, maintained confidential information, pay rates bonus, credit card accounts, managed accounts payable, processed company purchase, vendors processed company"
./data\ACCOUNTANT\12780508.pdf,ACCOUNTANT,"[{'Degree': 'bachelor', 'Major': 'of science degree\n \n  \nfinance\n \n  \nmay 2010\n \nuniversity of maryland\n \n  \nstate\n \nfinance\nskills\naccounting  accounting system  accounts payable  accruals  articulate  atm  banking  budget  business intelligence  calculator  cash flow \ncashier  closing  credit  documentation  equipment maintenance  filing  finance  financial  financial reports  financial statements  preparation of\nfinancial statements  fixed assets  funds  general ledger  general ledger accounts  ledger  mailing  access  excel  microsoft office  office \npowerpoint  microsoft word  works  networks  peoplesoft  policies  processes  coding  receiving  reconciling  maintains files  reporting \nresearch  sales  scanning  scheduling  phone  year en', 'University': 'd'}]","general ledger accounts, corporate visa accounts, ledger accounts ledger, accounting system accounts, system accounts payable, ledger general ledger, ledger accounts prepares, general ledger general, accounting accounting system, account payable checks"
./data\ACCOUNTANT\12802330.pdf,ACCOUNTANT,[],"financial analysis planning, analysis planning financial, financial analysis financial, financial financial accounting, financial accounting financial, financial reporting financial, analysis financial analysis, accounting financial analysis, management financial financial, financial audit process"
