CV File,Category,Education,Top Skills
./data\ADVOCATE\10186968.pdf,ADVOCATE,[],"child family advocate, city state skills, city state collaborated, customer satisfaction customer, city state surpassed, city state collected, city state managed, city state computed, satisfaction customer service, center customer service"
./data\ADVOCATE\10344379.pdf,ADVOCATE,[],"customer service representative, tools power tools, hand tools power, service representative jan, medical device repair, device repair technician, supervisor customer service, service advocate jan, city state inspect, city state read"
./data\ADVOCATE\10659182.pdf,ADVOCATE,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \npsychology  minor social work\n \n2012\n \ngovernor state university\n \nï¼  \ncity\n \n  \nstate\n \npsychology  minor social work\nassociate of science\n \n  \npsychology\n \n2004\n \nsouth suburban college\n \nï¼  \ncity\n \n  \nstate\n \npsychology\nskillsadaptive equipment  administrative duties  appointment setting  agency  blood pressure  cna  consultant  cpr  certified  first aid  home care \nteam building  meal prep  medical terminology  medication management  meetings  bathing  policies  quality  record keeping  recording  scheduling \nsupply inventory  teaching  phones  therapy  vision  wounds  written communicatio', 'University': 'n'}]","city state psychology, city state responsible, city state assisted, city state filled, city state provide, city state performed, psychology minor social, minor social work, state psychology minor, medication management responsible"
./data\ADVOCATE\10818478.pdf,ADVOCATE,[],"city state skills, city state exercises, city state created, city state operated, express scripts september, monthly sales goals, closing cash registers, state skills administrative, existing customer sales, customer service calls"
./data\ADVOCATE\11174187.pdf,ADVOCATE,[],"illinois masonic med, advocate illinois masonic, masonic med center, long term care, term care unit, asst head nurse, head nurse practice, nurse practice leader, bed long term, care unit duties"
./data\ADVOCATE\11188218.pdf,ADVOCATE,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nmajors  fine art and biology\n \n  \n1985\n \ndoane college\n \n  \ncity\n \n  \nstate\npresidents scholarship  doane college   4 years\noutstanding achievement scholarship  doane college  4 years\npallet scholar award  doane college  4 years\namerican legion award  loup city  ne   1981\nspecial recognition award for outstanding yearbook editor   1985mary l  chapin senior art award  doane college   1985\nyearbook editor and co head photographer  1984 and 1985\npresident and member  delta chi upsilon sorority\npresident and member  doane art league\nart editor  \nxanadu\n \nliterary magazine\nalpha lambda delta and cardinal key honor societies\ngpa  \n3 44\nskills\noffice and accounting \n  accounts payable  accounts receivable  payroll  billing  taxes\ncustomer service excellence and executive administrative assistance \n  personal banker  national call center representative for major\nwireless company  secretary for president of a college  secretary for a lawyers office\nproblem solving and critical thinking  \n \nbilling  service  sales  wireless network troubleshooting  wireless device troubleshootin', 'University': 'g'}]","award doane college, scholarship doane college, customer service skills, doane college city, national call center, college city state, outstanding customer service, customer service critical, environment customer service, excellent customer service"
./data\ADVOCATE\11773767.pdf,ADVOCATE,"[{'Degree': 'bachelor', 'Major': 'of social sciences\n \n  \n2009\n \nuniversity of washington\n \nlaw  gender and ethnicity the national alliance for insurance education andresearch \ncurrent certified insurance councilor   agency management  life   health  commercial property goal to complete personal lines\nand commercial casualty by the end of the year 2016 to earn my cic designation \nskills\naccount management  agency  benefits  billing  cisco  coach  coaching  com  counseling  client  client relations  customer relations  customer\nservice  customer care  direction  hiring  hr  insurance  kronos  law  letters  meetings  mentoring  excel  ms office  sharepoint  ms\nwindows  needs analysis  enterprise  newsletter  organizing  peak  performance reviews  pivot tables  policies  problem solving  improve\nprocesses  project management  quality  quality assurance  research  selling  sales support  scheduling  supervising  technical support  employee\ndevelopment  training materials  underwriter  underwriting  article', 'University': 's'}]","quality customer service, customer service agents, customer service customer, monitor department service, department service levels, customer relations customer, relations customer service, benefit advocate supervisor, customer service supervisor, casualty customer service"
./data\ADVOCATE\11963737.pdf,ADVOCATE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nhealth and physical education computer science and information technology computer science\n \nslippery rock university\nof pennsylvania northampton community college\n \nï¼  \ncity\n \n  \nstate\n \nhealth and physical education computer science and information technology\nmagna cum laude computer science\n1980\ncomputer science\n \ncomputer science\nskills\nbilling system  blood pressure  brand management  business development  business processes  cancer  data analysis  sales  sql \ntelecommunications  teleco', 'University': 'm'}]","senior client advocate, education computer science, city state managed, science computer science, computer science computer, physical education computer, business development business, user acceptance testing, data analysis business, technology computer science"
./data\ADVOCATE\12171093.pdf,ADVOCATE,[],"exceptional customer service, customer service team, service team members, motivate team members, team members held, offered exceptional customer, city state usa, gave constructive feedback, give exceptional service, multiple customers simultaneously"
./data\ADVOCATE\12544735.pdf,ADVOCATE,"[{'Degree': 'master', 'Major': 'of public administration\n \n  \nhealth care management\n \ngrand canyon university\n \nï¼  \ncity\n \n  \nstate\n \nhealth care management\n2011\nbachelor of science\n \n  \nfamily and human development\n \narizona state university\n \nï¼  \ncity\n \n  \nstate\n \nfamily and human development\nskills\nallergies  attention to detail  cpt  clients  emotional support  forms  home health  hospice icd 9  ids  insurance  leadership  law  medical\nterminology  coordinate patient care  processes  coding  quality assurance  safety  self motivated  team player  type  writte', 'University': 'n'}]","coordinate patient care, city state health, health care management, pharmacy technician company, city state family, city state work, city state served, city state identified, city state interviewed, state health care"
