CV File,Category,Education,Top Skills
./data\AGRICULTURE\10953078.pdf,AGRICULTURE,[],"city state nursing, geriatric assessment center, city state assessment, excellent organizational skills, city state participate, city state general, city state maintaining, city state responsibilities, city state personal, evidence based practice"
./data\AGRICULTURE\11197262.pdf,AGRICULTURE,"[{'Degree': 'master', 'Major': 's of science in environmental and natural resource science \nwildlife biology field assistant\n \nmay 1998\n \nto \nseptember 1998\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nassisted in avian field surveys utilizing research data analysis to determine the condition of the current population of flammulated owls in western\nnew mexico \ncollected nest site and microhabitat forest density measurements with garmin gps unit  fiberglass tape  spherical densitometer  clinometer \ntelescoping pinhole camera and video recording equipment during constant monitoring of survey routes along the continental divide  new mexico \nparticipated in broadcast surveys  observed nest site selection  flight patterns  observed and collected foraging rates and prey selection data  used\ntargeted mist nets to capture  band and take blood samples for dna fingerprinting  observed nest and brood habits and fledgling success \neducation\ncertificate\n \n  \nwetland delineation and identification\n \n  \n2012\n \nrutgers  the state university of new jersey\n \nï¼  \ncity\n \n  \nstate\n \n  \nus\n \nbachelor of science\n \n  \nenvironmental biology\n \n  \n2011\n \nkeystone college\n \nï¼  \ncity\n \n  \nstate\n \n  \nus\n \naffiliations\nkeystone college eco club\nnorth american bird phenology program\ncertifications\namerican red cross first aid and cpr training\nfema federal emergency management training\nskills\nskillful application of bench chemistry in a lab setting by adhering to standard operating procedures \nability to analyze and test basic wet and dry chemistry obtaining qualitative and quantitative chemical measurements \ncapacity to follow recipes and formulate mixtures based on manufacturer s specifications \nkeen technical and mechanical ability \nstrong work ethic and the ability to work collaboratively or independently under a variety of challenging conditions', 'University': ''}]","city state forest, forest insect pest, city state emerald, city state regional, city state trail, state forest insect, city state laboratory, city state assisted, insect pest aide, insect field data"
./data\AGRICULTURE\11676151.pdf,AGRICULTURE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \ncomputer information systems telecommunication systems support\n \n2008\n \ntulane university\n \ncity\n \n  \nstate\n \n  \nusa\n \nassociate of science\n \n  \ncomputer network engineering\n \n2002\n \ndelgado community college\n \ncity\n \n  \nstate\n \n  \nusa\n \nmilitary\nunited states navy  veteran  \nhonorable discharge\ntechnical skills\nsystem software \n \nadobe dreamweaver  skills monitoring daily production runs  for technical support   i e   disc backups  database verifications statistics reports  performed complexity installation and maintenance of software  skills in electronic medical records  adobe flash  help desk\nsoftware  \nhtml  libm mainframes  access  excel  microsoft office  microsoft operating systems  powerpoint  word \nnetwork support  \ninstalled and provided day to day end user support of local area network by identifying  analyzing  testing and correcting\nprogram  machine  data  or procedural problems  researched  tests and document network  lan wan enterprise  operating system  application\nsoftware products  and peripheral hardware  installs software and hardware in order to manage  monitor and support extensive computer\nnetwork  assisted in monitoring performance and efficiency of an enterprise network  understand protocols tcp ip  active directory \ndatabase \n \nepic and ibm database programming skills  \ndocumentation  html website design  trained professional and users on the\nsystem  document programming efforts  maintenance utilities  performed system programming support to run jobs and troubleshoot issues  storage\narea networks skills \ncommunication skills  \nexcellent verbal and written communication skills with emphasis in customer support  including experience handling\ndifficult customers and conflict resolution  excellent interpersonal skills and the ability to work collaboratively in team environment  capable of\nseeing and managing project through from start to finish  problem solving skills \ncertification \n \ncandidate project management professional  pmp', 'University': ''}]","city state usa, lsu medical science, city state worked, microsoft operating systems, city state provided, city state resolved, patient access rep, electronic medical records, university city state, college city state"
./data\AGRICULTURE\11813872.pdf,AGRICULTURE,"[{'Degree': 'master', 'Major': 'of science\n \n  \ncomputer science and programming\n \nqau\n \nï¼  \ncity\n01 2008\ncfa level 1\n \ncfa institute\n \nï¼  \ncity\nsome college  no degree \n \n  \npython for finance\n \nudemy courses\ncertifications\ncertified aws certified cloud practitioner   2020\nrlf leadership for life  graduate  babson college 2018\noracle certified professional 2001\nadditional information\ni was a key note speaker at in memory computing platform in 2017 and 2018 to share my experience about ibor at wellington  slides\nand my talk is available at following links \nhttps   www imcsummit org 2018 us session optimized memory ibor architecture cloud environment using apache ignite\nhttps   www imcsummit org 2017 us sessions implementation investment book record ibor using apache ignitegridgai', 'University': 'n'}]","data architecture data, ibor architecture ibor, data store ods, data modeling data, investment performance data, provide real time, ibor platform ibor, data governance data, architecture data architecture, business architecture data"
./data\AGRICULTURE\12341902.pdf,AGRICULTURE,"[{'Degree': 'master', 'Major': 's of\neducation degree program in school counseling from 2001 to 2011  \neighty  nine  89  persons obtained the masters degree  and the unit has the\nlargest amount of employees with this degree in the ministry of education  \ni realized in order for the unit to move forward  ongoing training was a\nrequirement for all officers  which kept them informed about the latest techniques and strengthened areas of concern  \nwe also established a crisis\nteam that assists with grief and disaster counseling \nthe needs of students were being met but those of the employees were not and after visiting the school district in dallas texas  i learned about the\nemployee assistance program  and implemented it at the ministry of education on a smaller scale  \nthis proved to be very successful but \nthe need\nfor expansion was necessary  upon the retirement of mrs  pansy hamilton brown  iris strachan  and clevette gibson took the \nreins and took\neap to the next level  \nthe demands on the officers made me realize that the service needed to be made available to all government employees and\nthe idea to expand the service was decided  \ni enjoyed my role as senior education officer and if given the opportunity would like to be a part of\ntaking eap to the next level \ncore qualifications\nexperienced in individual and group counseling\nsound knowledge of erik erikson developmental\nstages from birth to death\noutstanding planning and organizational skills\nexceptional communication skills and outstanding\nleadership qualities\nflexible  enthusiastic and enjoys working with people\nsolution focus\nunique knack in identifying and improving counselors and clients potential\nskilled in ms office and researching on the internet\neffective listener and critical thinker skills\noutstanding interpersonal and rapport building skills  \nskilled in collecting and compiling information through interaction with\ncolleagues  parents and students\nexperience\n10 2007\n \nto \ncurrent\nco chair person of the annual careers month   national careers fair\nthe purpose of the activities during the month of october is to launch career information to all students in the school system  which continues\nthroughout the school year \nadjunct lecturer 2002 to 2012\n â \nkent state university   the college of the bahamas for the masters degree in school counselling  nassau campus\nemployee assistance program coordinator \nâ \nin 2003 after visiting the school system in dallas texas and learning about their employee assistance program  i designed and implemented a\nportion of the program that addressed the counseling needs of employees at the ministry of education  \nthe program is a voluntary or referral\nâ  work based program that offers free and confidential assessments  short term counseling  referrals  and follow up services to employees who\nhave personal and or work related problems   \nthe program has assisted an estimated two thousand five hundred employees over the last twelve\nyears \nnational l e a d institute bahamas \ndelegation site visit to north carolina where visited correctional facilities and review programs to\naddress the needs of students and family members  these concerns were address and suggestions recommended on how to best assist our\nstudents \neducation officer   senior education officer guidance   counseling unit\n \n08 1999\n \nto \n03 2015\n \ncompany name\nsupervise guidance counselors in the government school system  the guidance counseling unit continues the effort to assist counselors across\nthe bahamas  to develop well balanced and comprehensive programs in order to meet the academic  developmental person and social needs ofstudents \nschool counselor\n \n03 1982\n \nto \n06 1999\n \ncompany name\noffice clerk\n \n01 1975\n \nto \n01 1977\n \ncompany name\neducation\nmasters of science\n \n  \nguidance counseling\n \n1985\n \nlong island university\n \ncity\n \n  \nstate\n \n  \nus\nbachelors\n \n  \npsychology\n \n1980\n \nbethune cookman college\n \ncity\n \n  \nstate\n \n  \nus\nhigh school diploma\n \n1975\n \nst  johns college\nprofessional affiliations\nnassau chapter of links \nalpha kappa alpha sorority  1979   present\nbahamas association of school counselors   2010   present\namerican school counselors association â   2000 present\nemployee assistance professionals association  eapa  â   2013 present\nskills\nbrief counseling  resistance and prevention program  rapp  certified trainer  group and individual counseling', 'University': ''}]","guidance counseling unit, senior education officer, employee assistance program, officer guidance counseling, education officer guidance, education officer senior, officer senior education, students education officer, education degree program, counseling unit professional"
./data\AGRICULTURE\12674256.pdf,AGRICULTURE,[],"customer service score, satisfactory customer service, city state reviewed, city state conducted, city state prior, city state usa, financial sales consultant, customer service auditor, service scores reviewed, approval score responsible"
./data\AGRICULTURE\14140903.pdf,AGRICULTURE,"[{'Degree': 'master', 'Major': 'of science\n \n  \nmonogastric nutrition\n \n2011\n \nuniversity of agriculture\n \ncity\n \n  \nstate\n \n  \nnigeria\nawards\n university of agriculture graduate fellowship\n postgraduate tuition scholarship for first class students in the university\n dufil prima schloarship for postgraduate students in nutrition\nbachelor of agriculture\n \n  \nanimal nutrition\n \n2009\n \nuniversity of agriculture  abeokuta\n \ncity\n \n  \nstate\n \n  \nnigeria\naward\nacademic achievement award for graduating with a first class   4 59 out of 5 00 \naffiliations\nnigerian society of animal production\namerican society of animal science\npublications\npeer reviewed publications\n c  m  huisden  n  j  szabo  \ni m  ogunade and a  t  adesogan  2014   mucuna pruriens detoxification  1  effects of ensiling duration and\nparticle size  animal feed science and technology   in press   ogunade i m   eruvbetine   d   oyekunle  a o  fafiolu  a o  olorunsola  r a   oso  a o   sobayo  r a   falola  a c   osho  s o  and o m\nsogunle  2012   control of salmonella organisms in laying hens through the use of feed additives  nigeria poultry science journal 9  166 171 \n olorunsola r a  eruvbetine d  oyekunle m a  jegede a v and \nogunade i m  2012   salmonella organism transmission in hatching broiler eggs \njournal of biology  agriculture and healthcare  vol 2  no 10 \n i b allison  d a ekunseitan  a a ayoola  s o iposu  o m o idowu  i m ogunade and s o osho  2013   effect of beak amputation and sex\non the pecking rate damage and performance parameters of turkey  paskitan journal of biological sciences 16 19   1022 1027 \n r a  sobayo   a  o  oso  o a  adeyemi   o g  sodipe  a o  fafiolu  odetola  o m and i m  ogunade  2013  growth response and nutrient\ndigestibility of broiler chicken fed graded levels of phytobiotics  garcinia kola  bitter kola   journal of applied agricultural research 5 1   91 99 \nofficial publication of agricultural research institute  nigeria \n a  o  oso  a  s  haastrup  a  j  ajibade  k o  olowonefa  a o  aluko  \ni m  ogunade  s o  osho  a m  bamgbose   2013   growth\nperformance  apparent nutrient digestibility  caecal fermentation  ileal morphology and caecal microflora of growing rabbits fed diet containing\nprobiotics and prebiotics  livestock science  157  184 190 \n oso  a  o  g a  williams  a v  jegede  r a  sobayo  a o  fafiolu  o m o  idowu  m  o  sogunle  o s  akinola  o o  adeleye  l a r \nolorunsola  i m  ogunade  s o  osho  f o  obadire  a m bamgbose  2014  interactive effect of whole millet feeding and mannan\noligossaccharides supplementation on growth performance  serum biochemistry and organ weights of helmeted guinea fowl  numidia meleagris  \nlivestock science 159  46 52 \n osho  s o   oso  a o   akpan  i e   ayanniyi  t a   ogunade  i m   durosaro  s o  and idowu  o m o   2013   health status and blood\nparameters of weaner rabbits fed diets containing varying dietary fibre and digestible energy levels  journal of biology  agriculture and healthcare \n3 19   79 86  published by international institute for science  technology and education  united states of america \n durosaro  s o   ojo  a   fadare  a o   olowofeso  o   ilori  b m   osho  s o   ogunade  \ni m  and ozoje  m o   2013   effect of coat\ncolour on water intake and feed utilization of intensively reared west african dwarf sheep in the humid tropics  journal of biology \nagriculture and healthcare  3 19   31 37  published by international institute for science  technology and education  united states of\namerica \n ekunseitan  d a   balogun  o o   eruvbetine  daisy  abiola  s s   sogunle  o m   ogunade  i m   egbeyale  l t   ayoola  a a   akinola \no f   allison  i b  and osho  s o   2012   visual assessment  proximate composition and cost analysis of three differently processed discarded\nvegetable bovine blood rumen content mixtures as substitutes for conventional feedstuffs  short communication nigerian journal of animal\nproduction 39 2  211 217 \nconference papers\n ibukun m  ogunade  kathy g  arriola  rafael m  martins  bibiana y  coy  chelsea l  curry  deborah k  terkoski  amber rubright  marcos\ng  zenobi  zhengxin ma  charles r  staples  adegbola t  adesogan  2014   effect of prototype sequestering agents on performance and milk\naflatoxin m1 concentrations of dairy cows fed aflatoxin b1 contaminated diets  adsa asas csas joint annual meeting  missouri  usa\n07 2014\n o  oso  o  erinle  a v  jegede  a o  fafiolu  r a  sobayo  r  olorunsola  a m  bamgbose  i m  ogunade  s o  osho  w a  olayemi  f o \noke   2013   effect of whole millet feeding and mannan oligosaccharides supplementation on organ weights of cockerel chicks  wpsa  uk\nbranch  annual meeting 16th 17th april 2013  the jubilee campus  nottingham university  united kingdom ogunade  i m   eruvbetine d  fafiolu  a  o   oyekunle  m a  oso  a o  sobayo  r a  osho s o  ekunseitan d a  2012  effect of dietary\nmannan oligosaccharides on the prevalence of salmonella organisms in the dropping of sampled laying hens within south western nigeria  world s\npoultry science association  uk branch  annual meeting 24 25th april  pg 35 jubilee campus  nottingham university  british poultry abstracts\n8  1  44 45  united kingdom\nskills\n great organizational skills\n good numerical and analytical skill', 'University': 's'}]","city state nigeria, education united states, cows fed aflatoxin, agriculture city state, campus nottingham university, dairy cows fed, graduate research assistant, animal feed science, agriculture animal nutrition, united kingdom ogunade"
./data\AGRICULTURE\15053703.pdf,AGRICULTURE,"[{'Degree': 'master', 'Major': 'y of microsoft office programs  excel  word  powerpoint  outlook   ability to\nwork with several operating systems\nattention to detail  produces work that is neat and attractive  ensures that tasks are all done\nflexible  willing to try new things  able to work on schedule  interested in improving efficiency on\nany task\ncalm under pressure\ndecisive\ncurriculum development\norganizational development\nknowledge\nmember of portland helping\nhands and family homeless\nshelter\naccomplishments\nrota high school  2009 2013  class valedictorian  national honor society president  youth advisory president  anti bullying campaign\npresident  take action youth advocacy member  junior achievement program public relations officer  army jrotc company\ncommander  won most outstanding female graduate  and leadership award\nfounded and led a comprehensive after school enrichment program at rota elementary school   the reading bridge project \nuniversity of portland student  class of 2017  elementary education major  army rotc  and kappa delta pi  education  honor society\nofficer \nled 3 summer camp programs  and student teach in 3 schools at the portland district\nexperience\nadministration office assistant\n \n06 2010\n \nto \n08 2010\n \ncompany name\n \ncity\n \n  \nstate\n summer job  worked with the director of the cultural affairs department in filing papers  answering phone calls  assisting on historic\npreservation projects  working with clients  and educating young students about the importance of preserving the island s culture and language  2 \ndepartment of public safety  rota  m p   96951  songsong village  district 3  cnmi \nadministration office assistant and public safety trainee\n \n07 2011\n \nto \n08 2011\n \ncompany name\n \ncity\n \n  \nstate\nassisted on paper works with public safety  arranged meetings  answered phone calls  filed paper works  assisted on traffic  worked with police\nofficers on radar speed detection on highways  patrolled around the island for any vehicles not conforming to the law  had cpr training  worked\nwith fire department on fire safety rules  3  northern marianas college internship program  rota  m p   96951  highway  cnmi \nnutrition and agriculture internship trainee\n \n07 2012\n \nto \n08 2012\n \ncompany name\n \ncity\n \n  \nstate\n internship program  trained under the nutritional program with food safety and healthy diet  assisted on presentations for children about nutrition \nmade healthy ice cream and beef jerky to distribute to the community  taught the community about different types of healthy cooking methods \nwent around the island to visit farmers who are having problems with crops  educating farmers as to how to maintain their soil  studying the\ndifferent diseases of plants and ways to identify symptoms  presented the importance of agriculture to the community  4  cooperative education\nprogram workforce  rota high school  m p   96951  songsong village  cnmi  teacher aide for high school students\ncoop program trainee\n \n02 2013\n \nto \n09 2013\n \ncompany name\n \ncity\n \n  \nstate\nassisted in tutoring students who are below average  worked with teachers on projects and plans to help improve both math and english\ndepartments  made assignments to help students practice their skills  made educational games  worked with sped students  assisted on\nparent teacher meetings  and joined hand in hand with teachers and staff to evaluate the progress of students throughout the school year \nstudent activities office assistant \n08 2013\n \nto \n12 2014\n \ncompany name\n \ncity\n \n  \nstate\nhelped organized activities in the university s campus  worked with other universities to create combined events  assisted clubs and\norganizations for sponsored activities volunteering opportunities\neducationhigh school diploma\n \n  \ngeneral \n2013\n \nrota high school\n \ncity\n \n  \nstate\nbachelor of arts\n \n  \nelementary education\n \n2017\n \nuniversity of portland\n \ncity\n \n  \nstate\nuniversity of portland student  majoring in elementary education  class of 2017  army rotc  kappa delta pi honor society officer \naffiliations\nportland helping hands and family homeless shelter\nskills\npublic speaking  student involvement  and organizationa', 'University': 'l'}]","city state assisted, rota high school, administration office assistant, portland city state, portland helping hands, school city state, city state university, high school city, honor society officer, city state internship"
./data\AGRICULTURE\15546686.pdf,AGRICULTURE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n \n \nmetropolitan state university of denver\n \n  \nmicrobiology and molecular biology\n \ncity\n \n  \nstate\n \n  \nusa\n \nmicrobiology and\nmolecular biology\nexperience\nsenior field application specialist\n \n06 2014\n \nï¼  \n06 2016\n \ncompany name\n \ncity\n \n  \nstate\nresponsible for first line of customer support and troubleshooting both onsite and remotely \nprovided proficient and timely instrument training  validation and implementation for bio health care customers on the use of all biomerieux\nplatforms and assays  immunoassay  microbial identification  microbial resistance  mass spectrometry maldi tof  sterility  microbial\nenumeration  dna rna extraction  dna strain typing  media management  and blood banking \nstrictly adhered to government guidelines and regulations \naided the marketing  engineering and sales groups to increase offerings and solutions \nremained the technical expert on all products \norganized and managed a large territory through proper reporting and proof of accountability \nfield application specialist\n \n01 2008\n \nï¼  \n06 2014\n \ncompany name\n \ncity\n \n  \nstate\nresponsible for first line of customer support and troubleshooting both onsite and remotely \nprovided proficient and timely instrument training  validation and implementation for industrial micro customers on the use of all biomerieux\nplatforms and assays  immunoassay  microbial identification  microbial resistance  mass spectrometry maldi tof  sterility  microbial\nenumeration  dna rna extraction  dna strain typing  media management  and blood banking \nstrictly adhered to government guidelines and regulations \naided the marketing  engineering and sales groups to increase offerings and solutions \nremained the technical expert on all products \norganized and managed a large territory through proper reporting and proof of accountability \n2013 field application specialist of the year \n2008 field application specialist of the year \nnational trainer vitek mass spectrometer maldi tof \nvalidated tempo for the usda mdp program \ndeveloped and implemented new training materials and guidelines \nlead trainer of the diversilab dna strain typing system  and lead molecular support \ndesigned biomerieux training and certification for the food emergency response network \nlab technician\n \n01 2007\n \nï¼  \n12 2007\n \ncompany name\n \ncity\n \n  \nstate\nhired to work on a federal funded program testing produce for human pathogens \nutilized several in vitro diagnostic systems  dna extraction and amplification  and minimal chemistry gc ms \nteaching assistant  research assistant\n \n01 2005\n \nï¼  \n01 2007\n \ncompany name\n \ncity\n \n  \nstate\ncell and molecular teaching and research assistant \nresponsible for materials used in lectures and practical work \nled lectures  graded papers \nassisted in cell and molecular research \nskills\nbanking  chemistry  customer support  dna  gc  government  marketing  materials  network  reporting  research  sales  teaching  trainer \ntraining materials  troubleshooting  typing  validatio', 'University': 'n'}]","field application specialist, senior field application, dna strain typing, city state responsible, microbial identification microbial, microbial enumeration dna, extraction dna strain, tof sterility microbial, microbial resistance mass, dna rna extraction"
./data\AGRICULTURE\15603319.pdf,AGRICULTURE,"[{'Degree': 'master', 'Major': 'of science\n \n \n \nentomology   qualifying\n \n2016\n \nflorida agricultural   mechanical university\n \n  \ncity\n \n  \nstate\n \n  \nunited states\n \nbachelor of science\n \n \n \nenvironmental science\n \n2011\n \nknox community college\n \n  \ncity\n \n  \njamaica\nassociate of science\n \n \n \ngeneral agriculture\n \n2006\n \ncollege of agriculture science and education\n \n  \ncity\n \n  \njamaica\n professional affiliations\nentomological society of america  esa \nflorida entomological society\nflorida agricultural   mechanical university esa debate team\nminorities in agriculture  natural resources and related sciences  mannrs \nawards and publications\nreuben capelouto foundation and william l peters memorial scholarship awardee 2013 2014 monsanto 1890 student leadership event\nparticipant  st louis missouri  2014\nmentoring at purdue summer scholarship program participant west lafayette  indiana  2014 \nesa entomological society of america   annual meeting  portland  oregon  developing a biological control measure for the management of an\ninvasive scale insect  \nphalacrococcus howertoni\n \n hemiptera coccidae  in south florida  published abstract \nesa  entomological society of america   annual meeting  portland  oregon  â œwhat is the single best tool to reduce malaria cases throughout\nthe world  â œpublished article   2014\nskills\ndata collection  maintain inventory statistical analysis  prepare sample and microsoft offic', 'University': 'e'}]","integrated pest management, esa entomological society, scale insect phalacrococcus, insect phalacrococcus howertoni, graduate research assistant, invasive scale insect, florida agricultural mechanical, america annual meeting, agricultural mechanical university, annual meeting portland"
