CV File,Category,Education,Top Skills
./data\APPAREL\10182582.pdf,APPAREL,[],"strong interpersonal skills, microsoft outlook word, city state trained, city state effectively, city state marketing, city state greeted, university city state, interpersonal skills customer, resolved customer service, skills customer service"
./data\APPAREL\10562768.pdf,APPAREL,"[{'Degree': 'master', 'Major': 'marx  continuum  facets  medco  med\ninformatics  care advance  verint  cisco  citrix\nexperience\ncompany name\n \ncity\n \n  \nstate\n \nassistant banking center manager i\n \n03 2016\n \nto \ncurrent\nknowledgeable in all aspects of running retail banking center building operations  audit policies and procedures  general management \nteam building  comerica securities  and all retail financial products \npreparation of internal instructions  operating policies  standard operating procedures  sops   and guidelines \nskilled in assessing fraudulent issues  plans and conducts investigations designed to achieve casualty resolution \nanalyzed inspections  or investigations to identify problem area s within retail financial programs \nmathematical abilities to perform calculations including application of discounts  interest  proportions  mortgage terms  and percentages \nproficient in the following systems  cisco  hogan  trio  elan  mortgage referral tool  bloomberg  paypoint  check vision  account\nanalysis  aas   and costar \nmember and provider services \ncompany name\n \ncity\n \n  \nstate\n \nmember and provider services\n \n10 2015\n \nto \n03 2016\ncertified in the 8 step ulysses service mentor program \nproficient in the following systems  macess  facets  citrix  medco  careadvance  health maintenance organization  continuum \nmarx  med informatics  cisco  and verint \nsales and customer service skills used to build and maintain exceptional relationships with subscribers  providers  small groups  large\ngroups  and governmental programs \nknowledge of mdch  ncqa  and mtm nmis \nexperienced with the following  department of human services  center for medicare and medicaid services  and the health insurance\nmarketplace \ncompany name\n \ncity\n \n  \nstate\n \nbox office associate\n \n01 2014\n \nto \n07 2015\nproficient in the following systems  archtics  ticketmaster  and michigan lottery sales \nability to multi task and provide top level salesmanship \ndirectly handled customer complaints and provided problem solving for a sufficient solution \nworked at all three locations as a box office associate  meadowbrook hall  dte  and the palace of auburn hills \ncompany name\n \ncity\n \n  \nstate\n \nhead sales associate\n \n05 2013\n \nto \n12 2015\nknowledgeable in all aspects of running a small business  payroll  accounts receivable  accounts payable and general leadership \nincreased sales over 10  from 2013 to 2015 \nunderstanding of general hospital health care practices and regulations  osha \nskilled with all microsoft office programs \nexperienced in medical field sales pitches and marketing strategies \nmathematical abilities to perform simple calculations including application of discounts  interest  commissions  proportions  and percentages \ncompany name\n \ncity\n \n  \nstate\n \nsigint analyst\n \n06 2009\n \nto \n03 2010\nassisted in the development of over the air waves analysis between satellite  radio  and conducted pattern analysis to identify known and\nunknown threats \ndevelopment and exploration of signit targets used for the research and development of intelligence reports and product preparation for\nsupport to military  both  tactical and strategic \nexpert working knowledge of signit  to include comint  elint  and osint  as well as all source analysis and reporting \ngained working knowledge of reporting to captains and above \nsquad leader of 14 entry level soldiers \ndeveloped and improved iir s and pir s for analysis and collection capabilities \ndue to injury  was unable to complete the given contract length \ncompany name\n \ncity\n \n  \nstate\n \naquatics associate\n \n10 2007\n \nto \n04 2009ymca certification  red cross ellis lifeguard \ncertification  water aerobics certification  cpr first aid aed \ncertification  usa\ncertified swim coach  swim instructor certification \nincreased north oakland waves swim team membership \nby 47  \nlead swim instructors and lifeguards in \nmonthly cpr aed first aid training  â  â  â  â  â â \neducation\nbachelor of science\n \n2008\n \noakland university\n \n  \ncity\n \n  \nstate\nbasic training  fort leonard wood  mo  2009  advanced individual training  sigint training   goodfellow afb  tx\n \n2010\n2016\n \ncochise college\n \n  \nstate\nmasters of business administration\n \n2016\n \noakland university\nnetwork plus certification  \n \n2016\nexpected  \nsecurity plus certification\n \n2016\ncertifications\nymca certification  red cross ellis lifeguard certification  water aerobics certification  cpr first aid aed certification  usa certified\nswim coach  swim instructor certification   increased north oakland waves swim team membership by 47   \n lead swim instructors and\nlifeguards in monthly cpr aed first aid training  \nprimary databases and software used\nskills\naccounts payable  accounts receivable  analyst  banking  basic  bloomberg  cisco  citrix  coach  cpr  customer service skills  databases \nfinancial  first aid  general management  hogan  instructor  insurance  leadership  team building  marketing strategies  mentor  all microsoft \nms office suite  office  network  payroll  policies  problem solving  radio  reporting  research  retail  sales  securities  strategic  visio', 'University': 'n'}]","swim instructor certification, aid aed certification, swim coach swim, instructor certification increased, aerobics certification cpr, coach swim instructor, ellis lifeguard certification, lifeguard certification water, aed certification usa, lead swim instructors"
./data\APPAREL\10738095.pdf,APPAREL,[],"personal lines insurance, lines insurance policies, promoted agency products, city state promoted, city state interviewed, promoted client retention, agency promoted agency, writing promoted client, high quality service, customer service representative"
./data\APPAREL\10876132.pdf,APPAREL,"[{'Degree': 'bachelor', 'Major': 's degree\n \n  \nfine arts\n \n  \n2005\n \npennsylvania academy of fine arts\n \nï¼  \ncity\n \n  \nstate\nfine arts\n2001\n \nhussian school of art\n \nï¼  \ncity\n \n  \nstate\nfour year commercial art school  transferred after two years to pafa\nhigh school diploma\n \n  \n1999\n \nwoodstown pilesgrove high school\n \nï¼  \ncity\n \n  \nstate\nadditional achievements\nfounder and owner of warrior class llc\ncertified instructor in israeli krav mag', 'University': 'a'}]","claims special investigator, oversaw special orders, special investigative unit, city state fine, completed field investigations, hours urgent shipping, urgent shipping jobs, shipping jobs unloaded, city state investigate, city state supervised"
./data\APPAREL\11232471.pdf,APPAREL,"[{'Degree': 'master', 'Major': 'at executing and enhancing game plans\nproficient in opening and closing store procedures  including cash office execution', 'University': ''}]","city state managed, city state assisted, city state encompassed, city state usa, softlines manager march, meet company standards, enforcing company policies, store associates apparel, goods nike brand, nike brand coordinator"
./data\APPAREL\11409460.pdf,APPAREL,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \npetroleum engineering\n \n  \njul\n \ntexas a m university\n \nï¼  \ncity\n \n  \nstate\n \npetroleum engineering\n number \n \ngpa \nskills\nsolid works  cad  matlab and ms office\nprocess implementation\nlanguages\nenglish  portuguese  spanish \nexperience\nbuyer planner\n \nmay 2016\n \nto \ncurrent\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nplan and execute forecasting strategies for mass production planning \ncollaborate with cross functional groups including engineering  shipping receiving  purchasing  and sales \nnegoatiate proposals for potential suppliers  including quantitative and qualitative research \nobtain documents  clearances  certificates  and approvals from local  state and federal agencies \nwork closely with production to convert weekly plan into daily work center schedules that manage constraints of manpower  equipment\nand optimize costs \nlogistics analyst\n \nfebruary 2015\n \nto \nmay 2016\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nmanaged erp system to monitor the status of incoming materials \nreleased work orders to the production floor as inventory became available \ncoordinated expedited shipping orders request with production manager \ninteracted with cross functional teams like sales  production  and the executives \nanalyzed incoming requisitions and shortages reports for quality  specification  pricing and delivery requirements \ntranslated business needs and priorities into actionable logistics strategies \nwarehouse executive\n \nfebruary 2011\n \nto \njanuary 2015\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nrepresented the operations group in receiving all inventories from vendor deliveries \nparticipated in joint receiving and inspection of all shipyard spare parts deliveries and liaise closely with the procurement team on\nscheduled deliveries \nutilized maximo system to electronically track inventory flow  bin storage  and reconcile inventory \nensured warehouse was kept in a safe and efficient manner with inventory properly labeled and sorted for easy identification and picking \nsupervised periodic stock take and conducted investigation for any discrepancies \ncarried out the daily issuance of tools   inventory to shipyard personnel base on inventory requests and work orders \nmonitored stock levels and reordered inventory when low \nensured inventory is stored in accordance with best practices and chemical storage complies with ghs classification \nskills\ncad  delivery  english  erp  forecasting  functional  inspection  inventory  leadership skills  logistics  materials  matlab  ms office  personnel \nportuguese  pricing  procurement  production manager  proposals  purchasing  qualitative research  quality  fast learner  receiving  sales \nshipping  solid works  spanish  specification  strategy   planning  supply chai', 'University': 'n'}]","city state petroleum, city state plan, city state managed, city state represented, state petroleum engineering, skills solid works, shipping solid works, solid works cad, solid works spanish, team oriented work"
./data\APPAREL\11677077.pdf,APPAREL,"[{'Degree': 'master', 'Major': 's new concepts and skills  passionate about helping customers and creating a satisfying shopping experience \ncore qualifications\ncash handling accuracy\nmathematical aptitude\norganized\ntime management\ndetail oriented\nexcellent multi tasker\nstrong communication skills\nflexible schedule\nproficient in ms office\nexperience\ncashier\n \noctober 2014\n \nto \ncurrent\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nreceive payment by cash  check  credit cards  vouchers  or automatic debits \nissue receipts  refunds  credits  or change due to customers \nassist customers by providing information and resolving their complaints \nestablish or identify prices of goods  services or admission  and tabulate bills using \ncalculators  cash registers  or optical price scanners \ngreet customers entering establishments \nanswer customers  questions  and provide information on procedures or policies \nprocess merchandise returns and exchanges \nmaintain clean and orderly checkout areas and complete other general cleaning duties  \nsuch as mopping floors and emptying trash cans \nstock shelves  and mark prices on shelves and items \ncount money in cash drawers at the beginning of shifts to ensure that amounts are \ncorrect and that there is adequate change \ncalculate total payments received during a time period  and reconcile this with total sales \nmonitor checkout stations to ensure that they have adequate cash available and that they \nare staffed appropriately \nassist with duties in other areas of the store  such as monitoring fitting rooms or bagging \nand carrying out customers  items \nsort  count  and wrap currency and coins \ncompute and record totals of transactions \ncompile and maintain non monetary reports and records \nweigh items sold by weight to determine prices \ncash checks for customers \ninbound return\n \njune 2014\n \nto \nseptember 2014\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nchanged equipment over to new product maintained proper stock levels on a line helped achieve company goals by supporting production\nworkers \ncashier\n \nfebruary 2014\n \nto \njune 2014\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nreceive payment by cash  check  credit cards  vouchers  or automatic debits \nissue receipts  refunds  credits  or change due to customers \nassist customers by providing information and resolving their complaints \nestablish or identify prices of goods  services or admission  and tabulate bills using \ncalculators  cash registers  or optical price scanners \ngreet customers entering establishments \nanswer customers  questions  and provide information on procedures or policies \nprocess merchandise returns and exchanges \nmaintain clean and orderly checkout areas and complete other general cleaning duties  \nsuch as mopping floors and emptying trash cans \nstock shelves  and mark prices on shelves and items \ncount money in cash drawers at the beginning of shifts to ensure that amounts are \ncorrect and that there is adequate change \ncalculate total payments received during a time period  and reconcile this with total sales \nmonitor checkout stations to ensure that they have adequate cash available and that they \nare staffed appropriately \nassist with duties in other areas of the store  such as monitoring fitting rooms or bagging \nand carrying out customers  items \nsort  count  and wrap currency and coins \ncompute and record totals of transactions \ncompile and maintain non monetary reports and records weigh items sold by weight to determine prices \ncash checks for customers \napparel associate\n \njanuary 2014\n \nto \nfebruary 2014\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ngreet customers and ascertain what each customer wants or needs \ndescribe merchandise and explain use  operation  and care of merchandise to customers \nrecommend  select  and help locate or obtain merchandise based on customer needs and \ndesires \ncompute sales prices  total purchases and receive and process cash or credit payment \nanswer questions regarding the store and its merchandise \nmaintain knowledge of current sales and promotions  policies regarding payment and \nexchanges  and security practices \nmaintain records related to sales \nwatch for and recognize security risks and thefts  and know how to prevent or handle \nthese situations \ninventory stock and requisition new stock \nhelp customers try on or fit merchandise \nclean shelves  counters  and tables \nexchange merchandise for customers and accept returns \nopen and close cash registers  performing tasks such as counting money  separating \ncharge slips  coupons  and vouchers  balancing cash\ndrawers  and making deposits \napparel associate\n \noctober 2013\n \nto \ndecember 2013\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ngreet customers and ascertain what each customer wants or needs \ndescribe merchandise and explain use  operation  and care of merchandise to customers \nrecommend  select  and help locate or obtain merchandise based on customer needs and \ndesires \ncompute sales prices  total purchases and receive and process cash or credit payment \nanswer questions regarding the store and its merchandise \nmaintain knowledge of current sales and promotions  policies regarding payment and \nexchanges  and security practices \nmaintain records related to sales \nwatch for and recognize security risks and thefts  and know how to prevent or handle \nthese situations \ninventory stock and requisition new stock \nhelp customers try on or fit merchandise \nclean shelves  counters  and tables \nexchange merchandise for customers and accept returns \nopen and close cash registers  performing tasks such as counting money  separating charge slips  coupons  and vouchers  balancing cash\ndrawers  and making deposits \ncashier\n \naugust 2012\n \nto \naugust 2013\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nreceive payment by cash  check  credit cards  vouchers  or automatic debits \nissue receipts  refunds  credits  or change due to customers \nassist customers by providing information and resolving their complaints \nestablish or identify prices of goods  services or admission  and tabulate bills using \ncalculators  cash registers  or optical price scanners \ngreet customers entering establishments \nanswer customers  questions  and provide information on procedures or policies \nprocess merchandise returns and exchanges \nmaintain clean and orderly checkout areas and complete other general cleaning duties  such as mopping floors and emptying trash cans \nstock shelves  and mark prices on shelves and items \ncount money in cash drawers at the beginning of shifts to ensure that amounts are \ncorrect and that there is adequate change \ncalculate total payments received during a time period  and reconcile this with total sales \nmonitor checkout stations to ensure that they have adequate cash available and that they \nare staffed appropriately \nassist with duties in other areas of the store  such as monitoring fitting rooms or bagging and carrying out customers  items \nsort  count  and wrap currency and coins \ncompute and record totals of transactions \ncompile and maintain non monetary reports and records \nweigh items sold by weight to determine prices \ncash checks for customers \neducation\nhigh school diploma\n \n  \n5 2013\n \nhenry county high school\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\nmember of ffa  fca  pep club  and mentoring children from one of the public elementary schools\nskillscalculators\ncash registers\ncredit  debit  checks and money\ninventory\nsales  scanners  table', 'University': 's'}]","customers assist customers, prices cash checks, cash check credit, determine prices cash, customers items sort, answer customers questions, scanners greet customers, greet customers entering, establishments answer customers, sales prices total"
./data\APPAREL\12059610.pdf,APPAREL,[],"clean building floors, trash clean building, empty trash clean, customer service employee, clean windows glass, customers maintain clean, prepare cleaning solutions, company policies equipment, fixtures mix water, employee training employee"
./data\APPAREL\12122372.pdf,APPAREL,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nbusiness administration\n \nmount saint mary s university\n \nï¼  \ncity\n \n  \nstate\n \nbusiness administration\nassociate of arts degree\n \n  \nmerchandise marketing\n \nfidm   fashion institute of design   merchandising\n \nï¼  \ncity\n \n  \nstate\n \nmerchandise marketing\nskills\n net  critical thinking  customer service  designing  fashion  leadership  team development  marketing plans  market research  market \nmarketing  microsoft office  2000  personnel  presentations  problem solving skills  project management  sales  phone  type  vendor relations \nverbal communication  writte', 'University': 'n'}]","city state managed, city state business, city state merchandise, city state career, city state responsible, city state oversaw, problem solving skills, leadership team development, city state, state managed company"
./data\APPAREL\12668625.pdf,APPAREL,[],"wal mart included, customer service making, responsibilities included customer, included customer service, skills customer service, states skills cash, cashier cash registers, making jewelry sales, qualifications customer service, customer service mindset"
