CV File,Category,Education,Top Skills
./data\ARTS\10830646.pdf,ARTS,"[{'Degree': 'master', 'Major': 'of science\n \n  \nschool and district administration\n \n  \n2010\n \ntouro college\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\n \nschool and district administration\nmaster of science\n \n  \nliteracy\n \n  \n2005\n \ntouro college\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\nliteracy\ncoursework in education\nbachelor of arts\n \n  \npolitical science\n \n  \n2000\n \nst  francis college\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\npolitical science\ncoursework in \npsychology\ncoursework in \neducation\ncoursework in \nhistory\nmember phi alpha theta\nmember pi sigma alpha\nmember st  thomas moore pre law society\nprofessional affiliations\nmember national educators association\nmember of the american psychological association\nmember of the american irish teachers association\nmember of the emerald society nyc department of education\nmember of the irish history and cultural studies committee\nmember of the committee for social and economic justice\ncommunity leadership positions\nf i t  team  data inquiry team  brinkley middle school  2014 2016 positive behavior intervention support team coordinator  brinkley\nmiddle school 2014 2016\n \nschool leadership team  brinkley middle school  2014 2016\nask for more arts team member  brinkley middle school  2013 2016 voyager language interventionist  brinkley middle school  2013 2015\nvolunteer  with the salvation army  1993 2013\nserved on the school based support team at bryant  high school  1997 2002\nserved on the comprehensive education plan committee  intermediate school 141  2002 2007coordinator for big brothers  big sisters  intermediate school 141  2003 2007\nserved on the data analysis committee  intermediate school 141  2006 2007\nserved on the academic intervention services committee  intermediate school 141  2006 2007\nschool leadership team  academy of finance and enterprise  2007 2013 data analysis committee  academy of finance and enterprise  2007 \n2013 data coach for the social studies department  academy of finance and enterprise  2007 2013\navid site coordinator  academy of finance and enterprise  2009 2013 department chair for the social studies department  academy of\nfinance and enterprise  2007 2009\ndepartment chair for the social studies department  academy of finance and enterprise  2010 2012\nbuilding response team member  academy of finance and enterprise  2011 2013\nschool safety member  queens campus high schools  2011 2012 comprehensive education plan committee  academy of finance and\nenterprise  2007 2013\nprincipals cabinet  academy of finance and enterprise  2011 2012 senior adviser  academy of finance and enterprise  2009 2012\ncoordinator of school activities  cosa   academy of finance and enterprise  2009 2012\nafter school and saturday school regents and advanced placement preparation  academy of finance and enterprise  2007 2013\nskills\nenthusiastic people person \ngoal oriented \nself motivated \nteam player \nadditional information\nn y s  permanent license for social studies 7 12\nn y s  professional license for literacy specialist k 12\nmississippi license in social studies 7 12\nmississippi license in literacy k 12â', 'University': ''}]","brinkley middle school, lesson plans focused, state provided state, city state provided, state united states, city state united, studies department academy, social studies department, committee intermediate school, unit lesson plans"
./data\ARTS\11187796.pdf,ARTS,"[{'Degree': 'bachelor', 'Major': 's degree in environmental technology and management  and attain a job in the field of sustainable design and\ntechnologies \nexperience\nmichael s arts and crafts store\n \nmarch 2017\n \nto \ncurrent\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nâ  capital blvd  location \naid store manager  assistant store manager  full time replenishment manager in day to day operations and planning  unload and stock\nstore merchandise \ntrain new replenishment associates \nemployee of the month  july \nfebruary 2016\n \nto \nmarch 2017\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nprovide customer service on the sales floor  manage day night time associates and store operations \ntrain and assess new associates \n assumed position at brier creek  raleigh  nc location in october 2015 \njune 2015\n \nto \nfebruary 2016\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\n brier creek location \nsupport specialist \nprepare cash registers  count money  and prepare documentation for the bank deposit \nmanage cashiers in the morning \nsales associate cashier \noffer customer service and efficiently run a cash register \nknowledge and certifications\narcgis program\nwater quality testing\nstream assessment\ntree inventory\nosha 40 hour hazwoper certification\neducation and training\nassociate of science\n \n  \nliberal arts science and mathematics\n \n  \n2015\n \nsuny adirondack\n \nï¼  \ncity\n \n  \nstate\ndean s list\ngraduated cum laude\nbachelor of science\n \n  \nenvironmental technology and management\n \n  \n2018\n \nnorth carolina state university\n \nï¼  \ncity\n \n  \nstate\nprojects  richard r  lee estate  clayton  nc  phase iii environmental site assessment\nskills\ncustomer service\nmanagement\ninventory management\ncommunicatio', 'University': 'n'}]","city state brier, city state provide, city state dean, city state projects, crafts store march, customer service management, state brier creek, state provide customer, science environmental technology, provide customer service"
./data\ARTS\11360471.pdf,ARTS,[],"complex electrical problems, resolve complex electrical, worked overtime weekends, electrical problems maintained, frequently worked overtime, achieve company goals, city state worked, implemented vast knowledge, city state electricians, helped achieve company"
./data\ARTS\11555549.pdf,ARTS,"[{'Degree': 'master', 'Major': 's\n \n  \neducation secondary education\n \ncity\n \n  \nstate\n \neducation secondary education\nmount st  joseph university\n \nmay  2004\n \nbachelor of arts\n \n  \nart education\n \ncity\n \n  \nstate\n \nart education\nmay  2004\n \nbachelor of fine arts\n \n  \npainting\n \npainting\nmount st  joseph university\n \nmay 1989\n \nassociate of arts\n \n  \ngraphic design\n \ncity\n \n  \nstate\ngraphic design\nlicensure visual arts specialist  grades pk 12  ohio\ninterests\nswoaea art workshops summer teacher institute  cincinnati art museum evenings for educators  cincinnati art museum teacher\nworkshops  cincinnati contemporary art center art exhibitions   awards parallel visions   exhibition of regional art educators  studio san\nguiseppe gallery pendleton arts center  studio exhibitor  july   december 2004 life and times of education   annual juried exhibit of college\nstudent artwork  oaea and strs gallery  columbus  ohio  2001   2004  2004 award winner msj thesis exhibit  studio san guiseppe \n2004 msj annual student exhibit  faculty selected artwork  studio san guiseppe  2001   2004\nskillsadobe  photoshop  arts  art  com  exhibitions  drawing  illustrator  indesign  excel  microsoft office  powerpoint  word  reading  sculpture \nwebsite  workshops  written\nadditional information\noaea annual conventions swoaea art workshops summer teacher institute  cincinnati art museum evenings for educators \ncincinnati art museum teacher workshops  cincinnati contemporary art center art exhibitions   awards parallel visions  \nexhibition of regional art educators  studio san guiseppe gallery pendleton arts center  studio exhibitor  july   december 2004 life and\ntimes of education   annual juried exhibit of college student artwork  oaea and strs gallery  columbus  ohio  2001   2004  2004\naward winner msj thesis exhibit  studio san guiseppe  2004 msj annual student exhibit  faculty selected artwork  studio san\nguiseppe  2001   2004\nprofessional affiliations\nnational art education association  naea  member  2002   present ohio art education association  oaea  member  2000   present\nsouthwest art education association  swoaea  member  2000   present cincinnati art museum member  1989   present taft art museum\nmember  2000   present swoaea nuts and bolts  art lesson exchange presente', 'University': 'r'}]","visual arts standards, cincinnati art museum, studio san guiseppe, art education association, ohio visual arts, national visual arts, art center art, ohio art education, art museum teacher, arts center studio"
./data\ARTS\11995013.pdf,ARTS,[],"medical assistant diploma, skills customer service, sales cash sales, strong communication skills, outstanding communication skills, certificate skills customer, customers recorded sales, analysis performed competitive, competitive analysis performed, performed competitive analysis"
./data\ARTS\12334650.pdf,ARTS,"[{'Degree': 'master', 'Major': 'ed point of sale  pos  computer system for automated order taking frequently washed and sanitized hands  food areas\nand food preparation tools maintained a neat  well groomed appearance including impeccable personal hygiene  hair restraint and minimal jewelry\nthat met company standards worked well with teammates and openly invited coaching from the management team prepared items according to\nwritten or verbal orders  working on several different orders simultaneously \ncashier \ncompany name\n \nï¼  \ncity\n \n  \nstate\n1997   1998\n \nâ \nmastered point of sale  pos  computer system for automated order taking \nrecorded customer orders and repeated them back in a clear  understandable manner \nprocessed payments and responded appropriately to guest concerns \nup sold additional menu items  beverages and desserts to increase restaurant profits \nproperly portioned and packaged take out foods for customers \ntook necessary steps to meet customer needs and effectively resolve food or service issues \ncommunicated clearly and positively with co workers and management \nhousekeeping \ncompany name\n \nï¼  \ncity\n \n  \nstate\n2004   2005\n \nâ \nhand dusted and wiped clean office furniture  fixtures and window sills removed finger marks and smudges from vertical surfaces  including doors \nframes and glass partitions swept and damp mopped private stairways and hallways cleaned the exterior surfaces of lighting fixtures  including\nglass and plastic enclosures emptied and cleaned all waste receptacles cleaned and returned vacant rooms to occupant ready status stocked\ntoilet tissue and paper towels  as well as other restroom supplies supplied guests with extra towels and toiletries when requested stocked room\nattendant carts with supplies removed trash and dirty linens from room attendant carts swept and vacuumed floors  hallways and\nstairwells cleaned rooms to the satisfaction of all clients \ncashier\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\n1998   2000\n \nâ \ncorrectly received orders  processed payments and responded appropriately to guest concerns \nrecorded customer orders and repeated them back in a clear  understandable manner took necessary steps to meet customer needs and effectively resolve food or service issues \nup sold additional menu items  beverages and desserts to increase restaurant profits \npromptly reported complaints to a member of the management team \ncommunicated clearly and positively with co workers and management \nserved orders to customers at windows  counters and tables mastered point of sale  pos  computer system for automated order taking \nmaintained a neat  well groomed appearance including impeccable personal hygiene  hair restraint and minimal jewelry that met company\nstandards worked well with teammates and openly invited coaching from the management team \nmedia arts tutor \ncompany name\n \nï¼  \ncity\n \n  \nstate\n2013   2014 \nâ \ntutored photoshop  aftereffects and illustrator to students in need of extra help and understanding of class assignments \nsupplied one on one attention to each student  while maintaining overall focus on the entire group \ncrew trainer   graveyard server \ncompany name\n \nï¼  \ncity\n \n  \nstate\n2003   2004\n \nâ \ncorrectly received orders  processed payments and responded appropriately to guest concerns recorded customer orders and repeated them\nback in a clear  understandable manner took necessary steps to meet customer needs and effectively resolve food or service issues up sold\nadditional menu items  beverages and desserts to increase restaurant profits served fresh  hot food with a smile in a timely manner communicated\nclearly and positively with co workers and management resolved guest complaints promptly and professionally prepared and served beverages\nsuch as coffee  tea and fountain drinks carefully maintained sanitation  health and safety standards in all work areas mastered point of sale  pos \ncomputer system for automated order taking maintained a neat  well groomed appearance including impeccable personal hygiene  hair restraint\nand minimal jewelry that met company standards followed all established restaurant practices and procedures worked well with teammates and\nopenly invited coaching from the management team \ngraveyard food server   supervisor\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\n2006   2007\n \nâ \ncorrectly received orders  processed payments and responded appropriately to guest concerns \nrecorded customer orders and repeated them back in a clear  understandable manner \nup sold additional menu items  beverages and desserts to increase restaurant profits \nprepared and served beverages such as coffee  tea and fountain drinks \ntook necessary steps to meet customer needs and effectively resolve food or service issues \nresolved guest complaints promptly and professionally \ncarefully maintained sanitation  health and safety standards in all work areas \nfrequently washed and sanitized hands  food areas and food preparation tools \nmaintained a neat  well groomed appearance including impeccable personal hygiene  hair restraint and minimal jewelry that met company\nstandards \nrecorded the shift books accurately and professionally on a nightly basis \nfollowed all established restaurant practices and procedures \ncommunicated clearly and positively with co workers and management \ncasino runner \ncompany name\n \nï¼  \ncity\n \n  \nstate\n2005   2006\n \nâ \neducated customers on game rules and mathematical probabilities of various wagers \noversaw cage operations for casino \ntook and paid bets and retrieved cards \nrecorded customer beverage orders and repeated them back in a clear  understandable manner \nincreased volume and loyalty to the casino by attracting new players and building one on one relationships with guests \nprocessed cash advances on credit cards \npromptly reported complaints to a member of the management team \ncashier \ncompany name\n \nï¼  \ncity\n \n  \nstate\n1997   1998\n \nâ \nmastered point of sale  pos  computer system for automated order taking recorded customer orders and repeated them back in a clear  understandable manner \nproperly portioned and packaged take out foods for customers \nup sold additional menu items  beverages and desserts to increase restaurant profits \ntook necessary steps to meet customer needs and effectively resolve food or service issues \ncommunicated clearly and positively with co workers and management \nfollowed all established restaurant practices and procedures \nclosely followed standard procedures for safe food preparation  assembly and presentation to ensure customer satisfaction \nfrequently washed and sanitized hands  food areas and food preparation tools \neducation\nassociate of arts\n \n  \ncomputer media   media arts\n \n2014\n \nthe university of montana\n \nï¼  \ncity\n \n  \nstate\n \n  \nmissoula\ni am currently attending the university of montana in pursuit of my bachelor of arts degree \nskills\nadobe photoshop  e mail  adobe illustrator  access  excel  \nmicrosoft office\n   powerpoint  word  phone  typ', 'University': 'e'}]","recorded customer orders, clear understandable manner, menu items beverages, effectively resolve food, automated order taking, increase restaurant profits, additional menu items, sold additional menu, orders processed payments, received orders processed"
./data\ARTS\12386670.pdf,ARTS,"[{'Degree': 'master', 'Major': 's\n \neducation\nmasters degree in secondary education curriculum development\n1973\n \narizona state university\n \n  \ncity\n \n  \nstate\n \n  \nusa\n \nbachelor of fine arts\n \nphotography\ngraduated with high honors  specialized in photography and printmaking \narizona board of education\n \n  \nstate\ncertifications\n â \nstructured english immersion k 12\nsecondary education 7 12 certification\nart certification k 12\ninterests\n1995   2000 national art education annual conference presenter  chicago  new york city  phoenix  san francisco  affiliations national\neducation association national art education association arizona education association arizona art education association  president  2000 \n2002   middle school division chair  1992 1994   stanford accelerated school participant  arizona alliance for the art  created interactive art\nwebsite for arizona alliance for arts  to help provide arizona visual arts standards achievement in rural arizona schools without certified art\nteacher  tempe elementary education association international non government organization for education through art \nadditional information\naccomplishments and awards\n2013 implemented and designed claymation artist in residency project for piaute middle school  paradise valley arizona\n2012 lifetime achievement award  presented by the tempe diablos at grady gammage  arizona state university2011 2012 lead artist implementing international inside out art project  guadalupe arizona documented online and on hbo\ndocumentary on j r  and his project\n2005 art and writing  interdisciplinary inquiry  discovery and meaning making  published by the national art education association \nreston virginia \n2005 2006 pta recognition of service and teaching award  fees middle school  tempe arizona\n2004 2005 tempe diablos excellence in education award  wrote award winning cross content curricular adventures combining visual arts\nwith computers  home economics  science  history  graphic arts  through the creation of \nfunctioning restaurants serving over 300 family \nfriends and teachers  \nfees middle school  tempe arizona\n1997 art education magazine  rites of passage for middle school children  focus of research of use of humor in the classroom  1996\nfocus of participant research published in middle school division of national art education publication  a participant observation study\nof how a middle school art teacher integrates multiculturalism \n1995 pacific region 11 states territories secondary art educator of the year  national art education association \n1995 excellence in education award for writing southwest cultures through art  \ntempe diablos  tempe  arizona \n1995 implemented nba coca cola s  stay in school  mural for all star program  phoenix arizona \n1995   2000 national art education annual conference presenter  chicago  new york city  phoenix  san francisco \naffiliations\nnational education association\nnational art education association\narizona education association arizona art education association  president  2000 2002   middle school division chair  1992 1994  \nstanford accelerated school participant \narizona alliance for the art  created interactive art website for arizona alliance for arts  to help provide arizona visual arts standards\nachievement in rural arizona schools without certified art teacher \ntempe elementary education association international non government organization for education through art \nskills\nart education curriculum design and development \ngoal setting and leadership and organizational skills\ninstructional skills in mural painting  photography  hand built ceramics  claymation  computer animation  serrigraphy  \ngraphic arts  drawing \nlesson plan development utilizing creative problem solving skills', 'University': ''}]","art education association, national art education, education association arizona, association arizona education, arizona education association, national education association, education association national, arizona art education, association arizona art, association national art"
./data\ARTS\12413512.pdf,ARTS,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nenglish\n \nuniversity of north carolina at charlotte\n \nï¼  \ncity\n \n  \nstate\n \n  \nu s \nenglish major\njournalism sociology minor\nteaching experience\n04 2013\n \nto \ncurrent\n8th grade language arts teacher\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nattend professional development  communications with parents  assessments of students  and staff meetings \nteach high level talent development students english 1 level course work \nlead 8th grade ela professional learning community\nestablish and maintain positive relationships with students  parents  and colleagues\nteach students that are academically struggling and in need of a small classroom setting for successful development \n10 2013\n \nto \n05 2016\n6th 8th grade language arts tutor\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nprovided students with an academically enriched opportunity that addresses core skills for mastery level performance \nhelped bridge the academic gap documented by school assessments \nenhanced student skill and overall academic success at ridge road \nprofessional leadership\n10 2015\n \nto \ncurrent\nadvisor\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ncreate an outlet and social transitional aid for ridge road s 8th grade ladies  heading to high school \ncover common issues that the young ladies face daily such as  health  fitness  daily troubles  social media  self advocacy  public speaking \nand studies \naward participants with awards  scholarships  and gifts from the community sponsors \n08 2015\n \nto \ncurrent\ncompany name\n \nï¼  \ncity\n \n  \nstate\nhelp to improve lines of communication and to promote a free exchange of ideas to facilitate the educational process in the school buildings \naddress issues of common concern in the building  including but not limited to discipline  scheduling  money collection  health and safety \nand professional employees doing administrative duties \nsubmit a quarterly report of all meetings and recommendations to the staff in the building \n08 2015\n \nto \ncurrent\nteacher leader\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nfacilitate the involvement of the school community in the development of the school improvement plan\nencourage  support and create opportunities for involvement from parents in the communitycontribute to the design of the school improvement plan\nmonitor the effectiveness of the school improvement plan\nuse data as the driving force to create programmatic instructional change\nfacilitate communication within the professional learning community\n08 2015\n \nto \ncurrent\nadvisor\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nwork with and through student leaders to carry out a phase of their civic education and enhance their leadership skills\nserve as a resource person  a leader to all the members of the student council\nbuild and develop student council members leadership skills in areas such as communication  goal setting  team building  time\nmanagement  group dynamics  diversity  problem solving  and project planning\nhelp to mold attitudes and character of student leaders professional development \n06 2015\n \nto \ncurrent\nteacher leader\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ncoordinate the improvement of instruction of the school based on data \nserve in an advisory capacity to the principal director and support the development and implementation of the school improvement plan \nreflect  assess  and plan schools data usage and effectiveness with a focus on student leadership and achievement \nprofessional development\n04 2014\n \nto \n12 2014\ncti fellow\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nenrolled and participated in one of cti s eight multidisciplinary seminars  visual storytelling in young adult and children s literature  \nspent the summer reading and researching related curriculum units in which to develop for students \ncreated curriculum unit to generate learning beyond the classroom \npublished curriculum unit to cti and yale national initiative websites  freedom schools  exploring racism  tolerance  and prejudice \n03 2016\nrca educator trainee\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nlearned ways to increase student engagement  ensure academic rigor  and create a climate and culture that leads to success\nobserved master teachers in action\nengaged in dynamic workshops\ndiscovered how to implement the  three pillars of rca  at my school\n05 2014\n \nto \n08 2014\nservant leader intern\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nattended national freedom school training in tennessee with interns from around the country and in town training with freedom school\npartners set up  maintain and breakdown classroom space\nserved as energetic harambee  leaders each day of local program operation\ndelivered the integrated reading curriculum to a class of ten or more students for 6 weeks during the summer months   according to the\nstandards developed by the children s defense fund\nserved as a leader of afternoon activities and other special events  chaperone field trips\nmaintained health and safety standards   accurate records relating to attendance and first aid\ncollaborated with the program staff to establish and maintain a positive  supportive and structured environment for the  children entrusted to\ntheir care \nskills\nap style  mla style  canvas  goal setting  health and safety standards  instruction  team building  lesson plans  meeting leader  microsoft\noffice  windows operating systems  problem solving  project planning  public speaking  reading  researching  safety  scheduling  seminars \nstructured  teaching  time management  websites  workshop', 'University': 's'}]","school improvement plan, grade language arts, teacher leader company, city state create, current teacher leader, current advisor company, city state facilitate, city state work, language arts teacher, city state attend"
./data\ARTS\12777487.pdf,ARTS,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \ncriminal justice\n \n  \ndecember 1998\n \nsouthwest texas state university\n \ncriminal justice\nalternative teaching certification  elar   esl 4 8   2003\nteacher certification\n \n  \neducator certification\n \n  \noctober 2013\n \nlone star college\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\nbachelor of science\n \n  \ninformation technology\n \nuniversity of phoenix\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\nmaster of arts\n \n  \neducational leadership and technology integration\n \n  \n2016\n \nlamar university\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\ncertifications\ncertified trainer of trainers  tot  for siop implementation in the classroom\nabydos learning international  new jersey writing project in texas  certified trainer\ntea certified english  language arts  and reading\n4 8 tea certified english as a second language  supplementary â \n k 12\ntea certified social studies 4 8\nharris county department of education certified virtual school teacher  9 12 \nskills\nlearning mangement system  learning technologies  technology integration  online program', 'University': 's'}]","online software programs, district purchased online, purchased online software, learning management systems, implement district purchased, district staff development, students implement district, online learning coordinator, city state usa, learning coordinator program"
./data\ARTS\13272204.pdf,ARTS,[],"award team player, team player award, month award team, resources office experience, human resources office, city state logistics, city state project, city state administrative, prepared monthly reconciliation, health care mgmt"
