CV File,Category,Education,Top Skills
./data\AVIATION\10176815.pdf,AVIATION,"[{'Degree': 'bachelor', 'Major': 's of science\n \n  \naeronautical science applied meteorology\n \nembry riddle aeronautical university\n \nï¼  \ncity\n \n  \nstate\n \ngpa  \ngpa  3 23 4 0\naeronautical science applied meteorology gpa  3 23 4 0\nmay 2008\nassociate of science\n \n  \nelectronic engineering technology\n \ntidewater community college\n \nï¼  \ncity\n \n  \nstate\n \ngpa  \ngpa  3 85 4 0 summa cum laude\nelectronic engineering technology gpa  3 85 4 0 summa cum laude\nlanguages\nbilingual fluent in spanish and englishskills\nacademic  adobe  articulate  attention to detail  auto cad  basic  calibration  canvas  content  credit  delivery  electrical schematics  english \nforms  html  inspect  inspector  instructional design  inventory  labview  laser  logic  materials  matlab  access  excel  microsoft office\nprograms  outlook  powerpoint  word  radar  multi meters  navy  communicator  navigation  organizational  oscilloscopes  problem solver \nquality  quality assurance  radio  recording  repairs  repairing  schematics  servers  signal generators  fluent in spanish  technical manuals  test\nequipment  troubleshoot  troubleshooting  uhf  upgrades  vhf  wiring\nadditional information\nactive dod secret clearanc', 'University': 'e'}]","aviation electronics technician, electronics technician company, state gpa gpa, electronic engineering technology, industry standard equipment, electronic test equipment, digital multi meters, meters logic analyzers, system equipment electronic, oscilloscopes digital multi"
./data\AVIATION\10189110.pdf,AVIATION,[],"city state purchasing, purchaser production coordinator, purchasing agent material, purchasing clerk material, material order request, leads project managers, agent material expeditor, material ensuring proper, material specialist working, aircraft makes customers"
./data\AVIATION\10395944.pdf,AVIATION,"[{'Degree': 'bachelor', 'Major': 's in aviation management \nmay 2016\nhigh school diploma\n \nfreeburg community high school\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\npersonal information\ni am currently a 19 year old that keeps up with work and school  i currently work around 25 to 30 hours a week as well as find time to fly and\nfinish up my private pilots license  i live in freeburg  illinois which is about 50 minutes from st  louis lambert international  i plan to be a pilot in\nthe commercial world after i finish all of my ratings â \nskills\ncustomer service experience  leadership  team leadership  outlook  fast learner  verbal communication  aviation knowledg', 'University': 'e'}]","line service technician, aviation pilot program, city state fueling, gas powered golf, city state fuel, city state usa, city state united, seater gas powered, powered golf cart, southwestern illinois college"
./data\AVIATION\10567764.pdf,AVIATION,[],"condition surfaces prior, city state aircraft, spray painting equipment, painting equipment power, aircraft paint finish, equipment painted surfaces, equipment power tools, portable power tools, power tools cleaned, paint lacquer sealer"
./data\AVIATION\10945968.pdf,AVIATION,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nmathematics\n \n1996\n \nuniversity of glamorgan\n \ncity\n \n  \nstate\n \n  \nuk\na levels\n \n1992\n \ncardinal newman r c  school\n \ncity\n \n  \nstate\n \n  \nuk\nmathematics   geography\ngsces\n \n1992\n \ncardinal newman r c  school\n \ncity\n \n  \nstate\n \n  \nuk\nmathematics  geography  biology  english  french   physic', 'University': 's'}]","school city state, included project managing, aviation ground handling, menzies aviation cargo, project management role, city state air, city state prior, glamorgan city state, global cargo system, menzies aviation ground"
./data\AVIATION\11137306.pdf,AVIATION,[],"repaired electrical equipment, city state usa, avionics technician january, test equipment operation, tested electronic circuits, avionics maintenance technology, mechanical schematics blueprints, skills test equipment, city state avionics, avionics electrical technician"
./data\AVIATION\11169163.pdf,AVIATION,"[{'Degree': 'master', 'Major': 'sergeant\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nmanaged project logistics for naval aviation and ship software system assets \nsupervised project staff \nmonitored project progress \nprepared status reports \nmanaged project deliverable documentation for compliance and accuracy \nprovided functional and follow on support for software systems and assets tracked u s \nmarine corps \n01 2002\n \nto \n01 2012\naviation administration manager staff sergeant gunnery sergeant\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nmaintained government aviation logistics information systems and databases \nscheduled  tracked  and requisitioned aircraft components and systems for naval aviation compliance \nperformed data entry screening for compliance of u s naval aircraft  ejection seat  and engine repair compliance \ndeveloped and maintained aviation metrics  logistic reports  process documentation  and safety records to support unit operations and\nplanning \ngathered  organized  and analyzed aircraft logistics component discrepancies to develop solutions \ndeveloped logistical training procedures  guides  and course materials  such as handouts or visual aids \noversaw all safety standards  occupational safety  and safety affairs on the job \n01 1987\n \nto \n01 2012\naviation administration program manager data analyst sergeant staff sergeant gunnery sergeant\nmaintained government aviation logistics information systems and databases \ndistributed maintenance schedules and logistics work orders to the maintenance departments \nverified source logistics data for completeness and accuracy \ncomputed and analyzed aviation logistics data  using statistical formulas  computers  and calculators \ncompleted configuration management actions such as compliance discrepancies during flight operations  special logistics inspections  and\nconditional inspections relevant to aircraft systems and components \ndeveloped  interpreted  and tracked the timely aviation logistics data and reports to support the unit s strategic goals and milestones \neducation and training\n2015\nbachelor of arts\n \n  \nhuman resources management business administration\n \nashford university\n \nï¼  \ncity\n \n  \nstate\n \nhuman resources management 3 8\nbusiness administration\n2013\ndefense acquisition university\n \nï¼  \ncity\n \n  \nstate\n \nethics training for acquisition technology and logistics\n2012\ndefense acquisition university west regional campus\n \nï¼  \ncity\n \n  \nstate\n \ncontracting officers representative\n2011\nlean six sigma green belt course \nlean six sigma yellow belt course \nlean six sigma white belt course\n \nus department of the navy\n \nï¼  \ncity\n \n \nstate\nskills\nstreamline  budget  calculators  configuration management  customer service  data entry  databases  direction  documentation  e commerce \nfunctional  government  information systems  logistics  logistics management  maintenance schedules  materials  microsoft office suite \nmanagement information system  monitors  naval  occupational safety  organizational  policies  progress  publications  real estate  repairs  safety \nsales  sap  six sigma  spreadsheets  strategic  strategic planning  supply chain management  technical writin', 'University': 'g'}]","aviation logistics information, logistics information systems, aviation logistics data, management information system, government aviation logistics, systems logistics logistics, naval aviation logistics, logistics logistics management, human resources management, management logistics management"
./data\AVIATION\11333001.pdf,AVIATION,[],"state university city, customer service related, huntsville city state, exceptional customer service, maintenance technician training, elevator maintenance technician, maintained physical equipment, maintenance operations environment, sales representative company, accomplish sales goals"
./data\AVIATION\11614114.pdf,AVIATION,[],"aviation supply specialist, supply specialist company, supplies managed repairs, managed repairs purchases, inventory management materials, purchased tracked sourced, aviation supply support, material control specialist, customer requirements processed, bsi cost point"
./data\AVIATION\11752500.pdf,AVIATION,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nprofessional aeronautics\n \n  \n2007\n \nembry riddle aeronautical universit', 'University': 'y'}]","power generation systems, city state responsible, work center supervisor, avionics systems electrical, systems electrical components, systems electrical work, power systems electrical, avionics technician july, city state repair, center supervisor july"
