CV File,Category,Education,Top Skills
./data\BANKING\10329506.pdf,BANKING,[],"city state serve, registered client service, client service associate, computer information systems, excel power point, client service skills, city state conduct, excellent client service, city state responsibilities, adobe photoshop banking"
./data\BANKING\10909673.pdf,BANKING,[],"city state gpa, present denton county, state gpa gpa, city state managed, present lewisville task, present lewisville independent, advisory board member, founding board member, church activities baseball, business unit projects"
./data\BANKING\11065180.pdf,BANKING,"[{'Degree': 'bachelor', 'Major': 'of professional studies\n \n  \ncomputer information systems\n \ndevry institute of technology\n \nï¼  \nstate\n \ncomputer information systems\n1989\nassociate\n \n  \napplied science   business management and administration\n \nkingsborough community college\n \nï¼  \ncity\n \n  \nstate\n \napplied science  \nbusiness management and administration\nskills\nadobe products  photoshop  interpersonal and communication  oral  credit  critical thinking  resolve customer concerns  client  clients  database \ndecision making  delivery  documentation  due diligence  employee relations  senior management  fast  focus  front office  functional  funds  hiring illustrator  investments  legal  management reporting  meetings  excel  money  microsoft office  powerpoint  sharepoint  word  mis \norganizational  page 2  performance management  policies  problem solving  processes  improving processes  quality assurance  real estate \nsales  self starter  spanish fluency  time management  writte', 'University': 'n'}]","client service manager, client service officers, service officers responsible, science business management, client service professional, client service improving, excellent client service, concerns client clients, computer information systems, adobe products photoshop"
./data\BANKING\11262933.pdf,BANKING,[],"customer service customer, customer impacts effectively, outstanding system issues, client clients customer, reduce customer impacts, resolve outstanding system, issues customer service, system production issues, service representative january, customer service skills"
./data\BANKING\11266906.pdf,BANKING,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nbusiness administration \ncity\n \n  \nstate\n \nadditional information\ns a f e  mortgage nmls   533306\ninactive licenses â  series 7  66  63 â  life  accident and health insurance â', 'University': ''}]","home mortgage consultant, mtg funded units, city state responsible, mortgage consultant city, consultant city state, fargo advisors city, advisors city state, fargo wealth advisor, financial advisor city, fargo advisors team"
./data\BANKING\11637468.pdf,BANKING,[],"city state responsible, city state usa, senior lending officer, commercial lending officer, tax return preparation, development commercial lending, management commercial lending, buffalo city state, university city state, business development commercial"
./data\BANKING\11672279.pdf,BANKING,[],"jpmorgan recruiting team, youth network pyn, network pyn mentor, pyn mentor seminar, full time analyst, fixed income listed, maryland college park, life christian center, christian center treasurer, center treasurer trustee"
./data\BANKING\11773925.pdf,BANKING,"[{'Degree': 'master', 'Major': 'of science\n \n \n \n2004\ninternational business management  marketing  fore school of management in collaboration with nottingham business school  uk\n \nstate\n \n  \nindia\nbachelor of science\n \n \n \nbotany honors\n \n \n \n2003\n \nkirori mal college  delhi university\n \nï¼  \nstate\n \n  \nindia\nchandan baluja\nskills\narticulate  business analysis  business development  business operations  excel  negotiation  relationship management  sales plannin', 'University': 'g'}]","sales planning planning, marketing sales analyst, sales pipeline management, forecasting sales pipeline, city state lead, city state sourcing, primary duties include, city state handling, management sales planning, development inside sales"
./data\BANKING\11842348.pdf,BANKING,[],"city state company, regional sales director, svp regional sales, sales director wealth, grow client assets, client assets retain, meet clients financial, city state managed, director wealth management, executive leadership management"
./data\BANKING\12021752.pdf,BANKING,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nfinance\n \n  \ndecember 2009\n \narizona state university  w p  carey school of business\n \nï¼  \ncity\n \n  \nstate\n \ngpa  \nmagna cum\nlaude  dean s list  tempe diablo s scholarship recipient\n \nfinance magna cum laude  dean s list  tempe diablo s scholarship recipient\ninterests\nendowment fund chair outstanding graduating senior raised over  1 500 dollars through fundraising and business sponsorships participated in\nnumerous community service events like habitat for humanity  project cure  and ronald mcdonald house president barack obama scholar s\nprogram mentor  student mentor to president obama scholarship program recipient\nskills\nacquisitions  closing  contracts  credit analysis  clients  due diligence  equity  financing  financial  financial statements  funds  government  investment\nbanking  marketing  mergers  outside sales  proposal  real estate  reporting  research  sales  san  strategic  type\nadditional information\ndelta sigma pi  endowment fund chair outstanding graduating senior raised over  1 500 dollars through fundraising and business\nsponsorships participated in numerous community service events like habitat for humanity  project cure  and ronald mcdonald housepresident barack obama scholar s program mentor  student mentor to president obama scholarship program recipien', 'University': 't'}]","investment banking solutions, investment banking sales, banking sales analyst, senior investment banking, strategic investment banking, banking solutions including, accelerate deals project, obama scholarship program, deals project managed, cost management investment"
