CV File,Category,Education,Top Skills
./data\BPO\11183737.pdf,BPO,[],"service managing guest, guest satisfaction retention, managing guest requests, work handled guest, optimize guest satisfaction, high guest satisfaction, guest satisfaction indices, quality service managing, handled guest relationship, guest relationship planning"
./data\BPO\13964744.pdf,BPO,"[{'Degree': 'bachelor', 'Major': 'of commerce\n \n  \naccounting and business management\n \n  \nosmania university\n \n  \naccounting and business management gpa  3 0\nmaster of business administration\n \n  \ngpa  3 4\nmaster of science\n \n  \ninformation technology\n \n  \nwilmington university delaware\n \n  \ninformation technology gpa  3 31\nskills\nanalyst  basic  business works  cable  capacity planning  coaching  computer peripherals  computer hardware  computer applications  client \nclients  customer satisfaction  customer service  documentation  driving  features  frame  functional  java  leadership  leadership skills  logic \nmentoring  excel  microsoft office  ms office  windows operating systems  powerpoint  share point  word  network  policies  presenting \nprocesses  project lead  project management  quality  reporting  sales  sound  sql  staffing  strategy  strategic management  supervision \ntranslating  troubleshooting  verbal communication skills  visio  web designing  wise  workflow  writte', 'University': 'n'}]","cross functional teams, team lead senior, project lead project, business works projects, lead senior analyst, multiple business projects, projects operations project, project management quality, lead project management, business analysts quality"
./data\BPO\15145575.pdf,BPO,[],"cisco certified network, certified network associates, microsoft certified professional, network printers network, server configuration network, network servers technical, servers technical support, network associates network, hardware network servers, windows servers microsoft"
./data\BPO\15573418.pdf,BPO,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \npre law\n \nuniversity of south florida\nskills\naccount management  a p  b2b  behavioral health  business development  business operations  business planning  business process  call center \nconsulting  contact management  customer relationship management  crm  client  clients  customer satisfaction  customer service  customer\ncare  dell  direct marketing  entrepreneur  senior management  financial  financial management  fp a  gross profit  human resource\nmanagement  human resource  human resources  inside sales  insurance  legal  logic  management consulting  market  network  organizational \nprocess re engineering  processes  quality assurance  recruiting  selling  sales  sales support  staffing  strategy  strategic  strategic planning  technical\nsupport  telecommunications  vendor relation', 'University': 's'}]","customer relationship management, million clients included, chief executive officer, senior vice president, human resource management, business operations business, business process outsourcing, team member company, business development business, executive officer lead"
./data\BPO\16492045.pdf,BPO,[],"city state skills, city state business, city state assist, kaplan city state, school city state, ministry city state, ppo network management, state skills administrative, state business administration, city state managed"
./data\BPO\18589927.pdf,BPO,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \neconomics\n \ncity\n \ncolombia\n \neconomics\nyeni maldonado\nlanguages\nspanish   english   portuguese\nskills\nattention to detail  billing  customer services  data analysis  documentation  e mail  english  organize files  financial  financial reports  investments \nleadership  meetings  microsoft office  office  portuguese  risk management  selling  spanish  strategic planning  phone  web pag', 'University': 'e'}]","customer services company, financial financial reports, customer services data, files financial financial, customer services summary, customer services optimizing, billing customer services, customer relationship management, management support financial, financial reports investments"
./data\BPO\19362586.pdf,BPO,"[{'Degree': 'master', 'Major': 's of business administration\n \n  \nbusiness administration\n1998\ntexas tech university\n \ncity\n \n  \nstate\n \n  \nunited states\n \nbachelor of science degree\n \n  \ntelecommunications   marketing\ntelecommunications   marketing\nskill', 'University': 's'}]","city state loan, city state account, city state retail, city state united, state united states, city state mortgage, city state risk, mortgage servicing company, city state bpo, university city state"
./data\BPO\23933031.pdf,BPO,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nsocial science\n \nportland state university\n \nï¼  \ncity\n \n  \nstate\n \nsocial science\nskills\naccount management  b2b  balance  budgets  budget  business development  business intelligence  contract negotiations  clientele  client  clients \ncustomer services  customer service  e commerce  executive management  senior management  financial  gateway  help desk  hp  hiring \nkronos  leadership  director  marketing  market  materials  meetings  enterprise  optimization  performance reviews  policies  proposals  speaking \nquality  qa  quality assurance  real time  real time  recruiting  reporting  sales  scheduling  specification  staffing  symantec  technical support \ntelecommunications  training material', 'University': 's'}]","million yearly contacts, customer services customer, services customer service, management customer service, departmental manpower reduction, drive cost savings, real time real, community wide outreach, time real time, clients customer services"
./data\BPO\24727739.pdf,BPO,"[{'Degree': 'bachelor', 'Major': 's of science and psychology degree\n \n  \npsychology\n \n2016\n \nuniversity of phoenix\n \ncity\n \n  \nstate\ncourse work is related to the management field with because it is constant face to face interaction with employees and co workers  by obtaining\nmy degree the related course work helps me to excel in interpersonal development of people that may have opportunities \nskills\ntelecommunication  multi tasking call center  coaching  contracts  client  customer service  data entry  documentation  financial  insurance  team\nbuilding  leadership  mac  materials  meetings  mentoring  outlook exchange  newsletter  organizational skills  personnel  policies  presentations \nprocess improvement  quality assurance  re engineering  reporting  spreadsheets  team player  technical support  training development  \ndelivery  training materials  troubleshooting strong public speaker careful and active listener  professional and friendly  able to think outside the\nbo', 'University': 'x'}]","customer service agent, quality assurance lead, training development delivery, quality assurance monitoring, city state quality, support training development, state quality assurance, technical customer service, client customer service, lead customer service"
./data\BPO\26829350.pdf,BPO,"[{'Degree': 'master', 'Major': 'of business administration\n \n  \nfinance   human resource\n \n  \n2008\n \ncmr institute of management studies  bangalore university\n \nï¼  \ncity\n \n \nindia\n \nfinance   human resource\nbachelor of commerce\n \n  \nmarketing\n \n  \n2006\n \nnarmada college of science and commerce  veer narmada south gujarat university\n \nï¼  \ncity\n \n  \nindia\nmarketing\nskills\naccounts payable  accruals  ad  ap  automation  trial balance  book  client  clients  debit  dell  documentation  email  fixed assets  forms  hp \nindexing  inventory  processing of invoices  invoice processing  invoicing  legal  letters  meetings  excel  mail  office  powerpoint  ms word \noracle  problem solving  process improvement  procurement  purchase requisitions  purchasing  quality  receiving  reconciling  reporting  sap \nshared service  sla i  sun  team player  vendor managemen', 'University': 't'}]","senior executive january, invoices invoice processing, process improvement plans, end users global, vendors invoice processing, vendor payment process, invoice processing reconciliation, global procurement teams, weekly conference calls, worldwide procurement operations"
