CV File,Category,Education,Top Skills
./data\BUSINESS-DEVELOPMENT\10228751.pdf,BUSINESS-DEVELOPMENT,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nhealth science option in health management and marketing\n \ncalifornia state university of hayward\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited\nstates\nskill highlights\nstaffing management ability\nproven patience and self discipline\nrelationship and team building\nstaff training and development\ncritical thinking proficiency\ncompensation benefits administration\nskilled negotiator\naccount management\nexcellent written and verbal communicator\nenthusiastic team player\nproblem solving\nbilling\nattention to detail\nrecruiting and selection techniques\nproficient communicator\ncontract review\ncold calling\nhiring recommendations\ninterviewing\nstrategic planning\nmulti tasking ability\nskills\nâ proficient with microsoft word  excel  powerpoint  access and outlook express  â optimizer  wfx  stafferlink  healthtrust  and bullhorn \nmaintaining active databases of various hospital proprietary software technology systems \nprofessional experience\n08 2006\n \nto \ncurrent\nbusiness development manager staffing manager\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\n \nmanage full cycle staffing  recruiting  and maintain a database\nof clients and applicants that is aligned to the business opportunity in the market for recruitment  staffing  and placement   responsible for job\npostings  hiring  interviewing  and training new employees â \n generate new accounts by implementing effective networking and content marketing\nstrategies  \nmanage budget forecasting  goal setting and performance reporting for all accounts  \nnegotiate rates to cut costs and benefit corporate\npartnerships\n \n â \n \ndemonstrate knowledge of hipaa privacy and security regulations  \nconduct reference and background checks on all job\napplicants  \ndeveloped creative recruiting strategies that met anticipated staffing needs  \ncommunicate the duties  compensation  benefits and\nworking conditions to all potential candidates \n \ncontact all job applicants to inform them of their application status  work with director of nursing\nand human resource directors to ensure all healthcare organization is able to support business growth  coach and counsel employees regarding\nattendance   performance  mediate employee disputes and complaints â \n respond \nonboard new employees in the time reporting and payroll\nsystems\n \n  \nmanage payroll and time and attendance systems \n05 2003\n \nto \n08 2008\nstaffing coordinator\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\n \ncreated and maintained all absentee calendars  agency nurse schedules and staff meeting\nminutes  \nmaintained all confidential personnel files  licensing and cpr compliance records  develop computerized schedules for assigned nursing\nunits based on established staffing patterns  policies  approved employee preferences  and managers  requests  revises and adjusts unit schedules\nas needed in consultation with nurse managers â proactively adjusts and allocates core  registry  and float nursing personnel to provide adequate\ncoverage to clinics and inpatient areas to strategically meet real time staffing requirements in the most cost effective manner\n05 2003\n \nto \n08 2008\nstaffing manager\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\n \nmanage full cycle staffing  recruiting  and maintain a database of clients and applicants that is\naligned to the business opportunity in the market for recruitment  staffing  and placement   responsible for job postings  hiring  interviewing  and\ntraining new employees â generate new accounts by implementing effective networking and content marketing strategies manage budget\nforecasting  goal setting and performance reporting for all accounts â negotiate rates to cut costs and benefit corporate\npartnerships â demonstrate knowledge of hipaa privacy and security regulations â conduct reference and background checks on all job\napplicants â developed creative recruiting strategies that met anticipated staffing needs â communicate the duties  compensation  benefits and\nworking conditions to all potential candidates â contact all job applicants to inform them of their application status  work with director of nursing\nand human resource directors to ensure all healthcare organization is able to support business growth  coach and counsel employees regarding\nattendance   performance  mediate employee disputes and complaints â respondâ onboard new employees in the time reporting and payroll\nsystemsâ  â manage payroll and time and attendance systems', 'University': ''}]","manager staffing manager, staffing manager company, development manager staffing, city state manage, cycle staffing recruiting, business development manager, performance mediate employee, state manage full, marketing strategies manage, creative recruiting strategies"
./data\BUSINESS-DEVELOPMENT\10235211.pdf,BUSINESS-DEVELOPMENT,"[{'Degree': 'bachelor', 'Major': 's  degree in progress \nprofessional affiliations\nveterans administration\npersonal information\nfair play golfer  reading  learning and communicating  i have other interest outside of golf such as horses  traveling and other outdoor activities  jet\nskiing  outdoor lunches with spouse  and too many things to want to do with little or no time to do them  outgoing energetic and fun to be around \nin a business setting i am the type to roll up the sleeves and grab the task at hand  due to my military background i am able to make quick\ndecisive decisions and work under stress  \ni am currently looking for the next career move in life and will embrace it energetically for the right\nemployer  i am trainable and still strive to learn at least one thing every day \ninterests\nshadow valley golf course  boise  idaho   caddie services \n2009 2010 ontario golf course  ontario  oregon   volunteer course maintenance\n2009 2011 soboba classic nation wide tour  \nvolunteer \n2009 2010 lpga pro am kraft nabisco  mission hills country club  pro am\ncaddie \n2011 professional golfers career college associates degree in golf instruction \n2009 2011\nskills\nacquisitions  audio  bachelors  business development  contracts  client  clients  databases  financial  notes  meetings  money  negotiating \nnegotiator  oct  progress  psychology  real estate  settlements  sound  structured\nadditional information\nmedals u s  army good conduct medal u s  marine corp good conduct medal national defense service medal u s  army good\nconduct medal u s  marine corp good conduct medal national defense service medal golf experience  shadow valley golf\ncourse  boise  idaho   caddie services \n2009 2010 ontario golf course  ontario  oregon   volunteer course maintenance \n2009 2011\nsoboba classic nation wide tour  \nvolunteer \n2009 2010 lpga pro am kraft nabisco  mission hills country club  pro am caddie\n2011 professional golfers career college associates degree in golf instruction \n2009 2011\nabout me  fair play golfer  reading  learning and communicating  i have other interest outside of golf such as horses  traveling and other\noutdoor activities  jet skiing  outdoor lunches with spouse  and too many things to want to do with little or no time to do them  outgoing\nenergetic and fun to be around  in a business setting i am the type to roll up the sleeves and grab the task at hand  due to my military\nbackground i am able to make quick decisive decisions and work under stress  \ni am currently looking for the next career move in life and\nwill embrace it energetically for the right employer  i am trainable and still strive to learn at least one thing every day', 'University': ''}]","good conduct medal, city state usa, professional golfers career, golfers career college, associate business development, conduct medal national, defense service medal, high profile investors, senior associate business, corp good conduct"
./data\BUSINESS-DEVELOPMENT\10289113.pdf,BUSINESS-DEVELOPMENT,"[{'Degree': 'bachelor', 'Major': 'of business administration\n \n  \nfinance  general business\n \n1988\n \nwestern michigan university\n \ncity\n \n  \nstate\n \n  \nus\nearned over 85  of all educational living costs  jobs worked while in college  industrial heavy construction  excelled at several sales roles including\nat direct sales of home goods  while in direct sales i won a national trip and was ranked in the top 10 in the country in sales  \nstarted twosuccessful on campus businesses  member of the varsity division i football team for 4 years \norganizations\nimex  milford memories planning board  huron valley youth baseball president treasurer director of travel baseball  lakeland milford\ntravel secretary and milford high school baseball instructor', 'University': ''}]","award winner award, business development director, financial operations executive, times president achievement, accounts national accounts, strategic accounts sales, distributor sales volume, national account sales, sales accounts national, account travel meetings"
./data\BUSINESS-DEVELOPMENT\10501991.pdf,BUSINESS-DEVELOPMENT,"[{'Degree': 'bachelor', 'Major': 's\n \n  \ndecember 2017\n \nkennesaw state university  coles college of business\n \n  \ncity\n \n  \nstate\nph d \n \n  \nprofessional sales\n \n113 credit hours earned   expected 2019\n \nkennesaw state university  coles college of business\n \n  \ncity\n \n \nstate\nskills\nagency  com  content  cpr  client  customer service  data dictionary  email  financial  marketing  meetings  ms office suite  network  policies \npricing  real estate  reporting  research  sales  supervision  surveys  telemarketing  telephone  underwriting  website\nadditional information\nactivities  assistant coach  cherokee youth lacrosse  2013 member  sigma alpha epsilon fraternity  2009 morehead state\nuniversity  football team  200', 'University': '8'}]","business city state, birst intradiem reports, customers provided customers, city state maintain, city state consistently, research customer data, sales development representative, office suite salesforce, business development representative, outbound cold calls"
./data\BUSINESS-DEVELOPMENT\10541358.pdf,BUSINESS-DEVELOPMENT,[],"city state business, business development regional, office staff including, involving branch office, branch office staff, development regional manager, inventory management inventory, staff including branch, including branch hierarchy, branch hierarchy reporting"
./data\BUSINESS-DEVELOPMENT\10704573.pdf,BUSINESS-DEVELOPMENT,"[{'Degree': 'bachelor', 'Major': 'of business administration  bba \n \n \n \nfinance and economics\n \n1996\n \naugusta state university  hull college of business\n \n  \ncity\n \n  \nstate\nskills\nbusiness development  complex sales strategy  public policy  enterprise software  software as a service  saas   infrastructure as a service\n iaas   technical analysis  financial analysis  budget  public sector  telecommunications  sales reporting  public speaking  public presentation', 'University': 's'}]","city state territory, business city state, state territory manager, territory account manager, city state account, business opportunities securing, city state financial, company employee performance, city state director, service saas infrastructure"
./data\BUSINESS-DEVELOPMENT\11088337.pdf,BUSINESS-DEVELOPMENT,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nenglish\n \nenglish\nmay 2007\nmedia and society\n \nmedia and society\ninterests\nmember  men s club ice hockey  2003   2007   devoted 12 hours per week in practice and competition volunteer  political activism house\n 2004   organized and conducted voter registration drives for college students 1999 2003 the delbarton school morristown  nj\nmember  men s varsity ice hockey  nj state champions   2002  new jersey hockey hall of fame inductee   2014\nadditional information\nmember  men s club ice hockey  2003   2007   devoted 12 hours per week in practice and competition volunteer  political activism\nhouse  2004   organized and conducted voter registration drives for college students 1999 2003 the delbarton school\nmorristown  nj member  men s varsity ice hockey  nj state champions   2002  new jersey hockey hall of fame inductee   2014\nskills\nads  advertising  avid  budgets  budget  business strategies  cable  cash flow  coach  client management  content  contracts  sc  client  clients \ncustomer service  database analysis  email  financial  investments  market  meetings  microsoft excel  power point  microsoft word  network \nnetworks  new business development  newsletters  personnel  producing  profit  radio  research  sales  phone  television  vide', 'University': 'o'}]","city state sales, business development manager, city state business, club ice hockey, varsity ice hockey, state business development, service desk specialist, jersey hockey hall, college city state, alternative investments service"
./data\BUSINESS-DEVELOPMENT\11289482.pdf,BUSINESS-DEVELOPMENT,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n \n \nbusiness administration\n \nuniverity of pheonix\n \n  \nstate\nskills\nbudget  business development  call center  coaching  communication skills  consultant  credit  customer service  decision making  direction \ndocumentation  equity  senior management  external audits  financial  funds  government  hiring  human resource  leadership  law  legal \nmanaging  mediation  meetings  office  operations management  performance reviews  pick  policies  project management  quality  quality control \nrecording  relationship management  securities  scripting  strategy  strategic  phone  underwriting  vendor management  websit', 'University': 'e'}]","city state loan, business development manager, city state business, city state customer, state business development, management quality quality, business development call, business operations company, unit operations management, project management quality"
./data\BUSINESS-DEVELOPMENT\11551946.pdf,BUSINESS-DEVELOPMENT,[],"chemicals agro chemicals, pharmaceuticals specialty chemicals, specialty chemicals agro, bio pharmaceuticals specialty, application engineering expertise, consultative sales relationship, sales application engineer, provided direct sales, sales marketing sales, gross margins heinkel"
./data\BUSINESS-DEVELOPMENT\12059198.pdf,BUSINESS-DEVELOPMENT,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nexercise science\n \nsmall business minorâ \nskills\nacute care  administration  benefits  budget  business development  contracts  customer service  interpersonal  leadership  marketing  presentations \nsales  finance  cultured  team work', 'University': ''}]","university city state, city state usa, city state director, city state physician, sustain strong relationships, state university city, city state lead, city state clinical, business development february, canyon university city"
