CV File,Category,Education,Top Skills
./data\CHEF\10001727.pdf,CHEF,"[{'Degree': 'master', 'Major': 's\n \n  \nbusiness administration\n \n2015\n \nstratford university\n \nï¼  \ncity\n \n  \nstate\n \ngpa  \ngpa  3 8 magna cum lade\n \nbusiness administration gpa  3 8\nmagna cum lade\nbachelors of arts\n \n  \nhospitality management\n \n2013\n \nstratford university\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\nhospitality management\nassociate of applied science\n \n  \nadvanced culinary arts\n \n2010\n \nstratford\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\nadvanced culinary arts  c c  \ncertifications and trainings\n \ncity\n \n  \nstate\ntips certified\ncpr aed certified\ncertified food handler  state of virginia\nfood management professional  state of virginia\nihg training\nonq training\ncertified culinarian 2010\nskills\nada compliance  auditing  computer programming  contracts  cpr  credit  customer satisfaction  customer\nservice  data entry  department of health  financial  hr  inventory management  cost accounting  marketing  access  pbx  policies  pos  safety \nsales  scheduling  seminars  staffing  supervisor', 'University': ''}]","city state assisted, city state usa, trainings city state, city state gpa, front desk agent, city state process, city state accomplished, city state tips, front desk jan, perform work duties"
./data\CHEF\10276858.pdf,CHEF,[],"city state food, city state cook, cooked food properly, established restaurant practices, food cooked food, food preparation food, food handling standards, food prep chef, food preparation kitchen, city state chef"
./data\CHEF\10333299.pdf,CHEF,[],"city state sales, city state general, state general manager, state sales consultant, city state operations, ged city state, ensure food quality, city state forklift, general manager executive, city state swing"
./data\CHEF\10588874.pdf,CHEF,[],"food sous chef, city state approved, city state scheduled, city state gpa, city state performed, city state skilled, city state certification, manager executive chef, city state advanced, food orders kitchen"
./data\CHEF\10653119.pdf,CHEF,[],"managed kitchen staff, chef chef manager, executive chef chef, food safety manager, kitchen staff team, certified food safety, proper food handling, safety manager food, food procurement inventory, city state prepared"
./data\CHEF\10889157.pdf,CHEF,[],"beechwood high school, lead cook cook, attended beechwood high, brush high school, high school diploma, cook cook iii, city state prep, high school city, management high school, city state usa"
./data\CHEF\11121498.pdf,CHEF,[],"city state nutrition, daily culinary operations, state nutrition diet, diet nutrition cooking, city state maintained, city state served, city state designed, city state shepherd, diets proven ability, city state usa"
./data\CHEF\11209758.pdf,CHEF,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nbusiness management\n \nsaint joseph university\n \nbusiness management magna cum laude\nsummary\noperations management   growth strategies   data   financial analysis award winning  analytical and data driven decision making manager\nwith 15 years experience in business management and astute understanding of accounting  taxation  marketing  sales and administrative procedures \nadept at implementing and executing operational strategies  addressing complex challenges and leading team members to continuous successes \ndiligent in scrutinizing profit and loss statements  fostering the financial health of the company and maintaining a holistic view of operations while\nalso focusing on the granular detailslanguages\nenglish  french and arabic\nhighlights\nmicrosoft word  excel  spreadsheets  pivot tables  formulas  formatting   powerpoint  access  outlook google data analytics  search engine\noptimization  seo  and web metrics social media tools hootsuite and hashtagify cloud management and security salesforce customer\nrelationship management quickbooks 42 cpe credits  mastering quickbooks level 3 certified\nskills\nadministrative  ads  arabic  business development  contracts  customer relationship management  client  clients  customer satisfaction  energy\nefficient  english  food safety  french  hiring  inventory management  inventory  marketing  market  mentor  access  excel  spreadsheets  outlook \npowerpoint  98  microsoft word  networking  payroll processing  pivot tables  policies  pricing  product development  producing  profit \npurchasing  quality  quickbooks  safety  selling  sales  search engine optimization  servers  shipping  staffing  strategic  tax  tax returns  training\nprogram', 'University': 's'}]","customer relationship management, management client clients, client clients customer, tax tax returns, management inventory marketing, relationship management client, tax returns training, inventory management inventory, clients customer satisfaction, food safety training"
./data\CHEF\11432686.pdf,CHEF,"[{'Degree': 'master', 'Major': 's program  naperville  il \n \n2012\ngraduate level courses  marketing  illinois institute of technology  chicago  il \n \n1997\nb a\n \n  \norganizational corporate communications journalism\n \n1992\n \nnorthern il university\n \nï¼  \ncity\n \n  \nstate\n \norganizational corporate\ncommunications journalism american management association  2016 and 2017  communicating up  down and across the organization \ncritical thinking  fundamental sales techniques  project management success  the power of persuasion\nskills\nsharepoint \nbpc and sap \nmicrosoft suite  \nword  excel  powerpoint  \nmicrosoft access \nmicrosoft project \nmicrosoft dynamics\nseminars classes  \nsocial media marketing \nfacebook for business \nproject management \nprofitability simulation \nnielsen syndicated data analysis\npower presentations \ntechnical writin', 'University': 'g'}]","product line management, product manager jan, product lines including, project management marketing, line management including, project management managed, brand manager jan, product manager product, product development product, product line sales"
./data\CHEF\11444536.pdf,CHEF,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nculinary management\n \nseptember  2012\n \nle cordon bleu college of culinary arts\n \ncity\n \n  \nstate\n \nculinary\nmanagement\nskills\nfood trakâ  â birchstreet  â wordâ   excelâ â', 'University': ''}]","maintain adequate inventory, management skills food, owner executive chef, state culinary management, timely manner maintain, food exceptional service, culinary management skills, food service industry, city state culinary, maintain production standards"
./data\CHEF\12155206.pdf,CHEF,"[{'Degree': 'master', 'Major': 's of education in\n \n \n \nelementary education\n \n2008\n \nrivier university\n \n  \ncity\n \n  \nstate\n \n  \nusa\nâ  \n nh elementary educator certificate k 8  1811\n   current through \n6 2017\n   \npraxis i   iiâ  \napril 2006  sept  2007\nbachelor of science\n \n \n \nbusiness management\n \n1987\n \nrivier university\n \n  \ncity\n \n  \nstate\n \n  \nusa\nassociate of science\n \n \n \nadministrative secretarial management\n \n1982\n \nnashua community college\n \n  \ncity\n \n  \nstate\n \n  \nusa\nnon degree program\n \n \n \nintel math i   ii\n \n2012\n \nplymouth university unh manchester\n \n  \ncity\n \n  \nstate\n \n  \nusa\n \nâ earned 6 graduate credits  80\nhours of content intensive professional development and learning strategies regarding k 8 core mathematic concepts \nprofessional affiliations\nnashua garden club â â  2004 presentmedic alert community ambassador â â  2005 2010\nâ â â â â  organized   distributed medicalert collateral to surrounding medicalâ community \ncharlotte avenue elementary school classroom   pto volunteerâ  1996 2008\nâ room mom â reading   math groups â chaperone â baker  hospitality   garden club  ski   chess club\nskills\ncomputer proficiency  organizational skills  multi tasking  customer service  proofreading  prioritization  secretarial skills  time\nmanagement â accounting  direct sales  data collecting  marketing  recruiting  proposal preparation â education â cooking  baking  andâ i can\nteach a non english speaking person to speak  readâ and write inâ english â \ncomputer skills  microsoft office suite word  excel â powerpoint  outlook  inspiration softwareâ  â publisher  open to learning new\nsoftware', 'University': ''}]","city state usa, university city state, city state accountant, rivier university city, city state student, city state kindergarten, city state administrative, city state, city state director, city state pharmacy"
