CV File,Category,Education,Top Skills
./data\CONSTRUCTION\10041713.pdf,CONSTRUCTION,"[{'Degree': 'bachelor', 'Major': 'of instrumentation engineering\n \n  \ninstrumentation engineering\n \n  \n2006 12 31\n \nmaharishi markendeshwar engineering college\n \nbachelor of\ninstrumentation engineering   degree received  december 31  2006 maharishi markendeshwar engineering college  mullana india  may\n09 2002 july 21  2006 \naffiliations\nactively involved in networking chapter in boston area like national association of women in construction  mass building congress  american\nsociety for precision engineeringcertifications\nenergy management professional certified by schneider university \nskills\nsales  proposals  solutions  commercial buildings  million  sales and  contracts  ecms  energy conservation  energy solutions  industrial\nfacilities  retail  retail marketing  retrofit  technical assistance  instrumentation  long term disability  ltd  engineer  hvac  collection \nmaintenance  marketing  networking  project engineer  project planning  real time  scada  testing  estimating  estimation  estimator \noperations  pricing  sales team  takeoffs  fire protection  front end  quotations  relationship building  sales activities  sales engineer \nsecurity  siemens  award  clients  csr  energy management  project development  roi  selling of  sq', 'University': 'l'}]","energy conservation measures, energy conservation solutions, alarm management suite, energy management professional, management professional certified, energy conservation energy, construction mass building, bas construction sales, key responsible person, conservation energy solutions"
./data\CONSTRUCTION\10100240.pdf,CONSTRUCTION,"[{'Degree': 'master', 'Major': 'carpenters to install decks for both residential and commercial customers\ninstalled and repaired woodwork  millwork and cabinetry under supervision of master carpenter\nkept job site cleaned up properly and all debris disposed of in respective containers\ninterpreted specifications and construction drawings to understand tasks necessary to complete each job\naccepted feedback from foreman and journeyman carpenter  implementing suggestions into later work\nobserved all osha and corporate safety regulations and procedures\nled variety of projects from start to finish  including garages  residential homes and additions\nrepaired roofs and flooring and remodeled bathrooms and kitchens to complete projects in satisfactory time\neffectively used all fasteners such as nails  screws  pneumatic nailing systems  concrete anchors  powder actuated fasteners and framing\nconnectors\nproactively managed projects to obtain 100  customer satisfaction for all custom work\ninstalled interior finish items  including wall protection  doors and hardware  toilet accessories  cubicle curtain tracks and tv brackets\ninstalled drywall  ceilings  trim and fabricated replacement trim and moldings\nconstruction worker\n \n  \n08 2016\n \nto \n09 2017\n \ncompany name\n \nâ   \ncity\n \n  \nstate\n \nsupported customer preferences with basic carpentry work such as installing wooden floors and crown molding\nconsulted with customers to understand desires and help each owner meet individual property objectives\ngathered and disposed of work site debris to remove safety hazards and boost team productivity\nmonitored materials inventory and requested items for restocking for each job\nloaded and unloaded building materials used for construction\nsafely operated mowers  chain saws  electric clippers  sod cutters and pruning saws to clear construction sites  roadbeds and access roads\nerected and removed temporary structures such as trench liners and scaffolding to meet team needs\nenhanced team efficiency and multitasking abilities by effectively using hand tools  power tools and equipment\ngathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organized\neducation\nhigh school diploma\n \n  \n04 2010\n \nbuffalo high school\n \n  \ncity\n \n  \nstate\n \ncsho  certified safety   health official \n \n  \n01 2020\n \nteex\n \n  \ncity\n \nskills\ncabinetry\nmaterial prepping\nconstruction drawing interpretation\ncarpentry techniques\noral and written communication\nmaterials handling\nnew construction and renovation\ndrywalling\nsafety and compliance\nwork history\ncarpenter apprentice\n \n  \n10 2017\n \nto \n09 2019\n company name\n \nâ   \ncity\n \n  \nstate\n \nassisted with movement of materials and equipment to job sites\nworked with master carpenters to install decks for both residential and commercial customers\ninstalled and repaired woodwork  millwork and cabinetry under supervision of master carpenter\nkept job site cleaned up properly and all debris disposed of in respective containers\ninterpreted specifications and construction drawings to understand tasks necessary to complete each job\naccepted feedback from foreman and journeyman carpenter  implementing suggestions into later work\nobserved all osha and corporate safety regulations and procedures\nled variety of projects from start to finish  including garages  residential homes and additions\nrepaired roofs and flooring and remodeled bathrooms and kitchens to complete projects in satisfactory time\neffectively used all fasteners such as nails  screws  pneumatic nailing systems  concrete anchors  powder actuated fasteners and framing\nconnectors\nproactively managed projects to obtain 100  customer satisfaction for all custom work\ninstalled interior finish items  including wall protection  doors and hardware  toilet accessories  cubicle curtain tracks and tv brackets\ninstalled drywall  ceilings  trim and fabricated replacement trim and moldings\nconstruction worker\n \n  \n08 2016\n \nto \n09 2017\n \ncompany name\n \nâ   \ncity\n \n  \nstate\n \nsupported customer preferences with basic carpentry work such as installing wooden floors and crown molding\nconsulted with customers to understand desires and help each owner meet individual property objectives\ngathered and disposed of work site debris to remove safety hazards and boost team productivity\nmonitored materials inventory and requested items for restocking for each job\nloaded and unloaded building materials used for construction\nsafely operated mowers  chain saws  electric clippers  sod cutters and pruning saws to clear construction sites  roadbeds and access roads\nerected and removed temporary structures such as trench liners and scaffolding to meet team needs\nenhanced team efficiency and multitasking abilities by effectively using hand tools  power tools and equipment\ngathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organize', 'University': 'd'}]","work site debris, job sites worked, job site cleaned, job sites clean, clear construction sites, construction sites roadbeds, material prepping construction, work history carpenter, moldings construction worker, custom work installed"
./data\CONSTRUCTION\10149490.pdf,CONSTRUCTION,[],"site safety plan, city state operations, reviews cost control, certified qualified individual, oil spill response, control leader planning, construction afe maintenance, operations project engineering, construction schedule activities, leader planning section"
./data\CONSTRUCTION\10176013.pdf,CONSTRUCTION,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nbusiness management\ncoursework in economics\ncoursework in computer scienc', 'University': 'e'}]","carefully coordinated plans, coordinated post construction, city state construction, construction site pre, performed construction site, marketing programming standards, construction projects assisted, defined project deliverables, review project status, post construction audits"
./data\CONSTRUCTION\10281555.pdf,CONSTRUCTION,[],"reviewed project drawings, site reviewed project, plans architectural plans, construction site manager, job site reviewed, evaluated plans architectural, city state activities, city state maintained, site manager company, written daily log"
./data\CONSTRUCTION\10734870.pdf,CONSTRUCTION,[],"excellent customer service, supplying customer service, city state skills, customer service customer, service customer service, phones supplying customer, city state sale, city state construction, city state assemble, city state front"
./data\CONSTRUCTION\10820510.pdf,CONSTRUCTION,[],"city state responsible, tank construction responsible, tank construction company, tank construction fitter, construction manager company, level iii certificate, procedures construction manager, multiple tank companies, certified cwi certificate, certified tes certificate"
./data\CONSTRUCTION\11393213.pdf,CONSTRUCTION,[],"prepared job sites, work site debris, interpreted job site, job site supervisor, job sites clean, complete construction projects, complete jobs including, work history construction, impacting system operations, system operations elegantly"
./data\CONSTRUCTION\11650031.pdf,CONSTRUCTION,[],"building maintenance city, maintenance city state, current hydroblasting technician, current building maintenance, city state perform, general building maintenance, carpentry building maintenance, building maintenance environmental, city state properly, assistant city state"
./data\CONSTRUCTION\12212468.pdf,CONSTRUCTION,[],"project controls manager, design build project, project engineer company, design build construction, project manager design, assistant project manager, million net change, manager design build, build construction coordinator, largest design build"
./data\CONSTRUCTION\12491898.pdf,CONSTRUCTION,[],"consumer reporting agencies, consumer reporting agency, nombre del supervisor, www consumerfinance gov, consumerfinance gov learnmore, dejo este empleo, del supervisor informaciã, del puesto salario, tulo del puesto, puesto salario fechas"
