CV File,Category,Education,Top Skills
./data\CONSULTANT\10332998.pdf,CONSULTANT,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \ncriminal justice\n \nmay 2000\n \njohn jay college of criminal justice\n \n  \ncity\n \n  \nstate\n \ngpa  \nmagna cum laude dean s list recipient bar admissions\n \ncriminal justice magna cum laude dean s list recipient bar admission', 'University': 's'}]","city state served, city state gpa, law city state, justice city state, conducted legal research, immigration case archibald, financial law staff, successfully representing client, law staff member, clinic city state"
./data\CONSULTANT\10984392.pdf,CONSULTANT,[],"company apartment inventory, toyota motor manufacturing, city state gpa, company revenue drivers, primary costs company, process consultant january, key company revenue, state markets provided, city state develop, city state converted"
./data\CONSULTANT\11020140.pdf,CONSULTANT,[],"city state computer, computer science data, state computer science, computer systems validation, skills analytical skills, science data communications, windows operating system, provided design development, design development testing, document management application"
./data\CONSULTANT\11333660.pdf,CONSULTANT,"[{'Degree': 'master', 'Major': 'of arts\n \n  \ninternational studies\n \noxford brookes university\n \ngpa  \ndissertation  deconstructive analyses of the failed state discourse in its\nhistorical bases and contemporary form s  and implications for international security  the case of afghanistan\n \ndissertation  deconstructive\nanalyses of the failed state discourse in its historical bases and contemporary form s  and implications for international security  the case of\nafghanistan international studies\nm a\n \n  \ninternational studies  security focus \n \ngpa  \ntop 5  of class  graduating with distinction honors  dissertation title  toward a genealogy of\nthe  failed state  discourse\n \ninternational studies  security focus  top 5  of class  graduating with distinction honors  dissertation title  toward a\ngenealogy of the  failed state  discourse\nbachelor of science\n \n  \npolitical science   global studies\n \nsouth dakota state university\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\n \npolitical science   global\nstudies\nb s\n \n  \npolitical science and global studies cultural geography\n \npolitical science and global studies cultural geography\nadvanced coursework in cultural geography  international relations and organizations \n \ngpa  \nscholarship   dr  john henrickson award  \nawarded twice for academic achievement in field of political science  2005   2007   graduated with cum laude honors \n \nscholarship   dr  johnhenrickson award   awarded twice for academic achievement in field of political science  2005   2007   graduated with cum laude honors \npublications\nszarkowski  s   dominant voice  dominant silence  foucault s governmentality and the us pakistan relationship  published in cass 2009\nconference proceedings   voices  postgraduate perspectives on interdisciplinarity   presented at and published by the university of aberdeen\n2009 szarkowski  s   on the need for critical reflexivity  or  a one eyed king in the land of the blind  paper presented at cass 2011 \nuniversity of aberdeen 2011 szarkowski  s   historical legacies  identity constructions  and security policy for failed states  the afghanistan\ncase  paper presented to the international studies association  san franciso 2013\nskills\nad  articulate  budget  concise  conferences  consulting  copy editing  client  clients  data collection  data entry  drafting  editor  editorial  fast \nfinance  fundraising  government  law enforcement  leadership  team leader  managing  materials  media relations  money  mos  networking \nnewsletters  personnel  personnel management  policy analysis  presentation skills  prime  problem solving  progress  project management \npublic relations  public speaking  quantitative analysis  reporting  research  security clearance  seminars  sop  stories  workshops  write', 'University': 'r'}]","failed state discourse, international studies security, science global studies, marine security guard, political science global, studies security focus, global studies cultural, studies cultural geography, states political science, science political science"
./data\CONSULTANT\11415967.pdf,CONSULTANT,"[{'Degree': 'master', 'Major': 'of science\n \n \n \noil and gas enterprise management\n \n2015\n \nuniversity of aberdeen\n \n  \ncity\n \n  \nstate\n \n  \nuk\ngraduated with distinction  undertook courses in \npetroleum economics  project management  geoscience  sustainable development and\ndissertation on best practicable environmental option for different energy technologies  through this course  i developed vast knowledge and\nbusiness skills needed to analyse and evaluate projects \nbachelor of science\n \n \n \nenvironmental management\n \n2011\n \nabia state university\n \n  \ncity\n \n  \nnigeria\nfour years study majored in environmental management and entrepreneurial development  course work included remediation techniques \nenvironmental management systems  renewable energy technologies   and dissertation on environmental impact assessment of a proposed\nbrewery  graduated with second class upper division and cgpa of 4 13 5\nselect \none\ninterests\ntravelling  cooking and dancing\nprofessional affiliations\neuropean energy institutes\nadditional information\npersonal interest  travelling  cooking  dancing  singing  and shopping \nskills\nbiology  bsc  chemistry  interpersonal  community relations  cost control  clients  database  drafting  economics  eia  english  environmental\ncompliance  environmental management  inspection  iso  legal compliance  litigation  mentoring  microsoft office  microsoft office applications \noffice  msc  enterprise  networks  oil  personnel  physics  presentations  project management  quality  quality assurance  report writing \nresearch  safety  sound  training programme', 'University': 's'}]","company insurance renewals, prepared departmental contracts, prepared correspondence accounting, compliance environmental management, city state environmental, environmental compliance environmental, development project management, workers compensation general, compensation general liability, project management quality"
./data\CONSULTANT\11835339.pdf,CONSULTANT,"[{'Degree': 'bachelor', 'Major': 's degree\n \n  \nhospitality management\n \ncity\n \n  \nstate\nexecutive experience\ncompany name\n \ncity\n \n  \nstate\n \nhotel  restaurant   marina\n \npresident\n \nmay 1979\n \nto \noctober 2010\nskills\nbanquet   catering director\n \nâ \nput together the menus for different family functions  business meetings  luncheon s and special functions \nplanned and developed our breakfast  lunch and dinner menus  which we utilized for daily operations \nbaked and cooked all of our menu items on a regular basis and rotating schedule as needed to fill gaps in the schedule \ninstituted a program for the operation and maintenance of all equipment used in daily production of food and beverages \nimplemented an employee incentive program to improve the quality and timely service of all customers on and off premises \nensured timely deliveries of lunches and platters for off premise catering and managed vehicle sanitation and safety for drivers and other\npersonnel \ngeneral manager\n \nâ \nresponsible for overseeing scheduling and training of 35 to 40 part and full time employees  that made up the marina  motel and restaurant\noperations \nalways maintained the highest degree of customer service to customers and ensure that all employees are following these most basic and\nvery important company standards \nensure that we had adequate staff members  and supervisors for each shift and were prepared for any special events  functions and\nholidays \ntrain managers to grow sales and profits by thorough and diligent attention to quality and implementation of accurate cost controls for each\ndepartment \ndeveloped a timely response and follow up program for customer complaints  ensuring proper corrective actions were in place to avoid\nfuture complaints \nput together the required business plans and laid out the marketing and operating budget  for the construction loan of the restaurant \nvendor   purchasing supervisor\n \nâ \nresearch different vendors and process credit applications necessary to set up accounts with these vendors  to handle the purchases of\nfood  beverage and equipment \nprepare and document the paperwork  correspondence and payments  between the purveyors and vendors \nmonitor the performance of the different purveyor s we purchase from to ensure we are getting the best price  quality and service  we\ndeserve \nset up and maintained the food   beverage inventory and placed the orders with each purveyor on a daily and weekly basis \nmanaged the physical inventory process on a biweekly basis  and computer input of all relevant documentation  to monitor accurate food  \nbeverage costs \nmaintained the par levels set up for the different food  beverages and supplies utilized throughout the entire operation \nchecked all incoming shipments for accuracy of invoices  bill of laden and various shipping certificates \nexamined goods for quality  quantity and any damages or shortages that may be present with deliveries  oversight and maintenance of\nproper storage practices for all types of food and supplies received \ninsurance  license   permit specialist\n \nâ \nset up accounts with the different insurance agencies to procure and manage the property  liability  and workers comp   health\ninsurance for the company \nfiled the paperwork for the application and maintenance of the business licenses  abc license and health department permits required\nto operate the restaurant and marina \nworked with the bookkeeper  accountant as well as the local  state and federal tax authorities to process the required  weekly \nquarterly and annual  tax filings \naccomplishments\nwas an active member of the eastern shore of va chamber of commerce   tourism commission for over 25 years \ncommittee member and booth captain of the seafood festival   harvest festivals  the two principal annual fundraiser s  for the chamber \nhelped found the eastern shore chapter of the virginia restaurant association in 1984  which later became the va  hospitality   travel\nassociation  vhta \ntreasurer of the eastern shore chapter  since it s inception in 1986 \nhelped found the eastern shore chapter of the recreational fishing alliance  rfa \nwachapreague town planning commission member for eight years \nhelped design and build the 200 seat island house restaurant  which opened in the spring of 1979 \ni was instrumental in building and maintaining the island house s reputation  as one of the longest family owned and operated restaurant s  onthe eastern shore \nworked closely with many local  state   national charities  such as the united way  eastern shore rural health  the food bank \nlighthouse ministries  and the eastern shore literacy commission  to plan and host numerous fundraiser s at the island house and other\nlocations around the eastern shore of virginia \npersonally catered private backstage banquets for jimmy buffett  his band and crew  for 25 years  at different concert venues in several\nstates \ninvited by senator john warner  to help cater the first virginia christmas tree lighting ceremony at the russell senate office building in\nwashington d c   in 2005 \nexperience\ncompany name\n \nnovember 2012\n \nto \napril 2013\n \nconsultant to owner\n \ncity\n \n  \nstate\nduties and responsibilities \n \nâ \nworked as a consultant to the owner  management and staff in the startup and operation of the new restaurant and catering facility \nput together and managed the physical inventory for the food  beverages  paper   chemical and various items needed to operate the restaurant \ninstrumental in developing a breakdown of the recipes and menu entrees  which i used to input of all relevant documentation  to monitor the food\n  beverage cost system \ncoordinated  merchandised and played a pivotal role in the setup of the new coffee  smoothie and alcohol bar  including beverage recipes and\nglassware to be utilized  gave advice in the areas of local marketing  merchandising and managing the business  based on my thirty plus years in\nhospitality management \ncompany name\n \noctober 2011\n \nto \njuly 2012\n \ngeneral manager\n \ncity\n \n  \nstate\nduties and responsibilities \n \nâ \nhire and maintain adequate staff to cover daily and weekly store shifts  responsible for keeping payroll costs in line with budgeted figures \nworked to meet or exceed the monthly sales and expense goals the company had for the exmore store  in charge of placing bi weekly orders\nfrom the ace warehouse as well as orders from certain local vendors of hardware and lawn and garden supplies  responsible for receiving\npurchase orders from all incoming deliveries of \nstock from ace and outside vendors  attended monthly general manager meetings at the home\noffice in fruitland  maryland  reporting on issues and concerns at the store level \ncompany name\n \napril 2011\n \nto \noctober 2011\n \nassistant manager\n \ncity\n \n  \nstate\nduties and responsibilities \n \nâ \nin charge of daly operations during a given breakfast  lunch or dinner shift  oversee employees to ensure that customer service was the best and\nfood service times were kept to a minimum  work to keep payroll costs in line with budget  while making sure we had adequate staffing for the\nday and week ahead  our focus was on consistently great customer service experiences  with a eye on mcdonald s corporate service times for\ndrive through and sit down foodservice  held weekly meetings with store management  to communicate any issues and comments regarding\nweekly  monthly and year to date budgeted sales and expense goals \nsummary\nbecome an integral part of company team  by applying the skills i ve learned from my 30 plus years of managing the wachapreague hotel \nmarina   island house restaurant  a self motivated and goal oriented person who works well with others to plan and coordinate the many\naspects of on and off premise catering functions  utilize my experience to manage daily operations  encourage and direct staff and develop new\nideas to improve on existing procedures within the facility', 'University': ''}]","eastern shore chapter, city state duties, manager city state, island house restaurant, food beverage costs, eastern shore worked, food beverage inventory, food service times, accurate food beverage, management city state"
./data\CONSULTANT\12251115.pdf,CONSULTANT,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nnursing\n \nuniversity of north carolina\n \nï¼  \ncity\n \n  \nstate\n \nnursing\nassociate of science\n \n  \nparamedicine  paramedic emt\n \ngaston technical college\n \nï¼  \ncity\n \n  \nstate\n \nparamedicine  paramedic emt\nskills\nadvertising  consultant  training employees  staff training  fast  hiring  hr  inspecting  inventory  managing  marketing  excel  operations\nmanagement  packaging  pain management  payroll  pricing  quickbooks  sales  scheduling  staff managemen', 'University': 't'}]","city state managing, scheduling training employees, city state paramedicine, boulder organic food, hiring scheduling training, city state nursing, city state independent, organic food group, options medical center, dispensary grow mip"
./data\CONSULTANT\12374933.pdf,CONSULTANT,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \ninformation technology  network engineering\n \nstratford university  woodbridge  va\npursuing bachelor of science in information technology with concentration in network engineering 10 2014   present\npresentations\nmaintained configuration management  it procurement and maintenance renewal documentation  created and updated network diagrams using\nmicrosoft visio to provide for presentations\ncertifications\nnew horizons computer learning center  atlanta  ga comptia a  and network sunset learning center red hat system administration i\n rh124 \nlanguages\nfluent in spanish \nskills\ndeployment  maintenance  active directory  testing  workstations  access  technical support  printers  blackberry  windows server 2003 \ncases  documentation  test cases  backups  lan  lan wan  integration  integrator  backup exec  citrix  exchange  ghost  hardware\ninstallation  networking  production environment  remote access  symantec  tcp  tcp ip  veritas  veritas backup exec  vms  vpn  wan\ntroubleshooting  security  accounts and  accounts in  application support  change management  configuration management  databases \nengineer  immigration  inventory  it procurement  lead engineer  microsoft visio  of accounts  procurement  scheduling  scheduling software \nstatistics  test engineer  visio  vmware  database  sql  qa  qa process  data analyst  design documentation  excel  medicare  microsoft\naccess  ms access  scripting  word  basis  incoming calls  systems integration  acrobat  adobe acrobat  altiris  cisco  comptia  dhcp  dns \nfacets  ftp  juniper  learning center  learning centers  lotus notes  microsoft office  microsoft office 2010  ms office  office 2010  pc\nanywhere  photoshop  remedy  symantec pc anywhere  system administration  systems administration  virtual machine  virtual server  vm \nwestlaw  windows 7  windows 8  windows server 2008  windows xp  wise  linux  it support  service level agreements  team lead  data\ncenter  red hat  router  file  helpdesk  telephone  apache  clients  migrations  mysql  php  solutions  web server  associat', 'University': 'e'}]","city state systems, university city state, setup user accounts, city state data, maintained configuration management, hardware software issues, stratford university city, access technical support, technical hardware windows, configured windows server"
./data\CONSULTANT\12526702.pdf,CONSULTANT,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nelectrical engineering minor in computer science\n \n1997\n \nnortheastern university\n \ncity\n \n  \nstate\n \n  \nusa\n \nelectrical engineering \nminor in computer\norganization and management\n \n2011\n \ncapella university\n \ncity\n \n  \nstate\n \n  \nusa\n \norganization and management\naffiliations\nmember  ieee computer society\nmember  neu alumni association\nskills\nautocad  orcadd  c  c   customer support  data acquisition  data analysis  database  fda  gmp  government  interface design \nlabview  ms access  ms excel  ms power point  microsoft project  microsoft visual basic  microsoft windows â ms word  nt \norganizational leadership  problem solving  product development  procedure writing  programming  project management  protocols  quality\nimprovement  quality control  risk assessment  strategic planning  system integration  technical support â presentation', 'University': 's'}]","product field failures, developed electrical test, products design history, statistical data analysis, university city state, city state usa, risk assessment analysis, systems quality engineer, test plans validation, electrical engineering minor"
./data\CONSULTANT\12897903.pdf,CONSULTANT,"[{'Degree': 'master', 'Major': 'of science\n \n  \ncounseling education and education psychology psychology\n \nmississippi state university\n \ncounseling education and\neducation psychology psychology\nbachelor of science\n \n  \nbusiness administration\n \ncollege of business and professional studies  mississippi university for women\n \nbusiness\nadministration\nskills\nrevamped the orientation process for all new hires  which was implemented company wide \n \nsuccessfully decreased staff turnover by \n number \n  \nin \n number \n \nmonths \n â p\n rovided assistance in resume building  training  and career path development  â \n reduced employee turnover by 10  â \ncreated \n number \n  week virtual training sessions for a \n program type \n \ncertification program \nqualification', 'University': 's'}]","city state created, education psychology psychology, interview program process, program process created, city state carefully, city state increased, city state worked, city state master, training employee relations, employee relation issues"
