CV File,Category,Education,Top Skills
./data\DESIGNER\10466583.pdf,DESIGNER,[],"city state floral, state floral designer, floral designer opened, included counting cash, counting cash drawers, customers select products, making bank deposits, helped customers select, city state cashier, college city state"
./data\DESIGNER\10748989.pdf,DESIGNER,"[{'Degree': 'bachelor', 'Major': 'of fine arts\n \n  \ninterior architecture\n \n2013\n \nthe university of north carolina\n \n  \ncity\n \ninterior architecture\nbim and design graphics coursework\ncontinuing coursework in sustainable design\narchitecture coursework\ncolor theory and perspective course\nhistoric conservation \n  adaptive re use sustainable design practices energy efficiency in the building envelope\n \n  \n  \nhistoric preservation\nsustainable design practices\nenergy efficiencies in the building envelope\nassociates\n \n  \napplied science architecture technology\n \nwake technical community college\n \n  \napplied science architecture technology\nrecipient of home builders associationâ scholarship\nrecipient of meritâ scholarship\nbuilding construction seminar\nbim and design graphics coursework\narchitecture coursework\nofficer of architectural club\nconstruction materials   methods building codes solar technology civil engineering construction estimating project management \n  \n \ndrafting certificate\n \n  \nelectrical and mechanical\n \n1980\n \nisland drafting   technical institute\n \n  \ncity\n \n  \nstate\n \naccomplishments\nlighting design for rex hospital and duke stadium press tower\nskills\nautocad  cadence  client  documentation  drafting  estimating  leadership  team lead  lighting  materials  meetings  motorola  presentations \npress  project managemen', 'University': 't'}]","creative design concepts, implement design concepts, developed creative design, design team members, design concepts prepared, members including contractors, including contractors consultants, contractors consultants fabricators, consultants fabricators architects, team members including"
./data\DESIGNER\10751444.pdf,DESIGNER,"[{'Degree': 'master', 'Major': 'of science\n \n  \nmechanical engineering robotic   manufacture\n \ncurrent\n \ncolumbia university in the city of new york\n \n  \ncity\n \n  \nstate\n \nsep  2015 dec mechanical engineering robotic   manufacturecoursework in advanced mechanical engineering\ncoursework in drafting  computer aided design  cad  and computer aided manufacturing  cam \nbachelor of science\n \n  \nmechanical engineering\n \n1 2010\n \nnorth carolina state university  raleigh  ncsu \n \n  \ncity\n \n  \nstate\n \ngpa  \nmagna cum laude gpa  3 5 gpa  3 63 4 0\n \nmechanical engineering magna cum laude gpa  3 5 gpa  3 63 4 0\nnorth carolina state university\n \n  \ngpa  \nmagna cum laude\n \nmagna cum laude\naccomplishments\nlisted in the dean s list for three semesters during junior and senior year â  \nchosen to be on the cover of nc state freshman admissions\nbooklet â  \nin the process of receiving the professional development certificate â  \nncsu chinese basketball team player \nmath and physics club member â  \ncontrol and mechanical team member of ncsu ecocar2 â  \ntook the global training class at nc\nstate university â  \ncusa member  chinese undergraduate student association  \nskills\n3d  3d modeling  autocad  broadcasting  budget  c  cable  chinese  com  hardware  content  controller  data analysis  dec  decision making \ndesigning  product design  english  fashion  focus  fortran  frame  graphic  lathe  linux  director  maple  materials  matlab  mechanical \nmechanical engineering  access  mill  modeling  navigation  printer  processes  profit  speaking  python  quantitative analysis  reading  read \nresearch  safety  simulation  sketching  solidworks  statistical analysis  statistics  phone  translating  transportation  video  welding  wiring  writte', 'University': 'n'}]","city state designed, city state utilized, city state gpa, magna cum laude, ncsu city state, city state, city state assisting, city state sep, science mechanical engineering, carolina state university"
./data\DESIGNER\11155153.pdf,DESIGNER,"[{'Degree': 'master', 'Major': 'shop traveler  by  inputting information per purchase order and or drawing \nassign a  task number   traveler number  \ninput manufacturing instructions  sequences  and inspection points as required \ninput specifications  verification and testing needs  etc \ninto job costing system \ncreate and print the shop traveler \nas senior manufacturing planner i would release shop traveler to production  stores for issuance of product  material s   and or tooling\nrequired to begin production flow \ni would also review completed travelers for  approved  change s  made during production \ncategorize required change s  has either  one time deviation only  or  required on future production  \nif change s  are  required for future production  then enter change s  into system and forward that information to the contract department\nfor pricing adjustments on future sales \ni was also responsible for conduct technical and estimating support by researching and reviewing work order requirements as requested by\nproduction  quality  and or management as well as providing lead time estimates  manufacturing methods  historical planning information \netc \ni was responsible for the planning of all incoming production orders for new aviation parts and for repair station planning and work\ninstruction for aircraft components \ni interact with contracts  customer service  engineering  purchasing and internal fabrication shops \ni would review orders and procedures for process improvements \ncompany name\n \njune 2004\n \nto \njuly 2006\n \nsenior mechanical designer\n \ncity\n \n  \nstate\ni was responsible for designing electro mechanical assemblies for mobile command and communications systems for military and\ncommercial applications such as the beyond line of sight high mobility digital group multiplexer assemblage  blos hmda  \nblos hmda is housed in an s805 shelter  it is mounted and transported on an ecv hmmwv \nthe design employs a rack mounting system for mounting electronics and equipment that is based on eia standards \nincluded  but not limited to  my responsibilities are  \ntroubleshooting existing solid models  generating new solid models  and supporting\ndocumentation for the following  sheet metal fabrication  assemblies and subassemblies welding  punching  forming and machining\nelectro mechanical assemblies and subassemblies cable and harness assemblies all design and documentation were prepared using\nsolidworks rev 2004 and rev 2005  in compliance mil std 100e  ansi y14 5m 1982  asme y14 5 1994 requirements and\nindustry standards \ncompany name\n \njune 2002\n \nto \nnovember 2003\n \nsenior mechanical designer\n \ncity\n \n  \nstate\nthe u s \ndepartment of energy s waste isolation pilot plant  wipp  is the world s first underground repository licensed to safely and permanently\ndispose of excess transuranic radioactive waste from research and production of nuclear weapons \nproject facilities include disposal rooms mined 2 150 feet underground in a 2 000 foot thick salt formation \nin my position  \nas the senior mechanical designer  i supported design and documentation of the following projects associated with remote\nhandling of transuranic radioactive waste  \nunderground radios continues air monitoring  cam  remote alarm  filter clip 2â½ ton\njib crane for the cask preparation station radiation source holders elevated work platform for cask preparation station shrouded\nprobe assemblies hydraulic wrench system for 10 160b casks 10 160b road cask lid vent tool underground ventilation system and underground bulkhead assemblies \ncompany name\n \naugust 1996\n \nto \njune 2001\n \nsenior mechanical designer\n \ncity\n \n  \nstate\nsupported design and documentation of electro mechanical packaging of data acquisition electronics  instrumentation  missile  and satellite\nguidance systems utilizing global positioning system  gps  \nunits are connected to multiple sensors and actuators throughout an expendable launch vehicle such as atlas iiar  delta ii  and\ndelta iii \nsupported new product design  by provided all supporting design and documentation of tooling  wiring fixtures and assembly fixtures for\nprograms i was assigned \ndesign layouts  assembly drawings  parts list  and engineering details were generated in autocad r14 in compliance with mil std \n100e  ansiy14 5m 1982  asmey14 5 1994 requirements \npresented design proposals to management and our customers \ncompany name\n \naugust 1994\n \nto \nmarch 1996\n \nsenior mechanical designer\n \ncity\n \n  \nstate\nspecialized in mechanical engineering aerospace design and electro mechanical packaging of black boxes \ngenerated autocad r12 design layouts  assembly drawings  and engineering details from verbal instructions and engineering sketches to\ndod std 100c  \nmil std 100e   and corporate standards \nestablished datum s  dimensions  geometric tolerances to ansi y14 5m 1982 requirements  and application of standard notes  material\ncall outs and generation of parts list \nperformed change order tracking  statistical data and checking functions \nmaintained web based mechanical parts library \ndeveloped solutions and provided technical assistance to internal engineering  troubleshooting configuration management change order\nproblems \ncompany name\n \noctober 1992\n \nto \naugust 1994\n \nsenior mechanical designer\n \ncity\n \n  \nstate\nextensive design technology and manufacturing of vertical and horizontal shaft high velocity impact crushers and associated components \ncastings  precision machinery  and other heavy mining  structural steel  and industrial equipment \nanalyze and investigate pertinent design factors such as ease of manufacturing  availability of materials and equipment  interchangeability \nreplaceability  strength weight efficiency  and contractual specification requirements \ndesign and produce layouts of complex assemblies  detail parts of devices  mechanisms and structures of high velocity impact rock crushing\nmanufacturing equipment \ndevelop new product  process and service concepts \nprovide technical advice and project leadership to management \nstrong customer  internal  and subcontractor interface and coordination \ncommunicate with line manufacturing engineering regarding tool needs and change orders \nresolve technical problems on designs to assure cost effective manufacturing production and workable tooling \napply tolerance specifications  and make decisions as to whether tolerances could be met \nrecommend tooling changes for a cost effective production \nsupervised generation of drawings to mil spec and ansi standards \naudited layouts and drawings for clarity  completeness  standards  procedures  specifications and for accuracy of calculations and\ndimensions \ncompany name\n \njune 1986\n \nto \noctober 1992\n \nsenior mechanical designer\n \ncity\n \n  \nstate\nspecialized in mechanical engineering aerospace design and electro mechanical packaging of black boxes  generated autocad r12 design\nlayouts  assembly drawings  and engineering details from verbal instructions and engineering sketches to dod std 100c  \nmil std 100e   and\ncorporate standards  \nestablished datum s  dimensions  geometric tolerances to ansi y14 5m 1982 requirements  and application of standard\nnotes  material call outs and generation of parts list  \nperformed change order tracking  statistical data and checking functions  maintained web \nbased mechanical parts library  developed solutions and provided technical assistance to internal engineering  troubleshooting configuration\nmanagement change order problems \neducation\nhydraulics training\n \n2012\n \ncertification\ncompleted 60 hours industrial hydraulics training  level i  level ii and hydraulic trouble shooting  \nfederal aviation administration\n \n2004\n \nlicense\n \n  \nprivate pilot s license\nearned federal aviation administration faa private pilot s license\nnew mexico state university\n \n2003\n \npro engineer certification\n \n  \npro engineer\n \ncity\n \n  \nstatecompleted certification program for pro engineer\nsouth plains college\n \n1986\n \nassociates degree\n \n  \ndrafting technology\n \ncity\n \n  \nstate\napplied science   drafting technology\naffiliations\naircraft owners and pilots association  aopa  member \naccomplishments\ncapable of setting up 3d models for use with the integrated autodesk stress analysis fea with the understanding of setting the\nconvergence  material  constraints and loads with the ability to interpret hot spots and make adjustments to the model \nhave knowledge of  and can apply  the use of section modulus tables to determine how one shape compares to another in strength for a\ndirectional load able to research possible problems with material selection or component interface and present options \ndirect and indirect interaction with customer regarding additional customer supplied hardware installations \n3d model part design and assembly development including bom generation \ntake initiative to procure data  research  and make contacts in order to bring viable solutions to the forefront recent 60 hours industrial\nhydraulics training  level i  level ii and hydraulic trouble shooting  \nposses an understanding of hydraulic components and able to do troubleshooting with the ability to develop and improve hydraulic circuits\nfrom existing schematics \nhigh density packaging  3 d solid modeling    large and small mechanisms  sheet metal  wire harness  and installation control drawings \nworking knowledge of  dod std 100e  dod d 1000  ansi y14 5m 1982  asme y14 5 1994 standards specifications \nadditional information\nhonors and achievements\npresident s list  4 0 gpa  two semesters  dean s list  academic scholarship  honorary draftsperson of the year 1986  member national\nhonor society while attending south plains college  maintained a 4 0 gpa at national college \nreceived spot award  honored with you make a difference  and two letters of commendation during employment at honeywell\ndefense avionics div\nskills\nextremely computer literate and proficient in the use of microsoft suites  word  excel  autodesk inventor pro 2012  routed systems   tube and\npipe  and autodesk vault professional 2102  certification in pro engineer  creo  computervision 3 d personal designer  cadds4x \nsunhardware  autocad r2002  solidworks  fastcad  procad  \nâ', 'University': ''}]","mechanical designer city, designer city state, senior mechanical designer, model part design, design layouts assembly, based mechanical parts, repair station planning, customer service engineering, mechanical parts library, electro mechanical packaging"
./data\DESIGNER\11722421.pdf,DESIGNER,"[{'Degree': 'master', 'Major': 's\n \n  \nbusiness administration\n \nunited states university\n \ncity\n \n  \nstate\n \nbusiness administration\norganizational behavior  data   information systems management  and hr administration \nmasters\n \n  \nfashion design\n \nmarch 2014\n \nfidm fashion institute of design   merchandising\n \ncity\n \n  \nstate\n \ngpa  \ncum laude\n \nfashion design cum\nlaude\npattern making  garment construction  computer aided designing  technical drawing  and draping and sewing \nbachelors of engineering\n \n  \ntextile technology\n \njune 2010\n \nrgpv university\n \ncity\n \n  \nstate\n \n  \nindia\n \ngpa  \nmagna cum laude\n \ntextile technology\nmagna cum laude\nknitting and garment construction  fabric construction  woven and knits   fabric printing and finishing  and textile testing  gimatex industries\npvt  ltd   maharashtra  india spinning  weaving and garment construction trained in manufacturing the yarn  utilizing that yarn to fabricate fabric \nlastly utilizes that fabric to design a garment  paper on technical textiles  this paper presents different type of technical textiles  their\nmanufacturing  finishing  and end uses \nskills\nphoto  photoshop  cad  catalog  color  designing  fashion  drawing  hr  illustrator  information systems  materials  meetings  organizational \ndesign process  quality  research  collecting samples  trend  typ', 'University': 'e'}]","designer technical designer, city state created, assistant designer technical, university city state, production technical packages, casual sportswear dresses, technical packages including, pattern making garment, magna cum laude, garment construction fabric"
./data\DESIGNER\11807040.pdf,DESIGNER,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nnursing\n \n  \n12 2014\n \nnorthern illinois university\n \n  \ncity\n \n  \nstate\n \nnursing\nrecipient of \n scholarship name \n \nscholarship\ngraduated magna cum laude\nmaster of fine arts\n \n  \npainting sculpture\n \n  \n1 1996\n \nnorthern illinois university\n \n  \ncity\n \n  \nstate\n \npainting sculpture\nbachelor of arts\n \n  \nstudio art  painting drawing art history and chemistry\n \n  \n1 1992\n \nloras college\n \n  \ncity\n \n  \nstate\n \nstudio art  painting drawing art history and chemistry\nprofessional nursing foundations of nursing foundations of nursing clinical pathophysiology health assessment \n  \nhealth   human sciences\n \n  \n1\n2012\n \ngpa  \nsigma theta tau international honor society of nursing \nrosanne krcek frank nursing student scholarship\n \nhealth   human sciences\naffiliations\namerican nurses association  ana  member\ncertifications\nregistered nurse in \n state \n   license number \n number \n   \n year \nadvanced cardiac life support  acls  certification \n year to present \nskills\nadobe  advertising  assembly  banking  hardware  concept  client  clients  customer service  database  documentation  fashion  forms  graphic \nimage  in design  insurance  interpretation  logo creation  mental health  mail  nursing i  nursing  pdf  pen  postscript  presentations  coding \nquarkxpress  research  sales  sigma  unique  workflo', 'University': 'w'}]","university city state, city state nursing, led number support, patient care plans, number support groups, developed patient care, number students annually, long term patient, retracted patient throat, patient throat cultures"
./data\DESIGNER\11919526.pdf,DESIGNER,"[{'Degree': 'master', 'Major': 'of science\n \n  \ninstructional design and technology \n  \n2015\n \nwestern illinois university\n \nï¼  \ncity\n \n  \nstate\n \n \nunited states\nmaster of science\n \n  \ncomputer science \n  \n1994\n \ndepaul university\n \nï¼  \ncity\n \n  \nstate\nbachelor of science\n \n  \nfacilities planning and management\n \n  \n1984\n \npennsylvania state university\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\ncertifications\nibm databaseibm database\nibm application development\nibm technology expert\nnih protecting human research participantsâ \nwriting\nediting\ncommunity service\ninnovation hub stakeholder at the illinois math and science academy\nvolunteer instructional designer at york high school\nsociety president for the children of the american revolution society\nvolunteer forâ york athletic boosters\nvolunteer forâ york academic boosters\ncoach for sandburg science olympiad team\ncoach for american youth soccer organization\nvolunteer for elmhurst swim teamâ \npresentations\ninternational db2 user group  spain  1998\ninformation on demand  unites states  2006\ninformation on demand  united states  2007â \npublications\ndebra eaton and david majcher  test data management  in  elearning  ibm corporation  2009\ndebra eaton and david majcher  data archiving  in  elearning  ibm corporation  2009\ndebra eaton  vitor rodrigues  manoj k  sardana  michael schenker  kathryn zeidenstein  raul f  chong  getting started with ibm data\nstudio for db2  in  ebook tutorial  ibm corporation  2009\npaolo bruni  sabine kaschta  marcel kutsch  glenn mcgeoch  marichu scanlon  jan vandensande  debra e  db2 9 for z os stored\nprocedures   in  ebook tutorial  ibm corporation  2008 \nâ \ndebra eaton  marina greenstein  db2 9 application development certification exam 733  in  electronic ibm certification exam  ibm\ncorporation  2007 \nâ \ndebra eaton  marina greenstein  db2 9 application development certification exam 733 preparation tutorial  ebook certification\ntutorial  ibm corporation  2007 \nâ \ndebra eaton  introduction to ibm data studio  part 1  get started with ibm data studio  in  elearning developerworks  ibm\ncorporation  2006\ndebra eaton  introduction to ibm data studio  part 2  get started with ibm data studio  in  elearning developerworks  ibm\ncorporation  2006 \nâ \ndebra eaton  db2 developer workbench  part 3  developer workbench and xml  in  elearning developerworks  ibm corporation \n2006\ndennis bockus  debra eaton  robert newman  grant hutchison  ming wu  oracle to db2 udb for windows  os 2 and unix version\n7 2  in  white paper  ibm corporation  2002\ndebra eaton  when in rome  in  db2 magazine  ibm corporation  2001 paolo bruni  debra eaton  gregory green  and luca montini \nconverting from oracle aix to db2 for os 390  in  redbook  ibm international technical support organization  1999 \nâ \npatrick dantressangle  debra eaton  mark leung  ricardo d  macedo  ling tay  developing cross  platform db2 stored \nprocedures  in \nred book  ibm international technical support organization  1999 \nâ \naffiliations\nassociation for talent development\nelearning brothers\nibm technical certification board\nibm customer advisory boardâ \ninstructional design centra', 'University': 'l'}]","ibm data studio, tutorial ibm corporation, developerworks ibm corporation, elearning ibm corporation, elearning developerworks ibm, debra eaton marina, debra eaton introduction, learning objectives content, city state united, state united states"
./data\DESIGNER\11958994.pdf,DESIGNER,[],"city state essential, city state united, state united states, hair care products, state essential duties, client clients customer, clarifying desired information, city state determine, city state assemble, city state greet"
./data\DESIGNER\12415691.pdf,DESIGNER,"[{'Degree': 'bachelor', 'Major': 'of science\n \ncomputer science and mathematics\n \ngpa   3 7workshops\n   oracle database 11g administration  2013   \nbanner database administration  2013   red hat enterprise linux 7 system\nadministration  2015', 'University': ''}]","oracle application express, administration oracle database, oracle database administration, system administration oracle, linux system administration, mysql database administration, systems web applications, application express apex, banner database administration, databases mysql oracle"
./data\DESIGNER\12547982.pdf,DESIGNER,"[{'Degree': 'bachelor', 'Major': 'fine art\n \n  \ninterior design  art history minor\n \n  \n5 1984\n \nmaryland institute college of art\n \n  \ncity\n \n  \nstate\n \ninterior design  art history minor\nfine art curriculum\n \n  \n1 1980\n \ntowson state university\n \n  \ncity\n \n  \nstate\n \nfine art curriculum\naccomplishments\nnumerous programs  conferences and seminars related to the field \nall were approved ceu courses for cid and or iida \naffiliations\nformer member  certified interior designer   maryland  cid  international interior design association  iida    board member as past \npresident 1998 to 1999  president 1996 to 1998  president elect 1995 to 1996  treasurer secretary 1994 to 1995 nature conservancy\nnational trust for historic preservationskills\nautocad  budget  consultation  client  clients  ibm  interior design  lotus  notes  mechanical  meetings  microsoft excel  excel  office  microsoft\nproject  microsoft word  pricing  procurement  programming  proposal  research  safety  upgrade', 'University': 's'}]","prepare comprehensive design, city state worked, built autocad plans, construction document set, word software programs, microsoft word software, architectural construction document, city state independently, assignments interior designer, interior design art"
