CV File,Category,Education,Top Skills
./data\DIGITAL-MEDIA\10005171.pdf,DIGITAL-MEDIA,"[{'Degree': 'master', 'Major': 'of arts\n \n  \nradio  television   motion pictures\n \nuniversity of north carolina\n \nï¼  \ncity\n \n \n \nstate\nradio  television   motion pictures\nwriters guild of america internship  \nstar trek  deep space 9\n   paramount pictures  los angeles california  summer 1993\n1975\nbachelor of arts\n \n  \nhuman services\n \nuniversity of tennessee\n \nï¼  \ncity\n \n  \nstate\nhuman services\nm\n ortar board senior citation  academic achievement award  academic council  aaslf outstanding senior award  cheerleader  campus\nentertainment board  experiment in international living trip to italy summer of 1973  operation crossroads to africa travel to six west african\nnations during the summer of 1972  resident assistant 1975\ninterests\nwriters guild board of directors  2011 2012 \nsanctified sisters performing ministry  executive director and founder howard high school  class of 1971  president and reunion chairperson\n2001 2011 \nmurray hills neighborhood association board  2009 2011 \nhillcrest elementary school pta  president  2009 2010 \nmoccasin bend council of the girl scouts of america  leader \nbrownie troop 875  2007 2009', 'University': ''}]","radio television motion, public relations ncmpr, local state representative, television motion pictures, state radio television, television interviews featuring, psa series category, city state radio, media activities specialist, spanish language classes"
./data\DIGITAL-MEDIA\10515955.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 's of science\n \n  \npsychology\n \n2012\n \nuniversity of phoenix\n \nï¼  \ncity\n \n  \nstate\npsychology\nmaster of science\n \n  \ncounseling and clinical psychology\n \ntroy university\n \nï¼  \ncity\n \n  \nstate\nexpected graduation  2016\nadditional information\nadditional skill building training \nlandy chase value based selling  the augusta chronicle 2010 franklin covey  the savannah morning news \n2005 telephone selling  the savannah morning news \n2003 customer service training  the savannah morning news \n2003 telephone selling  the savannah morning news \n2002 advertising legal issues training class  the augusta chronicle \n2001 care  communication actions that result in effectiveness   the fayetteville observer \n1999 customer service  telephone manners that win   the fayetteville observer \n1998 selling from the heart  the augusta chronicle \n1997 relationship strategies  the augusta chronicle \n1997 exceptional customer service  the augusta chronicle \n1997 telephone skills workshop  the augusta chronicle\npersonal \nactive in animal rescue organizations\nskills\nad building  ad order entry  \nadvertising  advertising sales  automotive advertising  billing  cold calling  contract negotiation  customer service \ndigital advertising  needs analysis  proposal generation  recruitment advertising  telephone skills', 'University': ''}]","city state service, state service assigned, sections quote current, promote special pages, service assigned unassigned, quote current classified, current classified rates, classified rates cold, rates cold calling, calls promote special"
./data\DIGITAL-MEDIA\11005406.pdf,DIGITAL-MEDIA,[],"sprint isp management, servers dell switches, switches dell servers, dell switches dell, iis servers dell, ucs blade server, cisco ucs blade, cisco asa firewall, technologies watchguard firewall, servers trilead vmx"
./data\DIGITAL-MEDIA\11270462.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 's\n \n \n \npublic relations  business\n \nuniversity of louisiana at lafayette\n \nï¼  \ncity\n \n  \nstate\n \n  \nus\n \nuniversity of louisiana at lafayette  lafayette la\npublic relations liberal arts  may 2014 bachelor s degree in public relations with a minor in business\naccomplishmentsas part of one of my last core communications classes at the university of louisiana at lafayette  better known as campaigns 490  students\nwere divided into 5 teams of 5 to create a campaign for a specific client  the ull communication department  the proposal was to increase\nrecruitment numbers by 20  in the next year  each member of the team had a unique job and mine was editor  which entailed reviewing \nproofreading  and finalizing the group s final written reports and social media sites  after a semester of gathering and analyzing research  developing\na campaign based on objectives  creating a new branded image and evaluating the plan for the department  the department of communication\nchose our campaign as the winning group proposal\nprofessional affiliations\nthe andrã  comeaux campaign   lafayette  la\nskills\nassociate  basis  greeting  inventory  monthly sales  sales  sales associate  sales or  stocking  marketing  posting  clients  filing  increase \nliaison  problem solver  proofreading  recruitment  very organized  games  promotional  public relation', 'University': 's'}]","social media manager, social media posts, city state creating, city state assisting, sales sales sales, comeaux campaign lafayette, city state greeting, sales associate sales, sales sales associate, city state running"
./data\DIGITAL-MEDIA\11677012.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n \n \ninternational studies\n \nmay 2016\n \nnorth carolina state university\n \n  \ncity\n \n  \nstate\n \n  \nusa\nconcentration in european studies and e\n mphasis on italian studiesâ \nmember of pi beta phi fraternity for women  recruitment and philanthropy committees\nmember of national society of leadership and success\nliterary tutor with helping early literacy with practice strategies  helps  programâ \nsigma rho chi  sorority recruitment counselor\nmember of international business club\ndecember 2014\n \ninstitute for the international education of students  ies abroad \n \n  \ncity\n \n  \nstate\n \n  \nitaly\nsemester study abroad\nlanguages\nlimited working proficiency of italian language  elementary proficiency of spanish language \nskills\nexcellent customer service skills\nhigh ability to perform under stressful circumstances\nexceptional organizational skills\n \neffective problem solving skill', 'University': 's'}]","social media marketing, media marketing programs, state social media, media marketing strategies, media marketing manager, city state social, media marketing intern, marketing strategies based, social media outlets, evaluate social media"
./data\DIGITAL-MEDIA\12085736.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 's of science\n \n  \ncomputer science eastern shore\n \n  \nmay 2007\n \nuniversity of maryland\n \ncomputer science eastern shore\nsummary\n7  years of experience in strategic planning  programmatic advertising  campaign \nmanagement  performance optimization  and inventoryforecasting  \nexperience in programmatic advertising with proficiency in ad serving  dsp  ssp  dmp  ad \nexchange  and ad network platforms \nexperience in leveraging all facets of advertising operations including but not limited to \ncampaign management  advertising application management\nand detailed campaign \nanalysis  \nproficient in the use of various reporting tools and advertising platforms  \nextremely passionate and knowledgeable\nabout digital media \nhighlights\ndoubleclick  dfp certified  dcm   dbm  as well as an understanding of \nprogrammatic advertising delivery processes  including but not\nlimited to ad exchanges  demand and \nsupply side platforms  rtb  and prevailing industry standards  vast  \nvpaid  mraid  iab etc   â \napplications  proficient in basic sql  javascript  and html5 css\nskills\nad  advertising  b2b  basic  competitive  contract \nmanagement  credit  css  client  clients  customer support  client support  dbm  delivery  e \nmail  features  flash  ux  html  html5  javascript  managing  marketing  market  media plan  publisher  negotiation  newsletters \npresentations  processes  proposal  qa  receiving  reporting  sales  servers  shipping  sql  strategy  strategic  technical assistance  technical\ndocumentation  telephone  video  web development  website  workflo', 'University': 'w'}]","digital advertising consultant, city state provided, advertising campaign management, campaign management advertising, management client support, support client support, server platform worked, programmatic advertising campaign, client clients customer, clients customer support"
./data\DIGITAL-MEDIA\13328680.pdf,DIGITAL-MEDIA,[],"digital media planning, marketing market media, market media planning, city state led, city state managed, ppc digital media, markets strategy clients, members digital media, digital media solutions, digital media built"
./data\DIGITAL-MEDIA\13343786.pdf,DIGITAL-MEDIA,"[{'Degree': 'master', 'Major': 'of science\n \n  \ncurrent\n \npenn state university\n \n  \ncity\n \n  \nstate\n \nhuman resources and employment relations\nb s\n \n  \nhuman resources management\n \n12 2012\n \ncapella university\n \n  \nhuman resources management\ncertifications\nfmla specialist certification   hr certification   \nseptember 2014\naffiliations\nbenefits and compensation \ncertification   cornell university   november 2006 \naffiliations society for human resource management  shrm \nceb human resources network\nskills\naccounting  ada  adp  benefits  benefits administration  clarify  directing  documentation  employee relations  financial  hiring  hris  human\nresource  human resources  hr  insurance  lawson  managing  works  peoplesoft  personnel  policies  processes  recording  reporting  risk\nmanagement  safety  sap  statistics  strategy  vendor management  visio', 'University': 'n'}]","human resources management, human resource human, resource human resources, corporate human resources, human resources benefit, state human resources, city state human, human resources specialist, university human resources, interviews human resources"
./data\DIGITAL-MEDIA\13503650.pdf,DIGITAL-MEDIA,[],"assistant city state, city state provided, executive assistant city, managing director director, administrative assistant city, administrator city state, member alumni association, city state review, ophthalmology city state, city state answer"
./data\DIGITAL-MEDIA\13837784.pdf,DIGITAL-MEDIA,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n \n \ncommunication business\n \nuniversity of missouri\n \n  \ncity\n \n  \nstate\n \ncommunication business\nskills\naccount management  photo  budget  content  cpi  creative director  client  clients  drupal  senior management  html  internet marketing \nmanaging  marketing  excel  money  msoffice  outlook  powerpoint  word  page  seminars  strategy  websites  content writin', 'University': 'g'}]","digital media buyer, state digital media, city state digital, school directory websites, beauty school directory, paid social media, managed social media, city state communication, social media accounts, paid social campaigns"
