CV File,Category,Education,Top Skills
./data\ENGINEERING\10030015.pdf,ENGINEERING,[],"city state applied, city state responsible, state applied science, applied science electronics, applied science munitions, engineering lab technician, associates applied science, science electronics engineering, science munitions systems, city state utilized"
./data\ENGINEERING\10219099.pdf,ENGINEERING,[],"equipment engineering technician, state expedites materials, city state expedites, manufacturing equipment provide, test equipment coordinates, mechanical test equipment, equipment supports work, supervisor test equipment, test equipment troubleshooting, work orders generates"
./data\ENGINEERING\10624813.pdf,ENGINEERING,"[{'Degree': 'master', 'Major': 's project  a netless neural network   presented on\naugust 16  1989 at international conference on expert systems and neural networks   theory   applications\nb  s\n \n  \ncomputer science\n \n  \n1988\n \nunion college\n \nï¼  \ncity\n \n  \nstate\n \ncomputer science\nskills\n3d  agile  ajax  approach  b2b  budget  c  c    competitive  css  database  delivery  e commerce  expert systems  funds  hiring  html \nphp  image  inspection  java  javascript  marketing  mongodb  enterprise  network  networks  neural  oracle  pl sql  pci  perl  product\ndevelopment  profit  prototyping  public safety  python  real time 3  receiving 6  requirement  sales  soap  sql  strategic  upgrades  upgrade \nvaluation  v', 'University': 'c'}]","software engineer january, city state computer, software development january, city state software, state computer science, city state public, city state education, senior software executive, state software engineer, software development teams"
./data\ENGINEERING\10712803.pdf,ENGINEERING,[],"performed advanced troubleshooting, city state responsible, school city state, management city state, controls troubleshooting maintenance, plc control system, city state managed, process control process, city state accountable, production equipment plc"
./data\ENGINEERING\10985403.pdf,ENGINEERING,"[{'Degree': 'master', 'Major': 's\n \n  \nmechanical   aerospace engineering\n \nillinois institute of technology  iit \n \nï¼  \ncity\n \n  \nstate\n \nmechanical   aerospace engineering 3 5 4 0\nadvanced cad cam  engineering analysis  finite element analysis  advanced manufacturing\nmay 2014\nbachelor of technology\n \n  \nmechanical engineering\n \nnarsee monjee institute of management studies\n \nï¼  \ncity\n \nindia\n \nmechanical engineering 3 19 4 0\nwork history\ncompany name\ncertifications\nautodesk certified professional in autodesk inventor professional software   license   00313355   autodesk certified associate in autocad\nsoftware   license   00296190 \npublications\nparekh r   chaudhary r   ingle a   phd    reliability of dissimilar metal joints using fusion welding  a review  presented at the international\nconference on machine learning  electrical and mechanical engineering  icmleme 2014   dubai  uae \nskills\n3d  ansys  autocad  automation  automotive  cad cam  cad  catia  dec  engineering analysis  lathe  manufacturing process materials  material selection  oil  optimization  pick  prototyping  robotic  safety  simulation  solidworks  spc  statistical analysis  weldin', 'University': 'g'}]","finite element analysis, mechanical engineering intern, engineering intern company, mechanical aerospace engineering, narsee monjee institute, engineering illinois institute, technology mechanical engineering, manufacturing engineering intern, cam engineering analysis, engineering analysis finite"
./data\ENGINEERING\11890896.pdf,ENGINEERING,"[{'Degree': 'master', 'Major': 'of business administration\n \n  \ndecision sciences\n \n2007\n \nsan francisco state university\n \ncity\n \n  \nstate\ncourses  operations management  total quality systems  project management  business forecasting  supply chain management\nbachelor of science\n \n  \nmathematical engineering\n \n2004\n \nyildiz technical university \ncity\n \n  \nturkey\ncourses  mathematical analysis 1  2  3   4  linear algebra  fundamentals of mathematical logic  analytic geometry  ordinary differential\nequations 1   2  theory of probability  numerical analysis 1   2  statistics  matrix analysis  optimization techniques  insurance mathematics\nteaching experience\nvolunteer math tutor\n \n09 2015\n \nto \ncurrent\n \ncompany name\n \ncity\n \n  \nstate\ntutored students in algebra  geometry  statistics\nattended algebra classes to provide special assistance to english language learners   ells  and help them understand the content and\nexpress their grasp of mathematical concepts both orally and in writing \nvolunteer math tutor\n \n04 2015\n \nto \n05 2015\n \ncompany name\n \ncity\n \n  \nstate\nassisted students in algebra i and ii by providing volunteer teaching during flex time hours which is a class period when students visit a\nchosen class to seek help with struggles or expand on their interests \nteaching assistant\n \n09 2005\n \nto \n05 2007\n \ncompany name\n \ncity\n \n  \nstate\nedited several business forecasting and operations management thesis papers for journal publications \ngraded exam papers and evaluated operations management and total quality systems class assignments \nassisted in operations analysis  statistics and mathematics related work as assigned \nmathematics and statistics tutor\n \n09 2005\n \nto \n09 2006\n \ncompany name\n \ncity\n \n  \nstate\ntutored students in mathematics  statistics and probability  estimation  hypothesis tests  regression analysis  and correlation  quantitative\nanalysis of production management and control with related computer applications and optimization techniques  inventory control  demand\nforecasting \ncorporate experienceoperational excellence lead  google express\n \n11 2004\n \nto \n04 2005\n \ncompany name\n \ncity\n \n  \nstate\nanalyzed data using statistical analysis tools such as correlation and multiple regression analysis \nreviewed results and provided recommendations on system improvements  courier performance efficiency and capacity planning using\nvarious optimization and data analysis techniques \nidentified operational areas that needed process and speed improvement to deliver orders faster \nconsultant\n \n01 2013\n \nto \n02 2014\n \ncompany name\n \ncity\n \n  \nstate\nsupported the 77looks application from pre launch to current in marketing  content management  quality testing areas  application won sf\nfashion tech pitch competition in june 2013 and company has reached approximately 1m active users \noperations manager\n \n10 2011\n \nto \n01 2013\n \ncompany name\n \ncity\n \n  \nstate\nsupervised a team of logistics analysts and warehouse staff in global warehouses \ndefined the scope of key performance indicator  kpi  reports and analytical tools needed which helped decrease operational errors by\nmore than 80  \nturned large data sets into actionable items in the form of order forecast reports  optimization tools and inventory reconciliation reports \nsenior analyst \n10 2010\n \nto \n10 2011\n \ncompany name\n \ncity\n \n  \nstate\nsupported global operations by ensuring warehouse productivity  inventory accuracy  timeliness of order fulfillment and shipments \ndocumented standard operating procedure sops  and work flow processes for the use of operations and customer support teams \naccount manager and logistics analyst\n \n07 2007\n \nto \n10 2010\n \ncompany name\n \ncity\n \n  \nstate\nmanaged customer accounts in different industries to ensure on time delivery of shipments for import and export operations \nsupervised and trained new users for procurement and warehouse management system \nskills\ntutoring  teaching  mathematics  algebra  geometry  english  content management  documentation  middle school   high school math \ncollege math  presentation  analysis  grading and evaluation  problem solving  esl students  technology integration  classroom monitoring \nstudent assistance\naccount management  customer care and satisfaction  data analysis  forecasting  inventory  quantitative analysis  leadership  operations\nmanagement  procurement  project management  optimization\nc  c    ms office suite  google docs  sq', 'University': 'l'}]","city state tutored, city state supported, state tutored students, city state assisted, state university city, university city state, city state supervised, city state edited, city state analyzed, city state managed"
./data\ENGINEERING\11981094.pdf,ENGINEERING,"[{'Degree': 'master', 'Major': 'facilities right sized  and released deliverables for\nnexio software suite 6 0  7 0  8 0 and global proxy suite 2 5  3 0  3 5 \nteam handles vendor communications for codec level customer issues  and team migrated source revision control to mercurial  jenkins \n30  products \npublished functional  rest api  and uri specification document for hercules web service  and 10 json protocol api documents for 3rd\nparty and in house use \nselected hands on projects include  service oriented architecture  initiated  architected and executed soa from concept to completion to\nfacilitate centralized web client opportunities  and 24 7 service models  and team delivered 2 web services  10 services  5 desktop clients \nand 3 web client pages for essential functions including media playback  metadata access  proxy management  and two domain content\nmanagement \nhercules web service for web player solution based off mpeg dash  created complete backend c   engine to process uri  provide\ndynamic html5 player page  javascript source based off dash js  handle  ready to go  and  just in time  sources  and deliver segmented\nmp4 atoms  h 264  aac   and team helped with providing c  web service framework  cli bridge layer  and device testing \njson services on tcp stack using c   as part of soa  created header only parser on top of  rapid json  for sax style reader  multi \nthreaded server side api framework classes for request response and notification methods  developed new services content manager  and\npicon  evolved encoder  gprx  helios  mb  scavenger  and transcoder as services  and guided helper  and requestor to completion \ncontent manager service for primary backup workflows  architected and developed rules based  dynamic  multi threaded c   engine to\nmanage media contents  and metadata updates between two domains \nscavenger  transcoder for proxy media  proposed new method  teamed up  and successfully wrote two new 24 7 products to replace\nescalated legacy products that required regular hand holding \nmediabase dll  desktop explorer  guided to optimize for 200k ids to meet storage scalability  and achieved interactive ui performance\nfor all conditions regardless of user operation \ndta handler architecture in ftp server  proposed to introduce single handler to help consolidate all formats as one product build  and\nscalability  and team added one converter dll per container for import and export \n11 2005\n \nto \n08 2009\nsoftware engineering manager\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ndevelopment and team management  nexio editing applications  \nhired  mentored and built core editing team to size of 8 from naperville  collaborated with expanded team in beijing  8 indirect   teamed up\nto develop server integration modules for video broadcast workflows  and released deliverables for video editing suite 2 5 \nestablished development process document for consistent procedures and peer code review guidelines  and team established crash dump\nanalysis procedures to help troubleshoot hard to repeat issues \n08 1997\n \nto \n10 2005\nprincipal software engineer\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nharris corporation acquired leitch  architected  designed  and implemented fundamental dll components for evolution of video editing\nproduct  and selected major projects include  c    win32  threads  codec sdk  driver sdk  mfc   interactive playback architecture\nvideo and audio rendering engines scalable decoder and encoder components hardware integration modules  critical part of business\nsuccess in post production space  interactive picon and waveform drawing components \n08 1994\n \nto \n07 1997\nsoftware engineer\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ndps acquired star media  leitch acquired dps in 2000  \nstar media  technology startup  created video editing software velocity for post production space  and developed projects include project\nmedia management tools  render bank  and video effects \neducation\nm s\n \n  \ncomputer science\n \nillinois institute of technology\n \nï¼  \ncity\n \n  \nstate\n \ncomputer scienceb e\n \n  \nelectronics and communication engineering\n \nnational institute of technology\n \nï¼  \ncity\n \nindia\n \nelectronics and communication engineering\nskills\napi  atl  audio  backup  broadcast  c    cli  hardware  concept  content management  content  client  clients  documentation  dynamic\nhtml5  editing  xml  ftp  functional  drawing  http  ids  explorer  javascript  json  lan  mb  access  c   mfc  win  windows  2000 \nnas  oop  page  proxy  rendering  san  scrum  servers  specification  team management  threads  troubleshoot  video  video editing  visual\nc', 'University': ''}]","software engineering manager, team management nexio, engineering manager company, hercules web service, software engineer company, services web services, video broadcast workflows, video video editing, json services web, services content manager"
./data\ENGINEERING\12011623.pdf,ENGINEERING,"[{'Degree': 'master', 'Major': 'of science\n \n  \nanalytics\n \nuniversity of new hampshire\n \nusa\n \nanalytics 4 0 4 0 currently working on a project on mapping and clustering of\nstudent success using clustering  data mining and machine learning predictive modeling techniques for granite state college  gsc   the objective\nof this project is identifying factors which will help students become successful in their academic achievements and finding ways to improve\nstudents  retention rates  \n working on unh hockey team project with a team of 6 people for predicting players  performance   undertaken a\nsummer project on  mapping and clustering of chicago and seattle city crime  and we could successfully classify categories with a 90  accuracy \nyitayew  anteneh  workineh\ngraduate student in\n \nï¼  \ncity\n \n  \nstate\napril 2010\nmaster of science\n \n  \nenvironmental science and technology\n \nunesco ihe\n \nï¼  \ncity\n \nthe netherlands\n \nenvironmental science and technology\njuly 2004\nbachelor of science\n \n  \nresource management\n \ndebub university\n \nethiopia\n \nresource management\nskills\nasp net 4 5  academic  clustering  consulting  curriculum development  customer satisfaction  data analysis  data mining  data warehouse \ndatabases  database  database design  database management  data warehousing  environmental protection  environmental science  gis  html \ninstructor  lecturer  legal  machine learning  managing  materials  meetings  c   microsoft sql  modeling  natural  oracle  process development\nand engineering  processes  progress  python  quality  researching  research  sas  shipping  spss  sql  statistics  tableau  teaching  technical\nsupport  workshop', 'University': 's'}]","data analysis data, natural resource management, database management data, data mining data, science environmental science, science resource management, management data warehousing, data warehousing environmental, databases database database, data analysis methods"
./data\ENGINEERING\12022566.pdf,ENGINEERING,"[{'Degree': 'master', 'Major': 'of science \n  \nindustrial engineering \ndec 2014 \nuniversity at buffalo  the state university of new york \ngpa  \n3 35 4 0 \n3 35 4 0 industrial\nengineering design and analysis of experiments  supply chain modelling and optimization  production planning and control  six sigma quality \nfacility design  quality assurance  sustainable manufacturing  lean manufacturing  computer integrated manufacturing  project management \nbachelor of engineering \n  \nchemical engineering \naug 2011 \nuniversity of mumbai \nï¼  \ncity\n \n  \nindia \nchemical engineering instrumentation and process\ncontrol  reaction kinetics  transport phenomena  environmental engineering  heat transfer operations  mass transfer operations  chemical\nengineering thermodynamics \nskills\nauto cad  c  c    clients  hazop  iso 9001  logic  microsoft office  works  minitab  optimization  plc  pro e  profit  project\nmanagement  quality  quality assurance  receiving  research  scheduling  six sigma  statistical process control  strategic planning  supply\nchain  visual basics', 'University': ''}]","statistical process control, process control process, supply chain management, control process capability, minimum process variability, quality supply chain, planning supply chain, effective analysis fmea, cost supply chain, supply chain visual"
./data\ENGINEERING\12472574.pdf,ENGINEERING,[],"software quality assurance, care service applications, customer care service, performed automated test, automated test cases, black box testing, test data encryption, system performs data, box testing techniques, test plans test"
