CV File,Category,Education,Top Skills
./data\FINANCE\10549585.pdf,FINANCE,"[{'Degree': 'master', 'Major': 'of science\n \n  \ninformation systems \n  \n2016\n \nbowie state university\n \nï¼  \ncity\n \n  \nstate\n4\n  0 gpa\nbachelor of science\n \n  \ninformation systems\n \n  \n2001\n \nuniversity of maryland  university college\n \nï¼  \ncity\n \n  \nstate\ncoursework in software engineering and hardware systems\ncoursework in distributed computing  networks and databases\nskills\nadministrative  backup  cash flow  coaching  hardware  client  client relations  customer satisfaction  customer service  documentation  help desk \nhubs  inventory  marketing  merchandising  network  policies  pos  printers  procurement  quality  quality improvement  retail  retail sales  routers \nsales  servers  staff development  strategic plans  switches  user support  employee trainin', 'University': 'g'}]","science information systems, manager operations manager, systems development systems, finance manager operations, customer satisfaction customer, communication skills customer, management information systems, technical skills skills, systems applications systems, systems implementation systems"
./data\FINANCE\11441764.pdf,FINANCE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n \n \naccounting\n \n \n \n2006\n \nuniversity of phoenix\n \nï¼  \ncity\n \n  \nstate\n \nmaster of business administration\n \n \n \nbusiness\n \n \n \n2010\n \nuniversity of phoenix\n \nï¼  \ncity\n \n  \nstate\nalso attended wright state university  sinclair community college and columbus state prior to finishing ba\nskills\naccount reconciliation  accounting  accounts receivable  go live  streamline  adp  as400  ba  balance sheet  billing  budget preparation  budget \nbusiness process  closing  contracts  controller  credit  documentation  financials  financial  financial reporting  forecasting  great plains  hr \ninventory  jd edwards  logistics  mas90  meetings  access  excel  ms office  payroll  personnel  policies  processes  procurement  purchasing \nquickbooks  sales  sap  sarbanes oxley  sas  sbt  sql  supply chain  trend  written  annual reports  year en', 'University': 'd'}]","year end audit, financials financial financial, city state provide, city state maintained, city state restructured, city state master, financial financial reporting, state provide financial, documentation financials financial, reports year end"
./data\FINANCE\11490673.pdf,FINANCE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nbusiness administration human resource management\n \nwestern international university\n \ngpa  \ncum laude\ncum laudeaccounting certificate \ngeorge mason university\naccounting honors society 2010\nskills\naccounting  accounts payable  accounts receivable  administrative  a p  approach  balance sheet  bank reconciliation  budgets  cash flow \ncontracts  customer service  database  financials  financial  financial statement preparation  preparation of financial statements  fsa  hiring  human\nresource management  human resource  inventory  inventory levels  inventory control  director  management reporting  marketing  medical billing \npayroll  performance management  policies  pricing  product management  reporting  research  sales  sales reporting  tax  variance analysi', 'University': 's'}]","human resource management, financial statement preparation, human resource functions, financials financial financial, accounts payable accounts, resource management human, management human resource, human resource inventory, financial financial statement, resource inventory inventory"
./data\FINANCE\11877150.pdf,FINANCE,[],"penghasilan terakhir job, terakhir job deskripsi, school city state, city state high, business city state, city state analyzed, finance penghasilan terakhir, high school city, city state proposed, city state certifications"
./data\FINANCE\12071138.pdf,FINANCE,"[{'Degree': 'master', 'Major': 's\n \n  \nbusiness administration\n \nsouthern new hampshire university  new hampshire college graduate school of business \nbusiness administration\nb s\n \n  \noffice administration accounting\n \nsouthern new hampshire university  new hampshire college \n \ngpa  \nwith honors\n \nwith\nhonors office administration accounting\nwork history\ncompany nam', 'University': 'e'}]","city state prepared, prepare financial statements, finance financial financial, financial audits financial, financial financial analysis, financial analysis financial, consolidated financial statements, provided financial analysis, investment manager statements, financial reporting investment"
./data\FINANCE\12858898.pdf,FINANCE,[],"finance strategic management, city state directed, mba finance strategic, daily finance support, bemidji state university, forecast finance manager, city state managed, sheet forecast finance, city state completed, process improvement strategic"
./data\FINANCE\14106638.pdf,FINANCE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \naccountancy\n \n1997\n \nmiami university\n \ncity\n \n  \nstate\neconomics minor\ncum laude\ncredentials\ncpa  state of ohio license  42088 â  â  â  â  â  â  â  â  â  â  â  â  â  â  dec 2003 to dec 2017\ncgma  american institute of certified public accountants â  â  â  â  â  â  â â  dec 2014\nfhfma  healthcare financial management association â  â  â  â  â  â  â  â  â â  april 2013\nchfp â healthcare financial management association â  â  â  â  â  â  â  â  â  â â  april 2013\nactivities and honors\nuptown consortium  cincinnati â audit committee member 2017\nuptown consortium  cincinnati â finance committee member 2008   2017\nuptown consortium  cincinnati â executive committee member 2016  2017â \nhealthcare financial management association  national large system controller councilâ \nhealthcare financial management association  southwest ohio chapter  board director 2010\nhealthcare financial management association  southwest ohio chapter treasurer  2011  2012\namerican institute of certified public accountantsâ \nohio society of certified public accountants\nspeaker for healthcare financial management association and american healthcare lawyers association\nâ  \nâ \nâ', 'University': ''}]","financial management association, healthcare financial management, health system managed, city state responsible, accounting financial reporting, payable accounting financial, acute care hospitals, president corporate finance, multiple benefit plans, acute care facility"
./data\FINANCE\14181049.pdf,FINANCE,"[{'Degree': 'master', 'Major': 'of business administration\n \n  \nfinance\n \n  \n2016\n \nuniversity of massachusetts\n \nï¼  \ncity\n \n  \nstate\n \nfinance\nbachelor of science\n \n  \naccounting\n \nmichigan state university\n \nï¼  \ncity\n \n  \nstate\n \naccounting\nskills\n3com  4d  accounting  accpac  acquisitions  billing system  billing systems  budget  business objects  closing  consulting  contract review \ncontroller  cost analysis  cost control  costing  clients  data warehouse  database  driving  equity  erp  essbase  excel and vba  executive\nmanagement  senior management  filemaker  finance  financial  financial planning  financial reporting  financial analysis   reporting  focus \nforecasting  functional  government  hyperion  inventory  lawson  team building  leadership  legal  regulatory compliance  mergers  ms\naccess  ms excel  ms powerpoint  ms word  minitab  modeling  monarch  enterprise  network  networking  networks  next  operations\nmanagement  oracle  payroll  peoplesoft  pricing  process design  processes  process improvement  improve product  producing  project\nmanagement  proposal  quickbooks  real time  reporting  rfp  sage  sales  sap  sql  strategic  sun  supply chain  tax laws  tax \ntelecommunications  wordperfec', 'University': 't'}]","financial analysis reporting, city state finance, executive management team, global finance team, finance director company, analysis senior finance, finance financial financial, city state accounting, management team major, system billing systems"
./data\FINANCE\14408510.pdf,FINANCE,"[{'Degree': 'master', 'Major': 'data specialist\naccurately created customer master data records and sales hierarchies in sap \nserved as subject matter expert on warehouse direct  wd  accounts  addressing escalated issues and answering questions from the\nbusiness regarding wd processes \ninvolved in sharepoint project which reduced the wd account create and change work flow process time by half \n12 2008\n \n  \n02 2012\ncompany name\n \nï¼  \ncity\n \n  \nstate\n \nfinancial analyst\nworked closely with pharmaceutical client cfo and controller generating reports and reconciliations to assist in cash flow forecasting \nperformed reconciliations utilizing excel techniques including v lookups and pivot tables \nconsistently managed and completed month end close process within five business days \nprocessed client approved write offs  accruals  journal entries and posted transactions to the general ledger \nassisted account analysts in collection of past due open accounts receivables \nparticipated in the recommendation  development  testing and implementation of department automated ar reconciliation tool  which\nsignificantly reduced the manual matching work performed by the department financial analysts \nreceived several recognition awards for commitment to teamwork  initiative  process improvements and customer service \n08 2006\n \n  \n07 2008\ncompany name\n \nï¼  \ncity\n \n  \nstate\n \nfinancial analyst\nmaintained and accurately loaded multi million dollar marketing budgets and forecasts into the marketing funds sub ledger \nsupported brand marketing managers by providing analysis and weekly reporting on marketing spend actual results versus forecast in sap\nand marketing funds \nmet quarterly with brand managers to ensure activity based spend was in line with forecasted budget \nassisted finance manager with period end and yearly close functions \ndocumented and tracked all forecast changes between brands and programs in the marketing funds system and access database \nquarterly reconciling budget dollars within the two systems \nassumed lead role for reporting inventory status to brand managers and assisting in the resale of overstock items  analysis   researched\nvariances \ncoordinated annual accrual process \naudited payment requests in excess of 75k for correct general ledger coding and adherence to gaap guidelines \n02 2000\n \n  \n08 2006\ncompany name\n \nï¼  \ncity\n \n  \nstate\n \ntrade promotion specialist\naccounting pre audited and processed trade marketing and bottler coop reimbursements to conform to gaap guidelines \nanalyzed and adjusted trade budgets to actual to facilitate year end close process \nprepared period and year end close journal entries for multiple general ledger and cost center combinations \ncreated customized reconciliation forms and reports  using excel techniques including macros  v lookups  and pivot tables \nled and executed department training  trained new hires on marketing funds system  sap and reconciling procedures \nparticipated in the development  testing and documenting of department reconciling tool \noversaw department records retention retrieval system  received  what outstanding work   wow  award for initiative and independent\neffort \nreceived  shooting star  award for individual contribution to team s overall successful accomplishments \neducation\n2016\ncolumbia southern university\n \ncity\n \n  \nstate\n \nb s\n \n  \nbusiness administration finance\n \nbusiness administration finance\nskills\naccounting  accounts payable  accounts receivables  accruals  accrual  ar  as400  auditing  baan  brand marketing  budgets  budget  cash flow \ncom  controller  crm  client  customer service  data management and analysis  drivers  erp  finance  financial  forecasting  forms  functional funds  general ledger  inventory  ledger  macros  mainframe  managing  marketing  access  access database  microsoft excel  excel  ms\noutlook  powerpoint  sharepoint  word  month end close process  pivot tables  processes  coding  promotion  reconciling  reporting \nresearching  sales  sap  siebel  simulation  six sigma  teamwork  year en', 'University': 'd'}]","marketing funds system, end close process, city state financial, year end close, state financial analyst, month end close, business administration finance, sap marketing funds, funds general ledger, city state finance"
./data\FINANCE\14413148.pdf,FINANCE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \naccounting\n \n  \n1966\n \nuniversity of albuquerque\n \nï¼  \ncity\n \n  \nstate\n \ngpa  \ngraduated cum laude\n \naccounting graduated cum\nlaude\nskills\naccounting  general accounting  accounts payable  accounts receivable  auditing  budgets  budget  contracts  controller  cpa  financial \ngovernment  grants  home office  director  managing  materials  office  negotiation  negotiator  osi  payroll  personnel  prime  proposals \nproposal  proposal preparation  purchasing  reporting  sales  supervisor  supervision\nprofessional affiliations\namerican legion department of nevada children   youth chairman  developed and implemented hear today learn tomorrow program for\namerican legion children and youth program that supports families help obtain hearing aids for hearing impaired children  nevada american\nlegion representative to national children   youth committee  memberships american legion department of nevada hear today learn\ntomorrow program chairman  associate member of american bar association  aba until 2002', 'University': ''}]","city state performed, american legion department, accounts payable payroll, city state auditing, home office allocations, city state responsibilities, corporate home office, accounting controller january, city state responsible, city state approved"
