CV File,Category,Education,Top Skills
./data\FITNESS\10235429.pdf,FITNESS,"[{'Degree': 'master', 'Major': 's sommelier  level\none certificatio', 'University': 'n'}]","city state developed, city state responsible, city state interfaced, distributor management sales, city state teach, city state founder, city state successfully, city state proficiently, city state instrumental, city state memory"
./data\FITNESS\10268614.pdf,FITNESS,"[{'Degree': 'master', 'Major': 's degree seeking a career position in the healthcare field  goal oriented and high achieving professional\nwith advanced knowledge and skills in nutrition  hi\n ghly effective at evaluating the nutritional needs of both adults and children with various\ndiseases â self starter  energetic  enthusiastic and dependable individual with outstanding leadership and management skills  a creative and\norganized key team player with strong interpersonal and communication skills â \nhighlights\ngenetic nutritionâ \n background\nadult  adolescent and child nutrition\nuse ofâ \n \nanthropometric measurements\neffectively influences other\nproficient speaker of arabicâ and english\nmicrosoft word  excel  powerpoint\nteam leadership\nconfident public speaker\naccomplishments\ncompletionâ of masters  thesis  the effect of curcumin to help reduce the risk and developmentâ of type 2 diabetes on a genetic levelâ \ngranted the key player award of the year on outstanding performance as a fitness attendant\ntraining and supervision of new employeesâ \nelected from vp of finance to president of a graduate club at university of new haven due to excellence in leadership and\nmanagementâ skills\nour club esm was granted trailblazer graduate club of the year award\nassessed and helped almost 5 000 patients with their nutrition and eating habits â resulting in a high percent success and a\ntangibleâ positive feedback\nrequested personally by pediatricians due to professionalism in nutritional knowledge and communication skills\npresented nutrition lecture for 300 elementary students at the american school in jordan \nrepresented nutrition as a career to senior students on career day at the american school in jordan \nexperience\nfitness attendant \nmarch 2014\n \nto \nmay 2015\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nsupervised and\n â guided members in safe exercise and use of machines\ncontributed to the operation of a clean  friendly and well maintainedâ recreation center\nencouraged and motivated members to attend group fitness classes\ncontributed in selecting  interviewing and trainingâ of new employees\nwork evaluation improved from 3 36 4 to 3 79 4\nnutritionist \njuly 2012\n \nto \njuly 2013\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nassessed almost 5 000 patients  overall physical health with body composition scale measurements andâ \n \nin body machine \nrecommended appropriate feeding schedules and methods to meet nutritional needsâ \n in line with patients  age  gender  diagnosis  cultural\nbackground and religious practices \nencouraged patients and caregivers to follow recommended food guidelines for well balanced diets \nconsulted regularly with physicians on patients  weight and r\n ecommended specialized laboratory tests to assess and monitor nutritional\nstatus\ncounseled more than 800 postpartum patients regarding special dietary needs to enhance recovery andâ \n \nefficient breastfeeding\ncoordinated successful school and other public events to increase health awareness and marketing of nutrition supplements\nemphasized nutrition supplements  features to pharmacists to increase awareness and sales of product\ntrainee in food services and in healthy and therapeutic nutrition\n \nfebruary 2012\n \nto \nmarch 2012\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nmanage tray line  checking and setting up trays to ensure patient food orders are correct according to their dietary need and disease status\nutilize sanitation procedures at all times with food interaction and handling\nwork with specialized diets  kidney dialysis patients\nscreen all newly admitted patients for nutrition concerns\ndaily round on patients for nutrition concerns and risks\nprovide special diet menu options for inpatientsâ \neducation\nmaster of science\n \n  \nhuman nutrition\n \n  \n2015\n \nuniversity of new haven\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\nminor in nutritional genomics\nthesis submitted in partial fulfillment \nof requirements for degreeâ 3 8 gpa\nbachelor of science\n \n  \nhuman nutrition and dietetics\n \n  \n2012\n \nuniversity of jordan\n \nï¼  \ncity\n \n  \njordan\n \n3 02 gpa\norganizations\npresident  engineering smart management  esm \n â  â  â  â  â  â  â  â jan 2015   june 2015â \nrepresented the organization with setting a leadership role model\nmonitor e board duties and delegated authoritiesâ \nplanned  organized and managed clubs events with e board members\nactive member of the graduate student council\nestablish meetings guidelines and agendas on weekly basis\nvp of finance  engineering smart management esm \n \nâ  â  â  â  â sept 2014   jan 2015\ncreated annual budget for the academic yearâ \nprocessed funds  payments  and all financial paperwork\nreported all receipts and expenditures on monthly basis\ngranted trailblazer graduate club of the year award for outstanding and successful events\nvolunteered in feeding children everywhere  packaged 2 150 meals  ct  june 2015 â  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â \nâ  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â  â â \nprofessional development\nfourthâ arab conference for nutrition  jordan  april 2011\nconference on updates in nutritional management of diabetics and elderly  jordan  november 2011\ntoday scientific comprehensive health  natural right of every human being   jordan  february 2012\ncompleted creating smarter lunchrooms an online program by cornell university  usa  january 2014\nwomen s leadership conference  university of new haven  usa  october 2014\ncertifications\nfirst aid  cpr aed  current', 'University': ''}]","science human nutrition, trailblazer graduate club, smart management esm, granted trailblazer graduate, jordan represented nutrition, engineering smart management, nutrition jordan april, city state usa, skills presented nutrition, city state assessed"
./data\FITNESS\10333051.pdf,FITNESS,"[{'Degree': 'master', 'Major': 'of science\n \n  \nnursing master of business administration\n \nuniversity of phoenix\n \nacademic achievement master of science in\nnursing master of business administration  healthcare university of phoenix\nbachelor of science\n \n  \nnursing\n \nvalparaiso university\n \nbachelor of science in nursing valparaiso university\nbachelor of science\n \n  \nexercise science\n \nball state university\n \nbachelor of science in exercise science ball state university\ncertifications awards memberships â ª rn licenses in az  pa  fl  mo â ª licensed healthcare risk manager â ª bls acls â ª ceo\nservice award  2009\ncertifications\nlicensed healthcare risk manager rn cpr bls acls\naffiliations\nof the enterprise team for improvement  integration  and training of the emr system\nskills\nasc  qa  emr  pharmacy  infection control  metrics  risk management  satisfaction  staffing  trading  training  auditing  instrumentation \nintegration  integrator  medical device  operations  process improvement  quality assurance  rn  icu  critical care  icp  titration  radiation\nsafety  rn   scheduling  team lead  cpr  instructor  million  increase  medical assistant  cardiac  cardiovascular  model view presenter  mvp \nhealthcare  acls  awar', 'University': 'd'}]","management patient safety, risk management patient, control risk management, infection control risk, science ball state, nursing valparaiso university, ensure patient safety, quality improvement quality, ball state university, metrics patient safety"
./data\FITNESS\10428916.pdf,FITNESS,"[{'Degree': 'bachelor', 'Major': 'of science\n \n \n \nkinesiology\n \n2012\n \neast carolina university\n \n  \ncity\n \n  \nstate\nskills\nmicrosoft office programs\nbudget allocation\ngood interpersonal skills that can help in building a strong team for the growth of the organization \nability to handle different projects for the organization effectively \nâ', 'University': ''}]","city state health, city state recreation, city state facility, recreation sports coordinator, university city state, city state skills, city state senior, state recreation sports, state senior health, health fitness specialist"
./data\FITNESS\10568350.pdf,FITNESS,[],"provided professional friendly, service skillfully promoted, engaging service skillfully, displayed friendly outgoing, high customer service, city state maintained, city state skills, skillfully promoted items, consistently provided professional, city state consistently"
./data\FITNESS\10816645.pdf,FITNESS,"[{'Degree': 'bachelor', 'Major': 's degree\n \n  \npsychology  government\n \ndecember 2011\n \nuniversity of tampa\n \npsychology  government healthy lifestyle principles\nfoundations of strength and conditioning \ncpr  first aid  aed les mills bodypump guardian ad litem volunteer and advocacy training\nskills\nad  cpr  first aid  guardian  health education  presentations  relationship building  seminars  staffin', 'University': 'g'}]","group fitness program, group fitness coordinator, experience group fitness, group fitness classes, fitness program developed, professional experience group, fitness coordinator professional, fitness related events, maintained fitness classes, fitness exercise principles"
./data\FITNESS\10969918.pdf,FITNESS,[],"patients ensure patient, state skills patient, ensure patient safety, support patient activities, stress patient care, patient focused care, prepared patient rooms, patient rooms prior, patient rooms changed, patient activities training"
./data\FITNESS\11130200.pdf,FITNESS,[],"perform daily job, daily job duties, filled job orders, construction job site, job site construction, selected loaded moved, work timing cycle, city state warehouse, appropriated storage locations, maintained accurate records"
./data\FITNESS\11332602.pdf,FITNESS,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nbusiness administration\n \ncity\n \n  \nstate\nbusiness administration concentration in marketing  and sales management \nskills\nacquisitions  advertising  budgeting  \nbusiness operations  customer service  data analysis  decision making  delivery  financial  general\nmanager  \ndirector  employee management  marketing  microsoft excel  office  power point  payroll  problem solving  safety  sales  seminars \nstrategic marketing  strategic planning', 'University': ''}]","general manager city, manager city state, driver city state, assist general manager, company general managers, sales marketing advertising, generate sales reports, service general manager, employee general manager, city state business"
./data\FITNESS\11522068.pdf,FITNESS,[],"group fitness instructor, full time student, fitness instructor march, teaching time management, collin college full, fitness instructor executive, college full time, serving texas tech, texas tech languages, centennial high school"
