CV File,Category,Education,Top Skills
./data\HEALTHCARE\10062724.pdf,HEALTHCARE,"[{'Degree': 'master', 'Major': 'of social work\ngraduated with honors\ncalifornia state university  northridge\n \ncity\n \n  \nstate\n \nbachelor of arts\n \n  \npsychology\ngraduated with honors  member of psi chi  golden key national honor society  tau alpha epsilon honor society\naccomplishments\nclinical\nestablished and operated private practice for 10 years\ndocumentation\ndocumentation influenced creation  design  and reporting fields of patient charting system\ncreated  implemented system of documentation that resulted in 95  quality assurance scores for several consecutive years\nquality\nstandardized chart documentation\ndeveloped telephonic  documentation  performanceâ indicators\n training\nwrote training manual and organized resource material\ndeveloped curriculum  taught  and modeled desired skill outcome\nprovided electronic medical record navigation and documentation training  \nâ marketing\nincreased referrals via physician liaison program  elder law attorneys  primary care physicians  psychiatry and addiction medicine\nproviders  law enforcement  eap providers  community\nworkflow planning\nimplemented new work processesâ which increased efficiencies and productivity\ncomputer skills\nproficient  epic  word  lotus  interqual  nice  symposium  foundations  azz cardfile\nfamiliar  excel  powerpoint  visio\nexperience\n07 2002\n \n  \ncurrentcompany name\n \n  \ncity\n \n  \nstate\n \nbehavioral healthcare help line and psychiatric emergency team supervisor\nclinical supervisor ofâ 24 7 365 psychiatricâ crisis call centerâ andâ psychiatric emergency team  interim supervisor to utilization management\nand bed finding departments within a largeâ care coordination center  hired  counseled  terminated staff  recorded  tracked \ndevelopedâ performance indicators and performanceâ criteria for evaluations  wrote and updated protocols â policy and procedures  quality\nreview indicators  training manual  meeting minutes  businessâ reports  influenced development and re designâ of electronic charting and reporting\nfields  organized and led new hire  clinical â frequent caller  computer  staff meetings trainings  andâ holiday  retirement  social work\nmonthâ celebrations â performed web basedâ in service work stoppageâ training toâ physicians  managersâ and successfully staffed\ntheâ crisis line for 48 consecutiveâ hours with no abandoned calls â developed frequent caller treatment plan template for coordination and\ncontinuity of care  participated and presentedâ statistical dataâ atâ regional department administrators and regional southern california quality\nassurance meetings  implemented interdepartmental cross training which increased efficiencies  productivity  staff development  and morale \nrecorded  tracked  ensuredâ staffâ license renewals  ceus  mandatedâ organizational classes were completed by due dates  completed bi \nmonthly payroll and managed all leaves  completed staff scheduling every 6 weeks  decreased tardiness  responded to all it concerns  reviewed \nresearched  responded to all critical incidents and complaints  developed work flows that decreased time members spent in non plan edsâ with\nattention to high qualityâ care and cost containment  answered crisis calls when short staffed  and â shared on call responsibilities \n03 1998\n \n  \n07 2002\ncompany name\n \n  \ncity\n \n  \nstate\n \nlicensed clinical social worker care coordinator\nperformed biopsychosocial telephonic assessments  crisis intervention â and or consultation for members  employees  purchaser groups \nemployee assistance professionals  \nmanagement  law enforcement  and emergency department physicians  determined appropriate levels of care \nrepatriated or case managedâ members in non plan hospitals  advocated for members needing psychiatric and or addiction medicine\ntreatment â care coordinated with the member s treatment team  trained new staff â worked collaboratively on interdepartmental team and\ndeveloped work flows  procedures  and protocols thatâ increased efficiencies  productivity  role clarity  developed documentation\nstandards â influenced the creation and developmentâ of departmental electronic database for charting case notes \n04 1996\n \n  \n03 1998\ncompany name\n \n  \ncity\n \n  \nstate\n \nsenior care network  clinical social worker\nfield based case management for disabled adults with chronic mental illness and older adults with co occurring disorders â completedâ in home\nassessments and monthly monitoring  client and family counseling  education  and community referrals  per attorney request  evaluated  wrote\nreport  testified in court  became expert witness  for probate conservatorship hearings  marketed and managed the physician liaison program \nlead weekly caregiver support group  underwrote long term care insurance assessments and benefit determination evaluations  became community\nresource specialist \n05 1992\n \n  \n08 1996\ncompany name\n \n  \ncity\n \n  \nstate\n \nbehavioral science faculty  family practice residency program\nsocial work associate in community medical clinic  interviewed prospective residents  developed curriculum  taught  and evaluated performance\nof family practice residents and medical students on the substance abuse and psychiatry rotations  conducted lectures  presentationsâ inâ class \n brown bag lunches   and off site meetings  set up internal and external training sites and ensured learning objectives were met  education was\nfocused onâ risk  substance abuse  andâ biopsychosocial assessments  active listening  interviewing skills  dsm diagnoses while on rounds \nduring home visits  and co led therapy sessions â instilled confidence by demonstrating attunement to patient and self  assessment  treatment\nplanning  rapport buildingâ skills  and provided after visit summarization feedback â strengthened teamwork and resident and faculty relationships\nby incorporating team building activities into staff meetings â liaison to residentsâ who needed psychiatric or healthâ services â provided\nshort long termâ individual  couple  family therapy on complicated cases and provided feedback toâ the resident  and was a preceptor to other\nmsw students  \n10 1991\n \n  \n10 2001\ncompany name\n \n  \ncity\n \n  \nstate\n \npsychotherapist\nindividual  couple  family therapy with children  adolescents  adults  and older adults  presenting problems were  depression  anxiety  panic attacks \ninsomnia  psychosis  explosive rage â adoption â foster care  grief and loss  truancy  trauma  self harm  substance abuse addiction  gender\ndysphoria  domestic violence  homelessness â  parenting concerns  care giver burn out  and school work stress  clientele  ethnically  culturally \nracially  and socioeconomically diverse \n10 1990\n \n  \n10 1991\ncompany name\n \n  \ncity\n \n  \nstate\n \nemployee assistance program mental health center  msw intern social work associate\nconsultation provided to managers  employees  human resources regarding work place problems  crisis intervention  short and long term\ntherapyâ  provided to contract and companyâ employees  their families  and the community â taught series of classes on stress management and\nmemory retention  featured speakerâ at aâ  drugs in the workplace  seminar  and taught substance abuse related classes and lead couples\ngroup therapy with addicts and co addicts in an outpatient chemical dependency recovery program  clientele  racially  ethnically  culturally  and\nsocioeconomically diverse 09 1989\n \n  \n05 1990\ncompany name\n \n  \ncity\n \n  \nstate\n \nmsw intern\ndirect services provided in community mental health setting  conducted biopsychosocial assessments  short and long termâ individual  couple \nfamily therapy  led group therapy with adults  provided crisis intervention  case management  community referrals  client presenting problems were \nchild physical  emotional  sexual abuse trauma â and difficult transitions to foster care  depression  anxiety â phobias  â adhd â pervasive\ndevelopmental disorders  teen truancy  gang activity â pregnancy  and substance abuse addiction  adults with parentingâ problems  victims of\ndomestic violence  unemployment  co occurring disorders  grief and loss  panic attacks â andâ chronic mental illness  clientele  ethnically  racially \nculturally diverse  mostly low to middle income \n08 1987\n \n  \n08 1989\ncompany name\n \n  \ncity\n \n  \nstate\n \nresident counselor\nprovided individual  family  group therapy with homeless  run a way girls  12 18 years old  many charged with crimes associated with substance\nabuse â prostitution and gang activity  filed child abuse reports  provided telephonic crisis intervention  completed new resident intakes  general\nsupervision of residents â designed teen pregnancyâ awareness program  taught life skills classes â became a lead and trained and supervised\nstaff \npresentations\n1990 1991  taught classes in stress management and memory retentionâ to the community â hospitalâ employees  andâ eap clients  speaker\non drugs in the workplace for a large contracted employer \n 1992 1996  the following lectures to family practice residents  medical students  and orâ attending physicians were conductedâ inâ class \nduringâ hospital  brown bag  lunch breaks  or at off site meetings \nparenting 101\nsuicide risk factors  assessment  and aftermath\npsychiatric holds and conservatorships\neating disorders and treatment options\nmulticultural approaches to healthcare\nmy patient is non compliant    what can i do â \nthe cycle of domestic violence  patient  child  perpetrator effects\noh no  it s not him her again    managing countertransference\nmalingering  factious â psychosomatic disorders\nhow to manage angry and aggressive patients\nsigns and symptoms of child abuse  elder dependent abuse \nwho  what  when  where  andâ whyâ of panic attacks\nnormal childhood fears\nthe mental status exams\nis it add  adhd  anxiety  depression  mania      help \nhow do iâ screen for drinking drugproblems \nsigns and symptoms of alcohol drug intoxication and withdrawal\nstages of chemical dependency\ncauses and treatment of substance abuse\nsubstance abuse  breaking down the walls of denial\nalcoholics anonymous and the 12 steps\nstress management\ndeath  grief  loss  and depression    what s normal \ndelirium  depression  and dementia  what s the difference â  \nassessments and developmental stages of life\nwho can help with what   community resources â \nrapport  compliance  and lawsuitsâ â â â \nvolunteer work\norphanages in mexico  built and repaired homes  planted gardens â entertained children as mime â providedâ medical screenings  clothing\nand school supplies\nindian reservations in arizona and new mexico  built and repaired homes  provided food  clothing  child care â for navajo  hopi \ncherokee indians \ncamp leader forâ  children and adults with down s syndrome  traumatic brain injuries  autism  deaf blindness  and chronic mental illness \nassisted adults with mild to moderate intellectual disabilities find employment and closely monitoredâ work performance â â \nlanguages\nsign languag', 'University': 'e'}]","city state behavioral, couple family therapy, clinical social worker, substance abuse addiction, city state resident, individual couple family, psychiatric emergency team, abuse substance abuse, city state employee, family practice residents"
./data\HEALTHCARE\10076271.pdf,HEALTHCARE,[],"city state developed, business administration florida, city state maintained, city state august, city state professional, development intern company, chief executive officer, city state responsible, city state analyzed, operations intern company"
./data\HEALTHCARE\10251432.pdf,HEALTHCARE,"[{'Degree': 'master', 'Major': 'plans  planning studies  specifications and plans  technical\nmemos  letters  meeting minutes  and o m manuals for municipalities and cities \nbidding administration   distribute plans and specifications  maintain planholders  lists  issue and confirm receipt of addenda  and complete\nbid tabulations \nconstruction administration   prepare contract documents \nreceive and return submittals and rfis  maintain logs \nassisted approximately 18 engineers in the water wastewater department working on multi million dollar projects \nrequired great attention to detail while meeting multiple deadlines simultaneously \ncoordinated with clients  contractors  subconsultants  and internal drafters to help keep projects running smoothly \nspecific duties included  document processing   proofread  edited  formatted  pdf d  and produced master plans  predesign reports \nspecifications  technical memos  letters  meeting minutes  and o m manuals for municipalities and cities \nbidding administration   handled bidding phase from start to finish \nsubmitted public notice to newspaper for publishing  assisted in preparing  then produced and distributed plans and specifications \nmaintained planholders  list  prepared  issued  and confirmed receipt of addenda  and completed bid tabulation \nconstruction administration   prepared and reviewed contract documents \nreceived and returned submittals and rfis  maintained logs \nbefore shifting my focus solely on project related tasks for our water wastewater department  i previously also provided general support to\nour firm \nadditional tasks completed during this time included making travel arrangements  coordinating lunch and learns  and conference and\nworkshop registration and tracking \nalso responsible for the following tasks  \nmake travel arrangements and assign company vehicles \ndownload and log digital photos \ncoordinate lunch and learns \nregister engineers for conferences  workshops  and webinars \nas part of the master specifications standards committee  create monthly meeting agendas and minutes \nlog  track  and implement master specification change requests \nanswer and route phone calls \ndistribute incoming mail \nprepare outgoing mail and ups packages \nrun company errands \ncustomer service representative\n \njanuary 2006\n \nto \njanuary 2009\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nprovided full account servicing for the sears credit cards portfolio via incoming calls  including billing and payment inquiries and disputes provided full account servicing for the sears credit cards portfolio via incoming calls  including billing and payment inquiries and disputes \naccount maintenance  and lost stolen cards \nconsistently met and exceeded quality and sales goals \nadministrative assistant bookkeeper \naddus healthcare\n \njanuary 2000\n \nto \njanuary 2003\n \ncity\n \n  \nstate\ncompleted monthly billing reports and branch manager s report \nbilled over  500 000 monthly to contracting state agencies and clients \nreconciled billing  posted payments to clients  accounts  and prepared deposits \nprepared and approved accounts payable bills \ncreated documents  spreadsheets  and monthly newsletters  included developing new spreadsheets for a r and a p purposes \ncompleted several processes of payroll \nassisted in planning company functions \nprovided support to the area manager  branch manager  and 12 other branches throughout washington and oregon \nsupervised part time assistant \neducation and training\ncompleted 45 credits in various courses including logic  ethics  philosophy of science  precalculus  and c programming \n \nboise state university\nï¼  \ncity\n \n  \nstate\nhigh school diploma\n \nkuna high school\n \nï¼  \ncity\n \n  \nstate\n \ngraduated with highest honors 3 97 received ambassador award in business\nprofessionals of america \nskills\naccounting  accounts payable  adobe acrobat  a p  agency  attention to detail  billing  bookkeeping  c programming  clerical  conferences \ncontent  prepare contract  credit  clients  detail oriented  editing  focus  letters  logic  excel  mail  outlook  powerpoint  microsoft word \nnewsletters  newspaper  payroll  pdf  philosophy  processes  proofreading  quality  sales  specification  spreadsheets  phones  phone  make\ntravel arrangements  travel arrangements  making travel arrangements  type  websites  workshop', 'University': 's'}]","water wastewater department, making travel arrangements, make travel arrangements, meeting multiple deadlines, letters meeting minutes, cities bidding administration, travel arrangements travel, travel arrangements meeting, arrangements travel arrangements, memos letters meeting"
./data\HEALTHCARE\10466208.pdf,HEALTHCARE,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nbusiness administration and public relations\n \n  \n1995\n \nheidelberg college\n \n  \ncity\n \n  \nstate\n \nwork history\npharmaceutical sales representative  women s healthcare specialist\n \n  \ncompany name\n \nâ   \ncity\n \n  \nstate\n \ndoubled membership in an environment where acquisitions and mergers by national \nchain accounts directly affected potential membershiprecruitment \ninvestigated and resolved customer inquiries and complaints in a timely and empathetic \nmanner \nresponded to all customer inquiries thoroughly and professionally \nprovided an elevated customer experience to generate a loyal clientele \nresolved all customer complaints in a professional manner while\nprioritizing customer \nsatisfaction \nset up and explained new membership contracts \neffectively communicated with and supported sales  marketing and administrative teams \non a daily basis \nassisted in creating pre season marketing plans to support department and divisional \nstrategies \ncommunicated with vendors regarding backorder availability  future inventory and \nspecial orders \ndeveloped account management program that focused on maintaining existing account \nbase while using referral and reference systems to\nattract new accounts \norganized new member marketing program including identifying potential target \naccounts  developing high touch outreach plans  incentive\npackages  and growth \nobjectives \nsuccessfully managed acquisition of a new england association and increased \nmembership by 50  within the first two years \nasked appropriate open ended questions to discover prospects  needs and \nrequirements \nrepresentative of the year 2003 \nsuccessfully launched new products and rapidly gained market share \nmaintained an extensive knowledge of competitors  their offerings and their presence in \nassigned territory \nserviced accounts on a regular basis to propose new products or services and maximize \nrevenue \nidentified and qualified accounts to assess market potential \nconsistently hit and exceeded quarterly sales goals \nidentified and analyzed key competitors and related products \ncontacted customers as soon as issues arose to immediately find resolution before the \nproblems escalated \ncommunicated regularly with territory  regional and strategic managers for daily support \nand strategic planning for accounts \nsuccessfully sold brand name products  while competing with the generic medicine \ncommunicated regularly with territory  regional and strategic managers for daily support \nand strategic planning for accounts \nvisited customer locations to determine needs  set up contracts and provide training \ncertifications\nproven administrative highly organized \nleadership support event planning \nentrepreneurial\nconflict public speaking \nmindset resolution project staffing \nteam leadership reporting and \nself\ndirected documentation \noutbound calling prospecting\nskills\naccount management  acquisitions  administrative  contracts  clientele  customer satisfaction  customer\nssatisfaction  decision making  documentation  event planning  inventory  team leadership  leadership  director \nmanaging  marketing plans  marketing  market  mergers  communicator  organizational skills  problem solving  public speaking  recruitment \nrelationship building  reporting  sales  staffing  strategic  strategic planning  team player\nadditional information\nexperienced  multi faceted business professional with ability to quickly generate \nbusiness results  seeking a position with abbott for the\nterritory sales position in \ntacoma wa \nadept at attending job related conventions and managing special company events to attract candidates  top notch skills in relationship \nbuilding  problem solving and decision making  open and clear communicator with collaborative and hardworking style  membership\nenrollment director excelling at customer satisfaction and retention  flexible and hardworking in deadline driven environments  energetic\nteam player with top launch organizational skills \nintensive 3 week training program in radnor  p', 'University': 'a'}]","strategic strategic planning, customer satisfaction customer, strategic planning team, staffing strategic strategic, accounts visited customer, sales staffing strategic, marketing plans marketing, team leadership leadership, support event planning, sales representative women"
./data\HEALTHCARE\10480456.pdf,HEALTHCARE,"[{'Degree': 'master', 'Major': 'class for senior leaders  parsippany  nj    leading with impact   penn state executive leadership program  state college \npa   marketing leadership training  glaxosmithkline  pittsburgh  parsippany   advanced polarized light microscopy  mccrone research\ninstitute  chicago  il   colloidal chemistry  university of massachusetts  amherst  ma   scanning electron microscopy  leica cambridge co  \ndearfield  il   influencing and negotiation skills  matrix  ltd   new york  ny   project management  catapult inc   parsippany  nj  \ninformation systems project management  wilhelm assoc   huntington  ny   behavioral interviewing  behavioral technology inc   memphis \ntn\neducation\nph d \n \n  \nanalytical chemistry\n \n1990\n \nuniversity of delaware\n \ncity\n \n  \nstate\n \n  \nus\n \nuniversity of delaware  department of\nchemistry and biochemistry  newark  de 19711 ph d   analytical chemistry  1990 advisor  dr  g a  rechnitz  unidel\nprofessor of chemistry and biotechnology dissertation  intact chemoreceptor based biosensors\nm s \n \n  \nanalytical chemistry\n \n1987\n \nuniversity of delaware\n \ncity\n \n  \nstate\n \n  \nus\n \nuniversity of delaware  department of\nchemistry and biochemistry  newark  de 19711 m s   analytical chemistry  1987 advisor  dr  g a  rechnitz  unidel professor\nof chemistry and biotechnology dissertation  development and study of biosensors utilizing intact chemoreceptor structures\nb a \n \n  \nchemistry\n \nfranklin and marshall college\n \ncity\n \n  \nstate\n \n  \nus\n \nfranklin and marshall college  lancaster \npa 17604 b a   chemistry  american chemical society certified \ncertifications\nidentified  in licensed  and drove commercialization of gsk s largest selling oral care device ctfa b a   chemistry  american chemical society\ncertified \nprofessional affiliations\ninstitute on science for global policy  membership by invitation only \npublications\nsaliva diagnostics  a new industry  in saliva diagnostics  wong  dt  ed   der smith      j  dent  res  86  spec  iss  a  2097  2007 wiley \nblackwell  baek  jh  hammer wilson  mj  buch  rm  lee  k  ahn  y  than  s  chen  z  wil efficacy of marketed dentifrices using an in situ\ncaries model zero  d  proskin  hm  buch  rm  bosma  ml  smith  sr  impact of peroxide on enamel hardness gambogi  r j   bosma  m l  \nbuch  r m   schemehorn  b r   verification of caries inhibition by a tartar control toothpaste tanzer  j m  pelligrino  j   thompson  a   buch \nr  m   a novel pharmacological probe links the amiloride insensitive nacl  kcl  and nh4cl chorda tympani taste responses desimone \nj   lyall  v   heck  g   phan  t   alam  r   feldman  g   buch  r m   intact chemoreceptor based biosensors  antennular receptrodes\nbiosensor design and application  p r  mathewson  j w  finley  intact chemoreceptor based biosensors barker  t q   buch  r m   rechnitz \ng a  neuronal biosensors buch  r m   rechnitz  g a  \npresentations\nbaek  jh  hammer wilson  mj  buch  rm  lee  k  ahn  y  than  s  chen  z  wilder smith   an optical approach to the salivary pellicle  \n85th general session and exhibition of the international association of dental research  new orleans  la  march  2007  saunders  fg  bosma \nml  buch  rm  koller  cm  zero  d   evaluation of plaque fluid fluoride retention after dentifrice application  85th general session and\nexhibition of the international association of dental research  new orleans  la  march  2007  zero  d  proskin  hm  buch  rm  bosma  ml \nsmith  sr   efficacy of marketed dentifrices using an in situ caries model   85th general session and exhibition of the international association\nof dental research  new orleans  la  march  2007  wetterer  s m  lefever  s w   buch  r m    accelerated in vitro stain formation for high\nthroughput screening of actives   american association of dental research  canadian association of dental research 84th general session \norlando  fl  march  2006  wetterer  s m   buch  r m   schemehorn  b l    temperature dependence of chemical and mechanical activity of\ntraditional dentifrices   international association of dental research  american association of dental research  canadian association of dental\nresearch 83rd general session  baltimore  md  march  2005  gamboji  r j   bosma  m l   buch  r m   schemehorn  b l    impact of\nperoxide treatments on enamel hardness   international association of dental research  american association of dental research  canadian\nassociation of dental research 82nd general session  honolulu  hi  march  2004  tanzer  j m   thompson  a   gambogi  r j   buch  r m    in\nvitro model for the evaluation of anticalculus agent efficacy   presented at the 32nd annual meeting and exhibition of the american association\nfor dental research and the 27th annual meeting of the canadian association for dental research  san antonio  texas  march  2003  couzis \na   buch   r m   fares  h m    insights into the stain prevention properties of aquafresh whitening dentifrice   presented at the international\nassociation for dental research 80th general session  san diego  ca  march  2002  schemehorn  b   wood  g   buch  r m   fares  h    in\nvitro fluoride uptake study of an anti hypersensitivity toothpaste   presented at the international association for dental research 79th general\nsession  chiba  japan  june  2001  tanzer  j m   pellegrino  j   buch  r m   fares  h m    inhibition of caries in rats by a tartar control\ntoothpaste   presented at the 30th annual meeting of the american association for dental research and the 25th annual meeting of the\ncanadian association for dental research  chicago  illinois  march  2001  barker  t q   buch  r m   rechnitz  g a    intact chemoreceptor \nbased biosensors   presented at the acs 199th national meeting  boston  ma  april 1990  buch  r m   rechnitz  g a    the receptrode  a\nnovel chemoreceptor based biosensor utilizing intact chemosensing structures   presented at the pittsburgh conference  atlanta  ga  march\n1989  buch  r m    listerine prebrush rinse  the plax attack   presented at the consumer products r d expo  morris plains  nj  february\n1994 \nadditional information\nbuch  robert m   gambogi  robert j  veleda  jose l   dissolvable tooth whitening strip  20070178055 a1  smithkline beecham  corp  \nmarch 31  2005  buch  robert m   couzis  alexander  wetterer  sean m   compositions and methods for preventing dental stain \n20060223865 a1  smithkline beecham  corp   march 10  2004 \nskills\nhealthcare  marketing  claims  product development  transmissions  ada  business development  fda  patent  class  comprehensive large\narray data stewardship system  budgeting  liaison  project planning  technical support  associate  and marketing  chemistry  qa  metrics visualization  business cases  cases  due diligence  brand marketing  consumer products  laboratory  training  non destructive  quantitative \ncoaching  electron microscopy  interviewing  leica  long term disability  ltd  polarized light  polarized light microscopy  project\nmanagement  quality control  scanning  scanning electron  biochemistry  general chemistry  teaching  maintenance  archiving  data archiving \nimaging  implemenation  instrumentation  sensor  sensor development  acta  adme  antimicrobial  consumer needs  dental  eds  emc xiv  iss \nmedical device  medical devices  new product development  optical  pipeline  progress  prototype  prototypes  regulatory affairs  sales  san \nsecretary  storage area network  translate  vitro  xiv  analytical chemistry  biotechnolog', 'University': 'y'}]","city state responsibilities, product development patent, dental research canadian, research canadian association, product development support, state responsibilities included, chemoreceptor based biosensors, dental research american, research american association, global oral healthcare"
./data\HEALTHCARE\10568183.pdf,HEALTHCARE,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nhealthcare administration healthcare management\n \nuniversity of phoenix\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\n \nhealth care\nadministration healthcare management  completed    3 7\n5 10 2011\nassociates\n \n  \nmedical office administration\n \nfayetteville tech community college\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\n \nmedical office administration 3 0\nreferences\nmelissa arnold     â  â  â  \n \n â 910 574 3862\ntomeka haddock    â \n \n â 252 367 776\n \n \n \nstephanie williams   \n \n \n \n910 489 3215\n    indicates professional referenc', 'University': 'e'}]","city state salary, hours week supervisor, medical support assistant, state united states, city state united, medical office administration, states medical office, administration healthcare management, states health care, united states medical"
./data\HEALTHCARE\11378657.pdf,HEALTHCARE,[],"healthcare recruiter company, employee orientation schedules, conducted exit interviews, employment termination paperwork, facilitated job recruitment, job recruitment fairs, recruitment fairs organized, microsoft office programs, company benefits programs, hires promptly corresponded"
./data\HEALTHCARE\11605833.pdf,HEALTHCARE,"[{'Degree': 'bachelor', 'Major': 's of science and business\n \n  \nhealth care management\nskills\naccounting  business case  charts  hardware  configuration management  counseling  client  documentation  financial statements  graphs  information\nsystems  information technology  market analysis  materials  office  monitors  network  operating systems  peripherals  policies  publications \nstaffing  telephone  troubleshootin', 'University': 'g'}]","performs configuration management, information functions prepares, corrective security procedures, reports security incidents, functions manages hardware, security procedures performs, executes corrective security, performs client level, procedures performs client, software performs configuration"
./data\HEALTHCARE\11653906.pdf,HEALTHCARE,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n \n \nsociology\n \nuniversity of massachusetts at lowell\n \n  \ncity\n \n  \nstate\n \n  \nusa\nskills\nsalesforce com  oracle  clarity ppm tool  microsoft office  various other systems\nstrategic management   harvard extensio', 'University': 'n'}]","city state vice, city state usa, business operations healthcare, business city state, state vice president, city state senior, city state finance, lowell city state, city state associate, professional services operations"
./data\HEALTHCARE\11704150.pdf,HEALTHCARE,[],"city state worked, aircraft hydraulics systems, client health status, health care provider, city state associate, health management tasks, junior college city, enhance client lives, transferring provided clients, home health care"
