CV File,Category,Education,Top Skills
./data\HR\10399912.pdf,HR,"[{'Degree': 'bachelor', 'Major': 's of arts\n \n \n \npolitical science and law\n \n2007\n \nmontclair state university\n \n  \ncity\n \n  \nstate\n \n  \nus\n \nbachelor s of arts degree in political science\nand law montclair state university   upper montclair  nj 1998 to 2007\nhigh school diploma\n \n1998\n \nour lady of good counsel high school\n \n  \ncity\n \n  \nstate\n \n  \nus\n \nhigh school diploma our lady of good counsel high\nschool   newark  nj 1995 to 1998\nskills\nfiling  clerk  maintenance  clerical  office clerk  clerical support  data entry  faxing  incoming mail  legal documents  mail clerk  office\nsupplies  stamping  administrative support  audit  auditing  cases  copying  documentation  documenting  fbi  file  finishing  nrc  scheduling \nbasis  correspondence  database  hr  human resources  peoplesoft  teaching  inventory  60 wpm  customer service  equipment\nmaintenance  excel  file management  materials management  microsoft word  ms excel  ms outlook  ms powerpoint  office assistant \norganizational skills  outlook  powerpoint  proofreading  receptionist  retail sales  scanning  secretarial  telephone  telephone skills  typing \nwor', 'University': 'd'}]","city state office, state office clerk, office clerk federal, administrative support auditing, montclair state university, counsel high school, school city state, high school diploma, city state assistant, clerk federal contractor"
./data\HR\10694288.pdf,HR,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \norganizational management and leadership\n \norganizational management and leadership\nnew river community college\n \nassociate of applied science\n \n  \nbusiness management\n \nbusiness management\nactivities and honors\nsociety for human resources management  shrm  colleges and universities professional association for human resources  cupa hr \nskills\nbenefits  consultation  content  counseling  editor  hris  hr  insurance  all microsoft  navigator  newsletter  page  assist patients  payroll \npayroll processing  personnel management  phone system  policies  reporting  research  phone  websit', 'University': 'e'}]","short term disability, process employees leave, process leave share, leave share requests, term disability claims, employees leave corrections, leave reporting system, leave discrepancies process, leave corrections process, corrections process leave"
./data\HR\11480899.pdf,HR,"[{'Degree': 'master', 'Major': 'of public administration\n \n2012\n \nnational institute of development administration  nida \ncomprehensive english course under cultural exchange program\n \n2007\n \ncity\n \n  \nstate\n \n  \nusa\nbachelor of education\n \n2002\n \nchulalongkorn university\naccomplishments\ncomplete ongoing training in the areas of    human resource management  pm and apm certification course  analytical problem solving\nand prevention \n  tax iso ts 16949   iso 14001 requirements \n  leadership competency and work performance appraisal \n  labor\nlaw balance scorecard and kpi \n  happy work place welfare and salary structure \n  recruitment compensation and benefit corrective\nand preventive action by 8d report and why why analysis technique safety supervisor level software expertise efficient in ms office\npackage and surfing internet \nskills\nadministrative  administrative support  advertising  as set  benefits  business plan  clarify  good communication skills  interpersonal skills \ncontinuous improvement  decision making  english  film  hiring  human resource  hr  law  legal compliance  managerial  managing  exchange \norganizational  payroll  performance appraisal  performance management  personnel  policies  processes  procurement  progress  promotion \nspeaking  purchase requisitions  purchasing  recruitment  recruiting  reporting  scheduling  strategic  strategic plans  type  workflo', 'University': 'w'}]","human resources manager, human resource management, training human resources, development business plan, manager general administration, general administration manager, human resource activities, human resource functions, skills administrative administrative, implement human resource"
./data\HR\11592605.pdf,HR,[],"annual performance evaluation, performance evaluation njit, human resource management, performance level outstanding, immigrant student programs, city state managed, highlights performance management, paralegal performance management, performance management processes, city state justice"
./data\HR\11698189.pdf,HR,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \nnetwork information   technology administration\n \neastern michigan university\n \nï¼  \ncity\n \n  \nstate\n \nnetwork information  \ntechnology administration\nmba\n \n  \nmanagement\n \ndavenport university\n \nï¼  \ncity\n \n  \nstate\ncurrently enrolled\nskills\ncritical thinking\nconflict resolution\nleadership\nintegrity\ncustomer service\nhuman resource training\nmicrosoft office suite\nvolunteer associationsorder of the eastern star   unity love miriam  66  worthy matron  secretary  treasurer  \nserved in leadership  treasurer  and secretarial\nroles within the organization  chaired and co chaired \nfundraising events to support charitable causes \nat t community network   michigan chapter  assistant programs director \norganized fundraisers to support united negro college\nfund program  raised over  2500 to support \nannual scholarship funds for local students \nmetro detroit visitors bureau   \nserved in hospitality to assist visitors withâ guidance and direction  answer any questions pertaining the\nlocal area', 'University': ''}]","city state conducted, city state network, employee relations specialist, microsoft office suite, negro college fund, network information technology, united negro college, information technology administration, city state monitored, state network information"
./data\HR\11763983.pdf,HR,"[{'Degree': 'bachelor', 'Major': 's degree\n \nwalsh college\n \n  \ncity\n \n  \nstate\nprofessional affiliations\n2014 present \nmichigan judo development association board member\n2014 present \ncertified nage no kata instructor\n2006 present \nsociety for human resource management\n1995 present \nvolunteer judo instructor\n1998 1999 \nunited states olympic training center resident usa judo\nskills\naca  adp payroll  as400  benefits  benefits administration  consultation  \nerp  hiring  hris  \ninternet explorer  kronos  labor relations  excel \noutlook  powerpoint  word  organization development  payroll  peoplesoft  personnel policies  recruitment  sox  employee handboo', 'University': 'k'}]","city state administer, college city state, administer employee benefits, open positions conduct, walsh college city, workers compensation claims, city state provide, city state process, city state update, city state professional"
./data\HR\11847784.pdf,HR,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nenglish lit language\n \nnc state university\n \nï¼  \ncity\n \n  \nstate\n \n  \nu', 'University': 's'}]","skill based pay, based pay programs, classification compensation company, city state reduced, statewide skill based, competency based pay, performance based pay, city state conducted, city state managed, employee training based"
./data\HR\12786012.pdf,HR,[],"human resource management, assisted human resources, resource management human, management human resource, state human resource, city state human, orientations human resources, management city state, internal employee website, full time employees"
./data\HR\13376919.pdf,HR,[],"vendor management responsible, vendor management annual, annual performance management, engagement performance management, training vendor management, employee engagement performance, company conducted employee, conducted employee engagement, employee engagement activities, assistant manager banking"
./data\HR\13520837.pdf,HR,"[{'Degree': 'bachelor', 'Major': 'of science\n \napparel and merchandising\n \napparel and merchandising\nhuman resources certificate \nmountain states employers council\nskills\nadministrative  administrative support  benefits  c  cash handling  closing  coaching  com  interpersonal skills  council  customer service  customer\nservice skills  data entry  decision making  employee relations  hiring  hris  human resources  hr  interpretation  labor relations \nleadership  merchandising  lisa  negotiations  organizational  payroll  performance reviews  personnel  policies  problem resolution  reconciling \nrecruiting  reporting  sales  sound  employee developmen', 'University': 't'}]","customer service skills, service customer service, employee orientations experience, customer service customer, customer service responsible, city state managed, service skills excellent, positive candidate experience, candidate experience provide, employee relations hiring"
