CV File,Category,Education,Top Skills
./data\INFORMATION-TECHNOLOGY\10089434.pdf,INFORMATION-TECHNOLOGY,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \ninformation technology\n \n2005\n \nflorida international univeristy\n \nï¼  \ncity\n \n  \nstate\n \n  \nunited states\ncoursework in programming  web administration  network administration  database administration  and systems administration â  \nlinux\nprogramming languages  c    java  jsp  html  css  vb net  bash  t sql\ncertifications\ncomptia network    2014\nskills\nactive directory  azure  \nanti virus  backup exec  backup  bash  batch  \ncacti  cisco asa  databases  dhcp  dns  documentation \ndatadomain  emc  enterprise vault  epo  file servers  firewall  \ngpo  html  iis  isa  ldap  linux  mcafee  exchange  microsoft office \nmicrosoft windows  security  policies  powershell  programming  proxy server  servers  scripts  solarwinds  sql  \nstorsimple  troubleshooting \ntmg  \nubuntu  visual basic script  vbs  \nveritas netbackup  vpn  vranger  veeam  vmware  vdi  virtual manchine  nmap  zenmap', 'University': ''}]","supporting microsoft windows, servers installing configuring, microsoft windows server, servers configuring supporting, microsoft active directory, microsoft windows azure, file servers configuring, supporting microsoft exchange, software installing configuring, microsoft office microsoft"
./data\INFORMATION-TECHNOLOGY\10247517.pdf,INFORMATION-TECHNOLOGY,"[{'Degree': 'master', 'Major': 's of science degree and multiple certifications \nexcels in planning  implementing  and evaluating the systems  infrastructure  and staffing necessary to execute complex initiatives and meet\ndeadlines in dynamic  fast paced environments  adept at overseeing and participating in the installation  configuration  maintenance  and upgrade of\nnetworks  hardware  servers  and peripherals  \ndetail oriented and decisive  applies communication and leadership skills to interface effectively with\nall levels of an organization  \nexpertise spans  \nnetwork engineering  helpdesk administration  software licensing  disaster recovery \nbackup restore \noperations project management  strategic planning analysis  budgeting  teambuilding training  vendor relations\npolicy procedure development  quality assurance  troubleshooting  problem solving  process improvement \nexperience\n04 2013\n \nto \ncurrent\ninformation technology manager\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\na bankruptcy trustee office handling chapter 13 and chapter 12 cases for the northern district of georgia manages application\ndatabase hardware systems used to track chapter 13 bankruptcy cases  all office technologies   information systems  and anti spam anti \nvirus servers \nevaluates  recommends  implements  supports  and troubleshoots hardware and software \nmaintains lan wan infrastructure  connectivity  and security as well as lan user documentation \nperforms disaster recovery planning \nadministers licenses and service contracts  schedules service visits from vendors and suppliers \ndefines  documents  assesses  and updates it related procedures as needed \ncreates and maintains user accounts  including email \ninspects all employees  computers quarterly to ensure compliance of configuration and settings with office policies \ncoordinates special projects \ndesigned and implemented network infrastructure enhancements to improve performance  security  remote access  and connectivity \nstandardized hardware  peripherals  and software \nestablished a helpdesk support system for monitoring  prioritizing  and scheduling requests \nspearheaded the deployment of a new tracking system that provided performance metrics used to identify where additional training and\nresources were required \nresearched  installed  and configured an enterprise backup solution for disaster recovery that included features to allow users to recover\ndeleted items without the need to recover from dr backups \ndoubled wan bandwidth and propelled lan and wlan performance to 100  or higher through wan  lan  and wlan\nreconfiguration \nimproved accuracy  more than doubled efficiency from 35  to 87   and increased cost savings from  250 quarter to  2 500 quarter by\ndeveloping an automated script for retrieving data from an outside server \nautomated asset tracking by employing a hand scanner and database system to improve efficiency and accuracy \n08 1987\n \nto \n06 2012\nnetwork analyst\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\na  1b  global manufacturer of equipment for precision material dispensing  testing  inspection  surface preparation  and curing fueled a\n1 000  improvement in lan performance by replacing the existing network  which entailed changing software and lan cabling for 20\nexisting switches  including reconfiguring the core switch with remote wiring closets with multiple stack units \nled a team of five network and equipment support specialists configured  maintained  analyzed  and troubleshot nortel and juniper\nnetworks  systems  and equipment  wan lan wlan infrastructure  servers  pcs  notebooks  thin clients  printers  and other\nperipherals  used by 600 workers in georgia supported 200 units configured for operation through client servers advanced global\ncompany objectives through participation in it and telecom design and implementation advanced to this role through promotions from\nmechanical drafter  engineering checker  mechanical designer  and network administrator slashed support requests 75   cut equipment\ncosts 50   and boosted work productivity 30  by applying near zero configuration to develop  install  and implement a thin client solution\nfor 90 plant manufacturing cells \nreduced standard company imaging and system deployment time 60  before station specific customization by replacing and or refreshing\n40 pcs each quarter  100  on schedule \nplanned  designed  installed  configured  and tested wireless networks  wlan from cisco  nortel  and meraki  in multiple facilities \ndocumented standards for us operations  trained users  and monitored performance \nreplaced 125 field and service laptops by programming standard images and custom configurations on each machine  completing the six \nweek project on schedule despite disruption of parts availability due to a tsunami \nchampioned the use of computers in manufacturing cells to provide drawings and also facilitate order tracking in conjunction with the erp\nsystem  designed and implemented automated pick list and shipping documents as well as real time tracking for distribution \ntrained and mentored 15 new department staff members and contractors \n02 1753\ndesigner drafter \ncompany name\n \nï¼  \ncity\n \n  \nstate\nplant manager quality control manager\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ndrafter\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\naccomplishments\nmicrosoft word excel access outlook powerpoint visio publisher project  apple pages  numbers  keynote  autodesk  autocad microsoft word excel access outlook powerpoint visio publisher project  apple pages  numbers  keynote  autodesk  autocad \nsolidworks  sap r3 operating systems  microsoft sql  microsoft exchange  sccm  dos 6 22  windows 3 1 windows 10  windows\nnt 3 5 server  windows server 2012  osx 10 2 10 11  ios hardware and wlan  nortel  mitel  shortel  cisco  meraki  apple\nairport  palo alto firewall  sonicwall firewall peripherals  barracuda web filter  barracuda message archiver  riverbed wan\naccelerator  dell iscsi san installation and configuration  dell powervault  adtran routers  cisco routers  catalyst switches  hp\nprocurve switches  icc patch panels  cross connects  cat3 6a  phone and data \neducation\nmaster of science\n \n  \nleadership\n \nwalden university\n \nï¼  \ncity\n \n  \nstate\n2015\nmaster of science\n \n  \ninformation systems management project management\n \nwalden university\n \nï¼  \ncity\n \n  \nstate\n2013\nbachelor of science\n \n  \ninformation systems management mechanical engineering\n \nwalden university\n \nï¼  \ncity\n \n  \nstate\ncertifications\nmcp  â comptia network   comptia a \nskills\nanti virus  backup  cabling  cisco  hardware  contracts  client  clients  database  disaster recovery planning  disaster recovery  email  erp \nfeatures  imaging  information systems  inspection  inspects  lan  notebooks  laptops  mechanical  access  office  enterprise  network\nadministrator  network  networks  nortel  peripherals  pick  policies  printers  programming  real time  scanner  scheduling  servers  script \nshipping  switches  switch  user documentation  telecom  wan  wirin', 'University': 'g'}]","information systems management, science information systems, disaster recovery planning, information technology manager, city state drafter, city state plant, city state certifications, systems management project, publisher project apple, project apple pages"
./data\INFORMATION-TECHNOLOGY\10265057.pdf,INFORMATION-TECHNOLOGY,[],"computer engineering gpa, data collection data, data quality data, design hardware data, computer engineering dec, data analyst data, data collection systems, quality system data, data collection requirements, microsoft office office"
./data\INFORMATION-TECHNOLOGY\10553553.pdf,INFORMATION-TECHNOLOGY,"[{'Degree': 'master', 'Major': 'of science\n \n \n \nbusiness information technology\n \n \n \n2018\n \ndepaul university\n \nï¼  \ncity\n \n  \nstate\nbachelor of science\n \n \n \nnetwork and communications management\n \n \n \n2009\n \ndevry university\n \nï¼  \ncity\n \n  \nstate\nskills\nactive directory  administrative support  adobe acrobat  architect  backup  budget  client server  hardware  concept  client  clients  client\nsupport  das  database  disaster recovery  ghost  lan  laptops  mac hardware  mac  exchange  microsoft exchange  microsoft exchange\n2003  microsoft office  windows 7  windows  microsoft windows 2003  windows xp  nec  novell  operating systems  operating system \npbx  peripherals  policies  processes  purchasing  servers  sla  sql  symantec  technical support  phones  video  vista  web servers  wan \nwindows serve', 'University': 'r'}]","city state managed, exchange microsoft exchange, windows microsoft windows, city state provided, microsoft exchange microsoft, city state installed, city state tested, city state designed, city state performed, city state bachelor"
./data\INFORMATION-TECHNOLOGY\10641230.pdf,INFORMATION-TECHNOLOGY,[],"adobe creative suite, management windows server, business management client, website website management, client computers server, website management windows, software troubleshooting management, company website management, states information technology, technology project management"
./data\INFORMATION-TECHNOLOGY\10839851.pdf,INFORMATION-TECHNOLOGY,[],"information technology service, deleting user accounts, avaya microsoft office, directory strong software, active directory strong, technology service management, configuration installing adding, remedy installing adding, information technologyâ strong, service management itsm"
./data\INFORMATION-TECHNOLOGY\10840430.pdf,INFORMATION-TECHNOLOGY,[],"information technology specialist, systems analysis systems, analysis systems development, information systems information, chief information technology, systems information technology, information technology computer, systems development systems, government information systems, systems administration systems"
./data\INFORMATION-TECHNOLOGY\11580408.pdf,INFORMATION-TECHNOLOGY,"[{'Degree': 'bachelor', 'Major': 'of arts\n \nbusiness management\ncertifications\nmicrosoft certified professional  nt 4 0 microsoft certified professional   windows xp   windows 2003 microsoft certified professional  \ninternet comp ta a  certified microsoft certified system administrator  eligible should be completed by end of 2006  microsoft sql 2000\ndesign and administration microsoft access i  ii  iii navision report writer i   ii\nskills\na  certified  active directory  billing  business process  c  cash flow  cisco  cisco routers  hardware  network systems  content management \ncontracts  coral  databases  database  delivery  disaster recovery  email  erp  extranet  financial  firewalls  internet marketing  laptops  lotus \nmicrosoft access i  microsoft access  microsoft certified professional  microsoft certified  microsoft exchange  office  microsoft office 97 \nwindows  windows 2000  2000  microsoft windows 2003  microsoft nt 4  nt 4 0  windows nt 4 0  microsoft windows nt4 0  windows\nxp  navision  network security  network  office suites  operating systems  organizing  report writer i  reporting  sco unix  servers  microsoft\nsql  sql 2000  sybase  system administrator  phones  phone  training employees  visio  voice mail  web site  website\nadditional information\nawards  who s who among students in american universities and colleges outstanding young men of america united states\nachievement academy   national award winner sanford r  levitt   1', 'University': ''}]","microsoft certified professional, microsoft certified microsoft, certified microsoft certified, systems installation support, microsoft access microsoft, microsoft certified system, access microsoft certified, professional microsoft certified, certified professional microsoft, certified professional windows"
./data\INFORMATION-TECHNOLOGY\11584809.pdf,INFORMATION-TECHNOLOGY,"[{'Degree': 'master', 'Major': 'of science\n \n  \ncomputer   information science\n \n  \n2015\n \nuniversity of houston\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\ntop \n15\n   of class\nemphasis in \ncyber security andâ information awareness â \ncoursework in operating systems and system programming\ncoursework in computer networking and information technology\n \nbachelor of science\n \n  \nmanagement of information systems\n \n  \n2011\n \nuniversity of maryland university college\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\ncoursework in computer networking and information technology\n4 0â \n gpa \nskills\nsystem administration\nwindows server 2003\nwindows server 2008\nvmwareâ \nactive directory\nmicrosoft exchange 2013\nlarge computer networks\nlinux\nmac os\nmicrosoft dynamics\naccess control securityâ \ncertifications\ncertified naval information systems technician â   first class petty officer  e6 \ninformation systems security professional  cissp \nmicrosoft certified systems administrator  mcsa \npmi   project management professional  pmp \nisa   certified automation professional\ncisco\ncertified network associate  ccna \ncertified network professional  ccnp \ncertified security professional  ccsp \nvideo teleconference certified expert\ncomptia\nsecurity \nnetwork \na', 'University': ''}]","building automation systems, information systems technician, manager information technology, information systems security, software information systems, city state usa, naval information systems, certified information security, server class systems, systems security professional"
./data\INFORMATION-TECHNOLOGY\11957080.pdf,INFORMATION-TECHNOLOGY,[],"support specialist company, information technology support, technology support specialist, management information systems, technical support team, lead information technology, administration management information, user support specialist, html web design, design database software"
