CV File,Category,Education,Top Skills
./data\PUBLIC-RELATIONS\10070224.pdf,PUBLIC-RELATIONS,"[{'Degree': 'master', 'Major': 'of arts\n \n \n \nmass communication \n \n \nmay 2003\n \nsouthern university\n \nï¼  \ncity\n \n  \nstate\n \npublic relations\nbachelor of arts\n \n \n \nmass communication\n \n \n \ndecember 2001\n \nsouthern university\n \nï¼  \ncity\n \n  \nstate\n \nbroadcast journalism\nprofessional affiliations\npublic relations society of america  2009 to present\npublic relations association of louisiana  2009 to present\nnational council for marketing and public relations\n \n  2006 to present\nnational association of black journalists  2014 to present\nawards\noutstanding professional staff award  2016\noutstanding staff achievement award  2013\nskills\nmicrosoft office suite  word  excel  publisher  powerpoint\n \nconstant contact  email marketing tool \nou campus  web content managementâ \nmeltwater news  media tracking and distributionâ \ntveyes  broadcast monitoring\ncommunity service\ncapital area reentry coalition  email marketing  press releases  media relations  2015 \nmedia 101 workshop for non profits  served as a panelist  april 2016â  \ncommunity grant writing workshop â  conducted media workshop  2016', 'University': ''}]","press releases media, public relations director, relations media relations, city state developed, state public relations, distributed press releases, city state public, releases media relations, public relations campaigns, present public relations"
./data\PUBLIC-RELATIONS\10554045.pdf,PUBLIC-RELATIONS,"[{'Degree': 'master', 'Major': 'file changes for compliance with established standards update rates of pay and\ncalculate retroactive pay respond to inquiries in a timely manner preparation of weekly financial reporting for multi sites and multi states\nperform various accounts payable and accounts receivable functions month end closing   preparation of p l statement and balance sheet\nfinancial forecasting and analysis back up hr manager in all facets of hr duties \ncompany name\n \noctober 1993\n \nto \njanuary 2012\n \nshipping and receiving clerk scheduling clerk inventory control clerk customer service\nrepresentative payroll administrator\n \ncity\n \n  \nstate\nverified and kept records on incoming and outgoing shipments prepared items for shipment received items into warehouse compared\nidentifying information for incoming and outgoing shipments to verify information against bills of lading  invoices  orders  or other records\nscheduled appointments for product to be delivered to the warehouse as well as shipped out of the warehouse taking into consideration\ndelivery times and warehouse availability for product complied and maintained records of quantity  type and value of material  equipment \nmerchandise or supplies stocked in establishment counted merchandise in stock and posted totals to inventory records via computer\nprovided information to customer by verifying understanding of requests and answering questions resolved billing problems by identifying\nthe problem  explaining the procedure and forwarding the required adjustments maintained payroll information by collecting  calculating and\nentering data updated payroll records by entering changes in exemptions  insurance coverage  savings deductions and job title and\ndepartment transfers resolved payroll discrepancies by collecting and analyzing information provided payroll information by answering\nquestions and requests maintained payroll operations by following policies and procedures  reporting needed changes maintained employee\nconfidence and protected payroll operations by keeping information confidential \ncompany name\n \njanuary 1983\n \nto \njune 1992\n \nassistant supervisor  air evacuation clerk assistant supervisor  inpatient records clerk supervisor\nmedical service accounts officer patient affairs clerk hospital outpatient records clerk\n \nsupervised a support staff of six in managing all administrative functions related to patients using air evacuation services \ncoded each diagnosis and prepared concise medical histories to be entered into computer for patient s aerovac medical record \npersonally managed difficult non medical attendant issues directly with stateside facilities  ultimately saving hospital thousands of dollars \nentered discharge diagnosis and procedures into computer for all inpatient and ambulatorysurgeries  3 000 cases annually  generated by 60\nproviders  ensuring that the proper paperwork was accurate and complete \nobtained and compiled records for various audits  reviews and committees \nassisted in pulling and screening more than 1 800 medical inpatient and outpatient records in support of jcaho \nupgraded several deficient functions within inpatient records  corrected discrepancies dating back three years \nmanaged the hospital leave program  as well as mail and distribution program \nsignificantly upgraded hospital s regulation program  resulting in elevation from a marginal to outstanding rating \ndrafted and implemented several innovative proposals to improve administrative efficiency developed updated operating procedures for mail   distribution office ensuring prompt and error free service to 80  departments \nresponsible for collecting cash  posting of ledgers and maintaining accountability for the medical service account \nprepared billings  maintained files and ensured security of cashier s cage \nrestructured hospital s insurance billing and accounts receivable system  resulting in outstanding ratings \neducation\nuniversity of north carolina\n \n1982\n \nbachelors of arts\n \n  \nsociology\n \ncity\n \nsociology\nmilitary   1983  1992\nskills\naccounts payable  accounts receivable  administrative  administrative functions  back up  balance sheet  billing  billings  budget  cashier  concise \ncpr  delivery  diagnosis  financial forecasting  financial reporting  hr  insurance  inventory  managing  ms excel  mail  office  ms powerpoint \nms word  month end closing  payroll  policies  proposals  receiving  reporting  sarbanes oxley  taxes  typ', 'University': 'e'}]","liability clerk patient, party liability clerk, inpatient records clerk, clerk unit secretary, records clerk supervisor, ward clerk unit, outpatient records clerk, maintained payroll information, requests maintained payroll, clerk supervisor medical"
./data\PUBLIC-RELATIONS\10873344.pdf,PUBLIC-RELATIONS,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \npublic relations and journalism\n \nseton hall university\n \nï¼  \ncity\n \n  \nstate\n \ngpa  \ncum laude\n \npublic relations and journalism cum\nlaude\nskills\nadministrative  adobe photoshop  premiere  ad  advertisements  advertising  product analysis  art  assembly  billing  brochures  budget  chinese \ninterpersonal skills  competitive  clientele  client  customer service  database  delivery  creative development  documentation  edit  fame  fast  film \nfunctional  image  ims  indexing  marketing  materials  access  excel  microsoft office  powerpoint  word  networking  newsletters  newsletter \nnewspapers  internet research  online research  oracle  organizational  organization skills  camera  policies  presenting  presentations  press  press\nreleases  proposals  publications  publication  radio  read  reporting  research  scanning  scripts  script  television  type  video  written\ncommunication skills\nprofessional affiliations\norder of omega greek honor society member alpha phi sorority member march 2007  present marketing club member january 2009 \npresent relay for life participant april 2007  2008  2009  2010 shu 500 volunteer september 2006  2007  2008  200', 'University': '9'}]","city state responsible, city state diverse, city state assist, city state coordinate, city state enter, city state perform, city state gpa, written communication skills, client product placement, social networking twitter"
./data\PUBLIC-RELATIONS\10926726.pdf,PUBLIC-RELATIONS,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nphotography   fiction writing\n \ncolumbia college chicago\n \nï¼  \ncity\n \n  \nstate\n \ngpa  \ndean s list\n \ndean s listâ spring 1999\nskills\nphoto  photoshop  ads  analyst  art  agency  book  branding  brochures  catalogs  closing  concise  clientele  client  clients  database software \ndigital photography  direct marketing  direction  due diligence  event planning  film  finance  financing  forms  fundraising  hiring  human resources \nindesign  investments  invoicing  layout  logistics  mac  materials  meetings  excel  office  outlook  powerpoint  word  communicator \nnetworking  newspaper  personnel  photo editing  photography  presentations  presentation skills  print design  print media  procurement  property\nmanagement  proposals  public health  radio  research  sales  staffing  strategy  vendor relations  video  written\ndesktop publishing software  photoshop  indesig', 'University': 'n'}]","city state managed, city state expedition, city state assisted, direct marketing materials, state managed event, city state worked, city state gpa, finance investor packages, state managed images, polar expeditions company"
./data\PUBLIC-RELATIONS\11160414.pdf,PUBLIC-RELATIONS,[],"driver safety program, safety program manager, teen driver safety, city state customer, customer retention manager, marketing campaign manager, state customer retention, marketing project manager, marketing programs including, city state email"
./data\PUBLIC-RELATIONS\11624880.pdf,PUBLIC-RELATIONS,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nstrategic communications\n \nmay 2014\n \nelon university\n \ncity\n \n  \nstate\n \ngpa  \ngpa  3 71 graduated magna cum laude dean s list\nfall 2010  spring 2011  spring 2012  president s list fall 2012  spring 2013  fall 2013  spring 2014 inducted into national communications\nassociation  lambda pi eta inducted into national social science honor society  pi gamma mu inducted into the international sociology honor\nsociety  alpha kappa delta\nstrategic communications gpa  3 71 graduated magna cum laude dean s list fall 2010  spring 2011  spring 2012  president s list fall 2012 strategic communications gpa  3 71 graduated magna cum laude dean s list fall 2010  spring 2011  spring 2012  president s list fall 2012 \nspring 2013  fall 2013  spring 2014\ninducted into national communications association  lambda pi eta\ninducted into national social science honor society  pi gamma mu\ninducted into the international sociology honor society  alpha kappa delta\ninterests\nmember of public relations student society of america    1000 thanks  program contributor received over 1500 thank you cards from\nuniversity community  fall 2013  completed service learning work with nonprofit organization  sustainable alamance  helped plan and coordinate\nan event that helped raise over  1 000  volunteered with elon university s student government association to promote their organization\nmember of academic organization  theta psi alpha  spring 2013  house representative in the station at mill point residence community  fall \nspring 2013  study abroad  studied ecotourism abroad in australia for winter term in january 2014  visited the cities of sydney  brisbane \ncairns  melbourne  and tasmania and learned about sustainable travel and tourism  relevant coursework  communications in a global age \nmedia writing  strategic campaigns  health communications  public relations   civic responsibility  digital media convergence  strategic\nwriting  communication research  corporate publishing  capstone in communications  advertising in society  intro to marketing\nadditional information\npast extracurricular activities  member of public relations student society of america    1000 thanks  program contributor received\nover 1500 thank you cards from university community  fall 2013  completed service learning work with nonprofit organization \nsustainable alamance  helped plan and coordinate an event that helped raise over  1 000  volunteered with elon university s student\ngovernment association to promote their organization member of academic organization  theta psi alpha  spring 2013  house\nrepresentative in the station at mill point residence community  fall spring 2013  study abroad  studied ecotourism abroad in australia\nfor winter term in january 2014  visited the cities of sydney  brisbane  cairns  melbourne  and tasmania and learned about sustainable\ntravel and tourism \nskills\nadobe photoshop illustrator  indesign\nexperience with cvent crowdcompass  mobile application software\nmicrosoft office\nconstant contact  mailchim', 'University': 'p'}]","community fall spring, university community fall, city state created, psi alpha spring, graduated magna cum, city state met, public relations student, relations student society, residence community fall, magna cum laude"
./data\PUBLIC-RELATIONS\11635137.pdf,PUBLIC-RELATIONS,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nenglish literature\n \nuc santa barbara\n \nï¼  \ncity\n \n  \nstate\n \ncredentials\ncontent development  corporate communications  health care  new business development  producing  public relations  sales  stories  strategic\nplannin', 'University': 'g'}]","public relations campaigns, marketing public relations, public relations projects, public relations sales, marketing communications executive, public relations company, aggressive public relations, public relations efforts, producing public relations, development corporate communications"
./data\PUBLIC-RELATIONS\11842274.pdf,PUBLIC-RELATIONS,[],"alcoholic beverages check, stock service areas, problems serve food, check patrons identification, guests stock bar, cleaning stock service, clean bar area, bar area prepare, required escort customers, drink menu specials"
./data\PUBLIC-RELATIONS\11850315.pdf,PUBLIC-RELATIONS,[],"social media strategies, public relations public, public relations campaigns, public relations specialist, public relations events, public relations social, social media manager, relations social media, public relations marketing, public relation strategies"
./data\PUBLIC-RELATIONS\11902276.pdf,PUBLIC-RELATIONS,"[{'Degree': 'master', 'Major': 'of business administration\n \ncity\n \n  \nstate\nuniversidad metropolitana\n \noctober 2010\n \nbachelor of science\n \n  \nbusiness administration management\n \ncity\n \n  \nvenezuela\n \nbusiness\nadministration management\nfinancial engineering certificate\nlanguages\nspanish  english\nskills\napproach  c  concept  credit  client  clients  customer service  english  senior management  financial  leadership  marketing  market  meetings \nmoney  enterprise  oil  policies  processes  quality  quick  relationship management  repairs  research  selling  sales  spanish  strategic  technical\ntrainin', 'University': 'g'}]","business administration management, manager city state, public relations manager, business administration city, administration management city, customer satisfaction company, customers experience company, client clients customer, skills job title, business development manager"
./data\PUBLIC-RELATIONS\12191094.pdf,PUBLIC-RELATIONS,[],"city state director, fitchburg state college, american red cross, city state registered, public relations marketing, marketing public relations, city state journalist, city state administrator, public relations business, sales management marketing"
