CV File,Category,Education,Top Skills
./data\SALES\10138632.pdf,SALES,[],"service determine price, changes record sales, sales manager company, study sales records, customers prepare purchase, services analyze price, complaints total sales, current sales manager, manufactured products services, products services commodities"
./data\SALES\10464113.pdf,SALES,"[{'Degree': 'master', 'Major': 'the art of selling by tom hopkins international \nelemental selling by jeffrey gitomer at business marketing services  \nbuilding customer relationships by waste management training\nteam  and quality sales training by waste management training team \naccount manager\n \n04 2012\n \nto \n02 2015\n \ncompany name\n \ncity\n \n  \nstate\nresponsible for helping new start up billing company acquire new clients in southern ohio and kentucky  \nsold allscripts software with meaningful\nuse allowances  sold billing and credentialing services and continued to support the client and their staff \nthis company changed their business plan and layed off outside sales team to grow the business by acquiring failing billing companies who were\nlosing their physician clients to hospital and large physician buyouts \neducation\nhigh school diploma\n \n  \nrequired and business\n \n1977\n \nsuncoast \ncity\n \n  \nstate\n \n  \nunited states\ni was a member of deca which is distributive education clubs of america and i was able to work a part time job for school credits and\nbusiness experience  \nmy positions were managing a golf pro shop of a country club part time and working the late day shift as team leader for a\npublix bakery department \nskills\ninside and outside sales  customer service  salesforce  act  and goldmine crm  allscripts software  outlook  practice fusion software \nappointment setting  cold calling  presenting  closing and client retention  \ndatabase management  direct mail  insurance  marketing  \nreporting\nand training and support', 'University': ''}]","city state responsible, sales customer service, management training team, waste management training, growing client list, management billing service, accounts receivable solutions, sales experience selling, position experience sales, system sales training"
./data\SALES\10603337.pdf,SALES,[],"city state describe, city state skills, city state jun, city state greet, city state developed, sales associate company, production intern company, fashion intern company, museum intern company, current sales associate"
./data\SALES\10724818.pdf,SALES,"[{'Degree': 'bachelor', 'Major': 's\n \n  \nanthropology\n \nhunter \ncollege\n \nï¼  \ncity\n \n  \nstate\nemphasis in linguistics\nskills\nmicrosoft office suite  calendaring  critical thinking  travel arrangements\nadditional information\nlinks\nhttp   www linkedin com in rachellascall', 'University': 'a'}]","webinars including developing, post webinar follow, facing webinars including, vendors tracking customer, tracking customer attendance, customer facing webinars, including developing relationships, coordinated customer facing, executive assistant executive, travel visas agendas"
./data\SALES\10898339.pdf,SALES,[],"city state liberal, city state responsibilities, state liberal arts, city state personal, city state handyman, city state, liberal arts liberal, arts liberal arts, state handyman services, clackamas community college"
./data\SALES\12082377.pdf,SALES,[],"correct products based, negotiated prices terms, service agreements contacted, prices credit terms, specific products services, met existing customers, wrote sales contracts, quoted prices credit, accurate product service, product service information"
./data\SALES\12351749.pdf,SALES,"[{'Degree': 'master', 'Major': 'of science\n \n  \ndata analytics\n \n2018\n \nuniversity of houston\n \nï¼  \ncity\n \n  \nstate\n \ndata analytics\nbba\n \n  \nfinance\n \n2005\n \nuniversity of houston\n \nï¼  \ncity\n \n  \nstate\n \nfinance\nfinance\nexperience\nsales coordinator\n \njul 2016\n \nto \nmay 2017\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nheavy cold calling to new and existing oil and gas  energy  and aerospace clientele to \nincrease revenue and market penetration managed a\nportfolio of 250 accounts that \ngenerated 36  of increased proposals in 4 months \nconducted business to business telephone sales \nresearched sales and contact information for prospects and created reports for business development managers\ninside sales representative\n \naug 2015\n \nto \nfeb 2016\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nprioritized daily workflows  including all inbound calls  quotes and sales related \ninquiries \nwrote sales contracts for orders obtained and submitted orders for processing \nachieved 170  of first 90 day quota  earning 2nd highest rookie quarter in 21 year \ncompany history \nprioritized daily workflows  including all inbound calls  quotes and sales related \ninquiries \nemphasized product features based on analysis of customers  needs \ninside sales representative\n \nsep 2014\n \nto \nmay 2015\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ndeveloped competitive comparison tables of steel grating pricing  fees  ratings  \ncategory and product performance to use for account sales\ncalls \ncreated sales contacts with on  and off premise accounts \nbuilt client relationships by acting as the liaison between the drafting and sales teams \nconsulted with clients after sales and contract signings to resolve problems and provide \nongoing support \nrecruiter\n \nfeb 2007\n \nto \noct 2014\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ndeveloped creative recruiting strategies that met small to mid sized broker dealer \nstaffing needs \nmanaged all aspects of advisor transition cycle  from initial set to on boarding \nserved as link between broker dealer and advisor by handling questions  interpreting \ncontracts  and resolving transition issues \nmemberships scholarly societies \nuniversity of houston  downtown analytics society \nskills\nbusiness systems analysis  c    cold calling  communication skills  competitive  contracts  credit  clientele  client  clients  data analyst  data\ncollection  database  drafting  features  finance  financial  financial statements  interpretation  machine learning  market  excel  money  ms\noffice suite  modeling  oil  outside sales  pricing  coding  proposals  recruiting  research  sales  staffing  statistical analysis  statistics  tableau \ntables  telephone  underwrite', 'University': 'r'}]","city state developed, city state data, business systems analysis, city state prioritized, city state finance, skills business systems, inbound calls quotes, sales related inquiries, daily workflows including, city state heavy"
./data\SALES\12696104.pdf,SALES,[],"city state interact, register answer calls, suffolk county community, county community college, city state suffolk, sales associate company, city state organize, answer calls interact, community college studying, state suffolk county"
./data\SALES\12820557.pdf,SALES,[],"customer service practices, merchandise store opening, store security system, company directed customer, store operations receiving, assist store management, directed customer service, company directed policies, closing cash register, store including counting"
./data\SALES\13178604.pdf,SALES,"[{'Degree': 'bachelor', 'Major': 's of arts\n \n  \nbasketball leagues  skiing and exercise programs\n \nmarist college\n \ncity\n \n  \nstate\n \n  \nus\n \nmarist college  poughkeepsie  ny\nbachelors of arts   competitive achievements   a sports guru and competitor actively involved in basketball leagues  skiing and\nexercise programs  as a member of the marist ski team competed against schools in slalom and giant slalom events  as well as player on the\nmarist rugby team competed against teams in its region  competed on the ncc speech and debate team  traveled to portland  oregon \nplaced ncc in 3rd place nationwide at the phi ro pi national championships and won multiple awards  âž  dramatic interpretation  bronze of\n88 competitors  âž  parliamentary debate  bronze of 114 teams âž  debate team  overall bronze of 109 schools\nlanguages\nfrench spanish\nprofessional affiliations\nfundraiser and events coordinator  executive\npresentations\nc level   technical presentations\nskills\nsales  benefits  increase  pediatric  marketing  account executive  clients  of sales  sales quotas  solutions  its  closing  award  channel\nmarketing  internet marketing  major accounts  marketing strategy  new hires  overall sales  quota  sales quota  yellow pages  cold\ncalling  million  retail  retail marketing  training  and marketing  for sales  key accounts  merchandising  owned sales  point of sale  pos \nsales and  sales reps  account manager  accounts to  accounts with  and sales  coordinate sales  networking  new account  sales\nevents  sales presentations  sales representatives  territory  with sales  in sales  sales for  sales meetings  senior sales  top sales  account\nmanagement  b to b  b2b  lead generation  project managemen', 'University': 't'}]","north east region, sales quotas elected, sales sales quotas, sales quota sales, sales top sales, sales presentations sales, sales events sales, top sales account, sales reps account, quota sales quota"
