CV File,Category,Education,Top Skills
./data\TEACHER\10504237.pdf,TEACHER,"[{'Degree': 'bachelor', 'Major': 's teaching certification program\n \n  \nsecondary education\n \nuniversity of washington\n \nï¼  \ncity\n \n  \nstate\n \ncollaborate with teachers of\nvarious science and grade backgrounds incorporating field research into classroom lessons  implementation of ngss into fields of evolution \nclassification  and taxonomy  participate in paleontological field research with current graduate students secondary education\nmay 2011\ndrexel university school of education\n \nï¼  \ncity\n \n  \nstate\n \nnew jersey ceas biology   \n member of golden key international honor society\ncamden county college\njanuary 2005\nbachelors of sciences\n \n  \nbiological sciences\n \natlantic cape community college\n \ncomposition i  introduction to literature  burlington county\ncollege  anatomy   physiology i   ii with laboratory  introduction to statistics biological sciences\nrutgers the state university of new jersey\n \nï¼  \ncity\n \n  \nstate\nskills\nanatomy  aseptic techniques  bachelors  biology  calculators  calibration  content  credit  database  department of health  dna  educator \nenglish  equipment maintenance  forms  forth  good laboratory practices  instruction  interpretation  laboratory procedures  laboratory tests \nlesson plans  director  materials  money  pathology  pcr  physiology i  progress  qa  real time  reporting  research  selling  statistics \nteaching  technician  troubleshoot  workshops  composition i  compositio', 'University': 'n'}]","good laboratory practices, biology teacher company, city state execute, modify lesson plans, special education teachers, laboratory procedures laboratory, incorporating differentiated instruction, laboratory technician company, city state prepare, align lessons labs"
./data\TEACHER\10527994.pdf,TEACHER,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \nbusiness administration management\n \neastern oregon university\n \nï¼  \ncity\n \n  \nstate\n \nbusiness administration management\nskills\nbuying experience  documentation  inventory  selection of materials  excel  outlook  powerpoint  word  plumbing  quickbook', 'University': 's'}]","business administration management, city state business, city state managed, city state design, city state enthusiastically, state business administration, substitute teacher company, administration management skills, administration management eastern, arts business administration"
./data\TEACHER\10909720.pdf,TEACHER,"[{'Degree': 'master', 'Major': 'teacher\nhighlights\nhome schooling knowledge\ncalm and patient\ncertified in early childhood education\nhead start programs\nstrong communicator\ntoddler and preschool curricula\nclassroom management\nclassroom management\nskills\ni have a lot patience  i communicate really well with children  \ni can usually calm a stressful situation quickly \neducation\nearly childhood education\n \n2000\n \nsan jacinto college\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\ncoursework in child nutritionchild abuse awareness trainingcoursework in emergency preparednesscoursework in behavior\nmanagementemphasis in child development\nhigh school diploma\n \n  \ngeneral\n \n1991\n \nbeaumont high school\n \nï¼  \ncity\n \n  \nstate\n \n  \nusa\nemphasis in child development\nexperience\nmaster teacher\n \nsep 2010\n \nto \napr 2013\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nconducted small group and individual classroom activities based on differentiated learning needs encouraged students to be understanding of and\nhelpful to others observed students to supply teachers with feedback regarding potential learning blocks and opportunities for support physically\nand verbally interacted with students throughout the day to keep them engaged supported students in developing strategies for individual needs\nand classroom group dynamics organized field trips to local parks  fire stations and zoos helped prepare daily lesson plans for activities and\nlessons implemented emergent curriculum to encourage student participation supplied one on one attention to each student  while maintaining\noverall focus on the entire group wrote daily and weekly lesson plans administered minor first aid to injured students applied the positive\nreinforcement method to redirect negative behaviors promoted language development skills through reading and storytelling  implemented family\nstyle meals  conducting parent teacher conferences  and kept personal profiles of each child \nteachers associate \naug 2004\n \nto \nnov 2009\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\npromoted language development skills through reading and storytelling applied the positive reinforcement method to redirect negative\nbehaviors conducted small group and individual classroom activities based on differentiated learning needs assisted 5 6 children per station during\nsmall group learning periods  organized field trips to encouraged students to be understanding of and helpful to others observed students to\nsupply teachers with feedback regarding potential learning blocks and opportunities for support physically and verbally interacted with students\nthroughout the day to keep them engaged helped prepare daily lesson plans for activities and lessons implemented emergent curriculum supplied\none on one attention to each student  while maintaining overall focus on the entire group physically and verbally interacted with students throughout\nthe day to keep them engaged communicated effectively with educators from various grade levels wrote daily and weekly lesson\nplans administered minor first aid to injured students to encourage student participation organized field trips to local parks  fire stations and\nzoos maintained daily records of children s individual activities  behaviors  meals and naps  established a safe play environment for the\nchildren distributed quarterly educational assessments  similar to report cards  to each parent developed professional relationships with parents \nteachers  directors and therapists observed children for signs of illness  injury  emotional disturbance  learning disorders and speech\nproblems maintained daily records of children s individual activities  behaviors  meals and naps \nteacher aide\n \naug 1999\n \nto \nmar 2001\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\npromoted language development skills through reading and storytelling applied the positive reinforcement method to redirect negative\nbehaviors conducted small group and individual classroom activities based on differentiated learning needs  organized field trips to local parks  fire\nstations and zoos  assisted 5 6 children per station during small group learning periods encouraged students to be understanding of and helpful to\nothers observed students to supply teachers with feedback regarding potential learning blocks and opportunities for support physically and\nverbally interacted with students throughout the day to keep them engaged supported students in developing strategies for individual needs and\nclassroom group dynamics helped prepare daily lesson plans for activities and lessons  implemented emergent curriculum to encourage student\nparticipation  supplied one on one attention to each student  while maintaining overall focus on the entire group communicated effectively with\neducators from various grade levels wrote daily and weekly lesson plans administered minor first aid to injured students maintained daily records\nof children s individual activities  behaviors  meals and naps established a safe play environment for the children created and implemented\ndevelopmentally appropriate curriculum that addressed all learning styles distributed quarterly educational assessments  similar to report cards  to\neach parent maintained a child friendly environment with access to outdoor activities completed all required documentation for the national head\nstart program \nextra curricular activitiesi ran the nursery at my church for a yea and then taught sunday school for the older kids for another two years  \ni also helped run an after school  get your homework done here  program the community started where kids that didn t have help at home could\ncome to us and get help with their homework or for the younger children the parents could enroll them and they would come daily after school \nsummary\ntalented early education professional with diverse experience in planning and implementing various activities for promoting physical  social \nemotional and intellectual growth of children', 'University': ''}]","daily lesson plans, individual classroom activities, individual activities behaviors, prepare daily lesson, weekly lesson plans, lesson plans administered, encourage student participation, activities behaviors meals, classroom activities based, organized field trips"
./data\TEACHER\11336022.pdf,TEACHER,[],"city state teachers, city state check, city state assigned, school city state, windows microsoft word, city state promoted, city state greet, college city state, city state usa, state teachers education"
./data\TEACHER\11616482.pdf,TEACHER,"[{'Degree': 'bachelor', 'Major': 'of science\n \n  \neducation social science\n \nemporia state university\n \nï¼  \ncity\n \n  \nstate\n \neducation social science\nexperience\nguest teacher\n \njan 2015\n \nto \ncurrent\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nmanaged classroom responsibilities and maintained continuity of the learning process \nincorporated cooperative education and role playing activities to establish a relationship between course material \nand student s life experiences \nencouraged critical thinking skills through the use of challenging debate \nnational account manager\n \njan 2005\n \nto \njan 2014\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\npromoted to develop deeper hq   regional relationships and grow gaming and lodging business channel \nmanaged the relationships between starbucks coffee and mgm international  caesars entertainment  stationâ \n casinos  intercontinental hotels \nhilton hotels \ncredited with starbucks coffee store growth along las vegas strip from zero base to present day  105mm annual revenue \nbuilt strategic alliances with internal and external teams that resulted in \nsustained revenue growth over 14 yrs \nregional sales manager\n \nfeb 2000\n \nto \njan 2005\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nled internal cross functional and external teams to ensure franchise store growth and timely store openings and execution of foodservice\nagreements for regional business in california  nevada and arizona \nestablished lodging and gaming as a viable business segment for starbucks coffee company \naccomplishments leveraged corporate executive relationships to launch customized  franchise stores for high profile casinos and lodging\nbusiness partners \nexpand customer and product base beyond franchised locations to eventually secure corporate distribution mandates resulting in excess\n 105 million in ongoing annual revenues for gaming and lodging segment \nincrease number of license stores along the las vegas strip from 1 to 51 high volume locations \npresented comprehensive instructional seminars at regional and national meetings \ntopics included site selection  product placement from a branding perspective  building a business case to show roi  contract compliance \nand identifying new distribution opportunities \nled internal cross functional and external teams to ensure franchise store growth and timely store openings \nestablished lodging and gaming as a viable business segment for starbucks coffee company \npublications\noral history\nwww lawrence lib ks us oralhistory nether html â \npresentations\ncorporate culture\nhttps   www youtube com watch v tath6y7ebdo\nmemberships scholarly societies\nfraternity\nwww lasvegasnupes com curtisnether html â \nskills\nbranding  business case  interpersonal  oral  critical thinking  functional  lesson planning  meetings  microsoft office  outlook  relationship building \nseminars  written communication skill', 'University': 's'}]","starbucks coffee company, franchise store growth, ensure franchise store, timely store openings, education social science, viable business segment, city state business, internal cross functional, city state education, starbucks coffee store"
./data\TEACHER\11943065.pdf,TEACHER,"[{'Degree': 'master', 'Major': 's of arts\n \n  \nteaching social studies\n \n  \nmay 2018\n \nwinthrop university\n \n  \ncity\n \n  \nstate\n \nteaching social studies gpa  3 8\nbachelor of arts\n \n  \nsociology\n \n  \njune 1998\n \ncoker college\n \n  \ncity\n \n  \nstate\n \nsociology gpa  3 0\napril 2018\n \nrock hill high school\n \n  \nnorthwestern high school\n \n  \ncity\n \n  \nstate\n \nskills\nbook  conferences  conflict resolution  cpr  staff \ntraining  first aid  lesson plans  microsoft office  supervising  supervision  teacher  teaching \ntutoring  workshops\nadditional information\ngrades 8th  9th  and 11th anchor club faculty advisor junior senior prom sponsor member of first responder team member of\nemergency action team bishopville primary school \naugust 1989   june 1998 603 north dennis avenue  bishopville  sc 29010 first\ngrade teaching assistant adult education parenting teacher activities  south carolina education association 4 h member teacher\nanchor club advisor environmental awareness club advisor prom coordinator class sponsor volunteer at boys and girls club of rock\nhill detention hall teacher progressive planning committee emergency action team member first responder team member\naccomplishments\nstudent progress conferences\n \nconducted conferences with parents  administrators  testing specialists and social workers to discuss educational plans designed to promote\nstudents  educational social development \ntargeted development\n \nmet with parents and guardians to discuss children s progress and to determine priorities and resource needs \nstudent mentor\n \nvolunteered as temporary student guidance counselor to help resolve student personal issues \ncurriculum implementation\n \ntaught reading  language arts  social studies  mathematics  science  art and physical education to pupils utilizing course of study adopted by\nthe board of education \ncertifications\nsc â certified scst\nread to succeed certification\nfirst aid and cpr certifie', 'University': 'd'}]","responder team member, emergency action team, lesson plans based, education parenting teacher, awareness club advisor, parenting teacher activities, south carolina education, carolina education association, teaching social studies, develop improvement plans"
./data\TEACHER\12467531.pdf,TEACHER,"[{'Degree': 'master', 'Major': 'teacher looking for new role and industry  i m looking to leverage the valuable skills  knowledge  and experiences as a teacher to advance\na new client or organization in an executive or leadership position \nskills\ninstructional design  teaching  progress monitoring  course\ndevelopment\nevernote  slack  social media  excel  outlook  adobe\nphotoshop\nmanagement  staff  projects  daily scheduling\nfinancial analysis  security trading  portfolio managament \nliability structuring\nresearch  analysis  and planning\nwork history\nteacher\n \n  \n08 2014\n \nto \ncurrent\n \ncompany name\n \nâ   \ncity\n \n  \nstate\n \nteaches classes in accordance with requirements of approved courses of study at expected student progress expectations\nuses information about individual students  academic strengths  needs  and progress in planning\ndesigns activities to engage students in cognitively challenging work aligned to standards\nuses resources that will promote high levels of learning and student engagement in classroom environment\nclosely monitors student learning in order to understand how students are progressing toward learning objectives and provides students with\ninstructive timely feedback that moves their learning forward\nestablishes classroom environment that is safe and supportive  risk taking is encouraged  students feel free to contribute their ideas  and\nteacher and student interactions are respectful and polite to promote positive learning environment for all students\ninitiates and participates in individualized education plan iep meetings with administrators  faculty  parents  and other parties involved to\ndevelop and iep for eligible students\nutilizes district approved behavior modification techniques to implement iep goals and continually monitors student progress toward iep\ngoal achievement\nmaintains established policies and procedures for reporting incidents e g   child abuse  substance abuse  harassment  and violence\ncommunicates with families to create partnerships around student learning by providing information about instructional programing and\nprogress of their student\nfostered team collaboration between students through group projects for mathematics  ela  and history\nevaluates performance of subordinate personnel\nrobotics and design instructor\n \n  \n08 2012\n \nto \n09 2014\n \ncompany name\n \nâ   \ncity\n \n  \nstate\n \nprovided clear informative lectures on working with robotics kits  programming  and theory\nincreased educational expertise and knowledge of design by participating in instructor oriented workshops\nmodified lessons and curriculum to accommodate diverse learners by using strategies such as peer assisted learning and group work\nexecutive advisor\n \n  \n08 2015\n \nto \ncurrent\n \ncompany name\n \nâ   \ncity\n \n  \nstate\n \nportfolio management realizing 20 25  annually over 5 year period\nresearch and analytics\nprovide relocation services for client s and their families\ntake clients though time and asset restructuring system\ndeveloped anti fragile contingency and recovery strategies to prepare company and clients for black swan events\nplanned and launched large scale events that boosted revenue by 15 \nimplemented process improvements to automate office operations  including record tracking and mobile apps\nimproved office efficiency by effectively managing internal communications and correspondence\nmaintained work structure by drafting work contracts\neducation\nm  ed\n \n  \nteaching\n \n  \n2016\n \nuniversity of california   los angeles\n \n  \ncity\n \n  \nstate\n \nmaster s degree elementary education and teaching\nbachelor of arts\n \n  \npsychology\n \n  \n2003\n \nthe university of new mexico\n \n  \ncity\n \nstudio arts\n \nsanta monica college\n \n  \ncity\n \n  \nstate\n \nskills\ninstructional design  teaching  progress monitoring  course developmentevernote  slack  social media  excel  outlook  adobe photoshop\nmanagement  staff  projects  daily scheduling\nfinancial analysis  security trading  portfolio managament  liability structuring\nresearch  analysis  and planning\nwork history\nteacher\n \n  \n08 2014\n \nto \ncurrent\n \ncompany name\n \nâ   \ncity\n \n  \nstate\n \nteaches classes in accordance with requirements of approved courses of study at expected student progress expectations\nuses information about individual students  academic strengths  needs  and progress in planning\ndesigns activities to engage students in cognitively challenging work aligned to standards\nuses resources that will promote high levels of learning and student engagement in classroom environment\nclosely monitors student learning in order to understand how students are progressing toward learning objectives and provides students with\ninstructive timely feedback that moves their learning forward\nestablishes classroom environment that is safe and supportive  risk taking is encouraged  students feel free to contribute their ideas  and\nteacher and student interactions are respectful and polite to promote positive learning environment for all students\ninitiates and participates in individualized education plan iep meetings with administrators  faculty  parents  and other parties involved to\ndevelop and iep for eligible students\nutilizes district approved behavior modification techniques to implement iep goals and continually monitors student progress toward iep\ngoal achievement\nmaintains established policies and procedures for reporting incidents e g   child abuse  substance abuse  harassment  and violence\ncommunicates with families to create partnerships around student learning by providing information about instructional programing and\nprogress of their student\nfostered team collaboration between students through group projects for mathematics  ela  and history\nevaluates performance of subordinate personnel\nrobotics and design instructor\n \n  \n08 2012\n \nto \n09 2014\n \ncompany name\n \nâ   \ncity\n \n  \nstate\n \nprovided clear informative lectures on working with robotics kits  programming  and theory\nincreased educational expertise and knowledge of design by participating in instructor oriented workshops\nmodified lessons and curriculum to accommodate diverse learners by using strategies such as peer assisted learning and group work\nexecutive advisor\n \n  \n08 2015\n \nto \ncurrent\n \ncompany name\n \nâ   \ncity\n \n  \nstate\n \nportfolio management realizing 20 25  annually over 5 year period\nresearch and analytics\nprovide relocation services for client s and their families\ntake clients though time and asset restructuring system\ndeveloped anti fragile contingency and recovery strategies to prepare company and clients for black swan events\nplanned and launched large scale events that boosted revenue by 15 \nimplemented process improvements to automate office operations  including record tracking and mobile apps\nimproved office efficiency by effectively managing internal communications and correspondence\nmaintained work structure by drafting work contract', 'University': 's'}]","monitors student learning, monitors student progress, student progress expectations, expected student progress, city state portfolio, closely monitors student, continually monitors student, design teaching progress, city state teaches, city state provided"
./data\TEACHER\12587973.pdf,TEACHER,"[{'Degree': 'bachelor', 'Major': 'of arts\n \n  \npsychology minnor on \nchild development\n \n2017\n \npsychology child development\nlanguages\nfluent in english and spanish\nskills\nagency  budgeting  budgets  business strategy  closing  cold calling  interpersonal  communication skills  excellent communication  oral  contracts \ncritical thinking  clients  client relations  customer service  customer service skills  databases  database  fluent in english  forms  ftp  hr \ninsurance  leadership  legal  marketing  meetings  mergers and acquisitions  works  organizational  policies  executive presentations  problem\nsolver  process improvement  progress  proposals  quality assurance  recruitment  sales  sales and training  spanish  strategic marketing \nsupervision  time management  vendor relations  website  writte', 'University': 'n'}]","long term relationships, sales targets builds, reaching sales targets, customer service skills, recruitment sales sales, sales customer service, targets builds loyalty, customer service customer, consistently achieving employee, achieving employee retention"
./data\TEACHER\13087952.pdf,TEACHER,[],"physical science chemistry, medical microbiology excellent, microbiology excellent organizational, hematology including cell, organizational skills teacher, excellent organizational skills, organizational skills proficient, lesson plans based, city state analyze, teaching physical science"
./data\TEACHER\13296856.pdf,TEACHER,"[{'Degree': 'master', 'Major': 's degree in education\nexperience with work based learning opportunities\ncommunity outreach specialist\ncertified in conflict and dispute resolution\nknowledge of educational trends  expectations \nclimate\ndeep understanding ela\nfamiliarity with denver plan\nexperience\nteacher\n \nsep 2015\n \nto \njul 2017\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nknowledge and understanding of dps practices  framework  and mission\ncollaborate with school administration  and denver public school leadership\ndata driven instruction and curriculum design\nunderstanding of educational policy locally and nationally\nengaged with immigrant and refugee families  community leaders  and pre collegiate \nprograms for students in the metro denver area\nservice learning coordinator\n \nnov 2013\n \nto \nsep 2014\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ncreated curriculum focused on job shadowing and experiential learning\nworked closely with parents and community to create engaging service opportunities\nplanned trainings  conferences  and events around community engagement and service \nlearning\nidentified and recruited a broad range of speakers\nspoke on service learning and expeditionary learning panels\nmanaged budget\nenglish teacher\n \naug 2012\n \nto \noct 2013\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\nworked with japanese government to expand us and japanese foreign relations\ntaught high school students\ncreated and facilitated intercultural communication classes for adults\nsite director\n \naug 2010\n \nto \naug 2012\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ncoordinated educational before and after school programs for over 250 students and their \nfamilies\nmanaged adult and parent engagement classes and events\ncreated internship and job shadow opportunities\npartnered with metro state  cu boulder  university of denver to create college preparedness workshops\nworked with playworks  focused on conflict and dispute resolution and restorative justice\ntrained in conflict and dispute resolution  mentoring  and restorative justice\ncoordinated summer programs  hired and trained staff\ndeep understanding of diversity and inclusion efforts in public education\nprovided professional development opportunities to staff  mentors  and school \nadministration\nfacilitated trainings on diversity  homelessness  race  and restorative justice\nprogram manager\n \ndec 2007\n \nto \naug 2010\n \ncompany name\n \nï¼  \ncity\n \n  \nstate\ncreated pilot mentoring program for six urban schools funded by the department of education\ncreated job shadows and internships with local businesses\ngathered and analyzed data on community needs and interests\nsolicited contributions and participation from local businesses to promote and improve community events and activities\ncollaborated with community leaders  organizations and public agencies to promote the organization s community service programs\nmonitored program budgets and costs to verify expenses were within budget parameters\npresented program developments to the community  city council and city managercollected and entered statistical data into databases\ncertifications\ncolorado teaching certification\nela e certifiedâ \nconflict and dispute resolution certification\neducation and training\nma\n \n  \neducation\n \naugust 2015\n \nuniversity of denver\n \nï¼  \ncity\n \n  \nstate\n \neducation\nbachelor of science\n \n  \npolitical communications\n \nmay 2006\n \nemerson college\n \nï¼  \ncity\n \n  \nstate\n \npolitical communications magna cum laude\nskills\ntraining\nconference organization\nmicrosoft office suite\nnon profit management\nactivities and honors\nurban leadership foundation of colorado alum\nchamber connect  colorado black chamber of commerce participant\ndenver center for the performing arts  professional advisory board\nboard member peacejam foundation  mentor and curriculum advisorâ', 'University': ''}]","city state created, city state education, city state worked, community service programs, city state political, city state knowledge, city state coordinated, learning opportunities community, state created curriculum, community city council"
